"","F.Open","F.High","F.Low","F.Close","F.Volume"
"2011-09-15",10.45,10.64,10.32,10.63,53843175
"2011-09-22",9.79,10.14,9.43,9.62,115851051
"2011-09-29",10.14,10.15,9.75,10,52634778
"2011-10-06",10.61,11,10.56,10.99,86277475
"2011-10-13",11.39,11.46,11.04,11.34,60021259
"2011-10-20",11.66,11.75,11.47,11.7,62145692
"2011-10-27",12.29,12.29,11.71,11.97,132558720
"2011-11-03",11.29,11.39,11.02,11.32,57802143
"2011-11-10",11.17,11.19,10.9,10.99,50555142
"2011-11-17",10.54,10.56,10.07,10.17,69670657
"2011-12-01",10.51,10.81,10.41,10.59,61396936
"2011-12-08",10.96,11.11,9.84,10.75,82552211
"2011-12-15",10.31,10.42,10.19,10.25,46640203
"2011-12-22",10.78,10.98,10.66,10.94,43983068
"2011-12-29",10.56,10.75,10.5,10.68,34317002
"2012-01-05",11.33,11.63,11.24,11.59,67877467
"2012-01-12",12.16,12.18,11.89,12.14,48687666
"2012-01-19",12.48,12.72,12.43,12.61,70894167
"2012-01-26",13.03,13.05,12.66,12.79,75470624
"2012-02-02",12.4,12.43,12.2,12.26,48347559
"2012-02-09",12.89,12.9,12.67,12.69,52290479
"2012-02-16",12.38,12.77,12.38,12.74,49166921
"2012-02-23",12.27,12.44,12.16,12.4,36747504
"2012-03-01",12.48,12.77,12.45,12.66,68263200
"2012-03-08",12.41,12.55,12.32,12.46,37130354
"2012-03-15",12.9,13.04,12.83,12.9,55316864
"2012-03-22",12.48,12.54,12.24,12.32,50125146
"2012-03-29",12.33,12.52,12.24,12.5,51039792
"2012-04-05",12.38,12.58,12.38,12.47,37939405
"2012-04-12",11.94,12.13,11.86,12.07,26988802
"2012-04-19",11.81,11.88,11.58,11.66,48172028
"2012-04-26",11.71,11.93,11.67,11.87,40894070
"2012-05-03",11.13,11.15,10.85,10.92,40243341
"2012-05-10",10.83,10.86,10.66,10.71,42526056
"2012-05-17",10.16,10.25,10.01,10.01,49660696
"2012-05-24",10.5,10.62,10.38,10.59,45334026
"2012-05-31",10.62,10.68,10.4,10.56,54328730
"2012-06-07",10.73,10.78,10.52,10.55,33846133
"2012-06-14",10.27,10.45,10.21,10.41,37539824
"2012-06-21",10.65,10.68,10.25,10.27,40062708
"2012-06-28",9.93,10.09,9.93,10.09,38649023
"2012-07-05",9.67,9.74,9.53,9.57,31783831
"2012-07-12",9.26,9.28,9.12,9.13,55110953
"2012-07-19",9.45,9.5,9.33,9.35,33614947
"2012-07-26",9.05,9.11,8.83,8.96,51818632
"2012-08-02",8.99,9.03,8.82,8.92,45326500
"2012-08-09",9.31,9.46,9.3,9.34,30911270
"2012-08-16",9.5,9.67,9.49,9.59,34329274
"2012-08-23",9.45,9.54,9.42,9.45,23537661
"2012-08-30",9.3,9.34,9.25,9.31,16466623
"2012-09-06",9.66,9.96,9.66,9.92,68002262
"2012-09-13",10.2,10.38,10.12,10.34,50923252
"2012-09-20",10.48,10.52,10.35,10.44,28756899
"2012-09-27",10.13,10.18,10.02,10.02,25740901
"2012-10-04",10.06,10.15,9.96,10.11,46858290
"2012-10-11",10.06,10.26,10.05,10.14,39328678
"2012-10-18",10.36,10.57,10.33,10.43,44044130
"2012-10-25",10.42,10.49,10.28,10.39,59298137
"2012-11-01",11.19,11.3,10.88,11.25,88770053
"2012-11-08",11.07,11.23,10.89,10.9,45949474
"2012-11-15",10.57,10.8,10.46,10.57,48895302
"2012-11-29",11.32,11.53,11.32,11.53,57289231
"2012-12-06",11.26,11.31,11.19,11.24,31068892
"2012-12-13",11.46,11.5,11.21,11.27,35445838
"2012-12-20",11.74,11.8,11.58,11.77,47756287
"2012-12-27",12.79,12.81,12.36,12.76,108315027
"2013-01-03",13.24,13.7,13.05,13.46,121284681
"2013-01-10",13.78,13.94,13.68,13.83,84885422
"2013-01-17",14.27,14.3,14.07,14.22,44299777
"2013-01-24",13.82,13.98,13.81,13.87,42536100
"2013-01-31",12.86,13.02,12.67,12.95,65925358
"2013-02-07",13.26,13.31,13,13.07,33987445
"2013-02-14",13,13.17,12.96,13.11,33496430
"2013-02-21",12.51,12.51,12.3,12.39,43735721
"2013-02-28",12.78,12.87,12.6,12.61,37696963
"2013-03-07",12.89,12.91,12.77,12.83,27712234
"2013-03-14",13.43,13.45,13.37,13.43,31658247
"2013-03-21",13.25,13.42,13.23,13.26,29740265
"2013-03-28",13.24,13.24,13.1,13.15,25474731
"2013-04-04",12.68,12.78,12.45,12.65,29808049
"2013-04-11",13.15,13.58,13.13,13.55,51493264
"2013-04-18",12.94,12.98,12.65,12.75,34884614
"2013-04-25",13.4,13.56,13.35,13.47,42025162
"2013-05-02",13.54,13.55,13.38,13.41,33982885
"2013-05-09",14.19,14.26,14.16,14.2,30576820
"2013-05-16",14.77,14.85,14.6,14.64,40931349
"2013-05-23",14.5,14.94,14.37,14.81,49131116
"2013-05-30",15.76,16.02,15.74,15.9,61804939
"2013-06-06",15.25,15.48,15.06,15.44,54820077
"2013-06-13",15.31,15.6,15.18,15.58,34327479
