"","COG.Open","COG.High","COG.Low","COG.Close","COG.Volume"
"2014-11-20",33.99,35.04,33.99,34.71,6128394
"2014-12-04",31.07,31.68,30.8,31.1,6752874
"2014-12-11",29.41,30,29.32,29.53,5684683
"2014-12-18",32.83,33.08,31.21,32.44,8923851
"2015-01-08",28.28,28.9,27.87,28.86,6678659
"2015-01-15",30.04,30.1,28.63,28.78,6729700
"2015-01-22",29.09,29.09,27.87,28.58,8969091
"2015-01-29",27.21,27.3,26.32,26.58,8114089
"2015-02-05",26.85,27.13,26.45,26.66,7082596
"2015-02-12",28.56,28.7,27.79,27.92,6487914
"2015-02-19",26.82,27.85,26.8,27.71,6112503
"2015-02-26",29.75,29.75,28.24,28.9,7464578
"2015-03-05",28.52,28.74,27.81,28.52,5415435
"2015-03-12",28.09,28.23,27.65,27.85,4956081
"2015-03-19",28.05,28.51,27.92,28.32,5900869
"2015-03-26",29.72,29.85,28.69,28.98,4315444
"2015-04-02",29.83,30.81,29.8,30.76,5141190
"2015-04-09",30.83,31.69,30.63,31.58,5588534
"2015-04-16",32.59,33.23,32.25,33.03,6457825
"2015-04-23",32.87,33.55,32.74,32.98,5851210
"2015-04-30",33.82,34.24,33,33.82,6667935
"2015-05-07",34.03,34.38,33.9,34.25,5837691
"2015-05-14",35.15,35.64,35,35.32,5214546
"2015-05-21",35.11,35.29,34.9,34.99,5112375
"2015-05-28",34.57,34.57,33.65,33.85,4148968
"2015-06-04",34,34.28,33.96,34.11,8913449
"2015-06-11",34.05,34.2,33.82,33.97,3646703
"2015-06-18",34.22,34.47,33.46,33.58,6224144
"2015-06-25",32.34,32.35,31.74,31.91,4731454
"2015-07-02",31.24,31.41,30.98,31.03,2823323
"2015-07-09",30.08,30.11,29.58,29.58,3975037
"2015-07-16",29.55,29.8,29.39,29.51,3262764
"2015-07-23",27.87,28.12,26.68,27.6,10888601
"2015-07-30",26.37,26.62,25.9,26.02,5293133
"2015-08-06",25.25,25.6,24.85,25.41,8149874
"2015-08-13",26.72,27.12,26.53,26.97,8334932
"2015-08-20",25.75,25.85,24.85,24.86,5467761
"2015-08-27",22.17,23.1,21.29,23.08,12860092
"2015-09-03",23.39,24.17,23.14,23.41,7409478
"2015-09-10",22.56,23.2,22.37,23.05,4813225
"2015-09-17",23.67,24.27,23.57,23.7,6082220
"2015-09-24",23.41,24.43,23.26,24.12,5040984
"2015-10-01",22.14,22.4,21.2,21.22,6487343
"2015-10-08",23.25,23.42,22.87,23.15,8544944
"2015-10-15",22.97,23.81,22.89,23.72,4846846
"2015-10-22",22.43,22.75,21.78,22.09,6676069
"2015-10-29",21.84,22.24,21.46,21.53,5492269
"2015-11-05",22.26,22.9,22.1,22.64,4797489
"2015-11-12",20.49,20.86,20.28,20.33,4015503
"2015-11-19",20.26,21.03,20.11,20.5,2814385
"2015-12-03",18.07,18.11,16.96,17.13,8860336
"2015-12-10",17.22,18,17.04,17.68,5147458
"2015-12-17",15.43,15.48,15.1,15.35,10817007
"2015-12-24",17.68,18.09,17.38,17.7,4288385
"2015-12-31",17.09,17.76,16.97,17.69,4892825
"2016-01-07",15.71,16.7,15.68,16.58,8536752
"2016-01-14",15.85,16.44,15.65,16.31,9906770
"2016-01-21",16.95,18.96,16.87,18.65,14184306
"2016-01-28",20.4,20.47,19.32,19.39,12921089
"2016-02-04",21.07,21.48,20.2,20.9,10785669
"2016-02-11",19.27,20.08,18.73,19.87,8187616
"2016-02-18",20.53,20.53,19.31,19.55,9190763
"2016-02-25",19.71,20.06,19.02,19.41,12463454
"2016-03-03",21.89,22.55,21.68,22.17,10151258
"2016-03-10",20.68,22.16,20.45,21.91,12187019
"2016-03-17",23.25,23.31,22.42,22.76,6337645
"2016-03-24",21.02,22.14,20.93,21.97,5672833
"2016-03-31",22.74,22.89,22.51,22.71,6860138
"2016-04-07",22.3,23.29,22.22,23.27,5150767
"2016-04-14",23.14,23.29,22.52,22.81,6293355
"2016-04-21",23.46,23.63,22.71,22.83,5965605
"2016-04-28",23.79,24.1,23.45,23.58,8759929
"2016-05-05",24.37,24.74,23.85,24.19,5706573
"2016-05-12",24.8,25.04,24.24,24.4,3069760
"2016-05-19",22.81,23.3,22.7,23.19,6565470
"2016-05-26",24.23,24.24,23.64,23.69,3295331
"2016-06-02",24.36,24.79,24.12,24.74,3600379
"2016-06-09",24.85,26.08,24.78,25.9,5877915
"2016-06-16",24.26,24.61,24.2,24.4,3991578
"2016-06-23",25.39,25.5,25.09,25.25,2472261
"2016-06-30",25.33,26,25.11,25.74,5241368
"2016-07-07",26.16,26.21,24.96,25.42,4924068
"2016-07-14",26.14,26.14,25.2,25.21,2515867
"2016-07-21",24.5,25.14,24.17,24.21,6252359
"2016-07-28",23.6,24.14,23.31,23.85,7661015
"2016-08-04",24.37,24.68,24.26,24.42,5710899
"2016-08-11",24.28,24.68,24.06,24.56,5268650
"2016-08-18",25.12,26.32,25.06,26.06,7229927
"2016-08-25",25.62,25.68,25.32,25.4,4476696
"2016-09-01",24.44,24.8,24.21,24.46,5155734
"2016-09-08",25.5,26.56,25.5,26.5,8842924
"2016-09-15",25.15,25.27,24.78,25.04,5444628
