"","HRB.Open","HRB.High","HRB.Low","HRB.Close","HRB.Volume"
"2011-09-15",13.79,14.36,13.67,14.2,6883636
"2011-09-22",12.75,13.29,12.73,13.13,7184217
"2011-09-29",13.8,13.86,13.47,13.73,3200353
"2011-10-06",13.65,13.87,13.57,13.86,3334533
"2011-10-13",14.74,14.84,14.6,14.72,2776468
"2011-10-20",14.23,14.34,14.02,14.21,2422180
"2011-10-27",15.42,15.52,15.08,15.35,4234864
"2011-11-03",15.21,15.39,14.86,15.35,2693998
"2011-11-10",15.55,15.6,15.36,15.53,1977487
"2011-11-17",15.47,15.67,15.28,15.41,2577823
"2011-12-01",15.75,16.18,15.65,16.06,3256947
"2011-12-08",15.55,15.67,15.31,15.57,4668548
"2011-12-15",15.53,15.55,15.28,15.36,2349842
"2011-12-22",15.68,16,15.65,15.9,2760598
"2011-12-29",15.87,16.33,15.79,16.27,3647481
"2012-01-05",15.99,16.35,15.99,16.24,2685693
"2012-01-12",16.4,16.44,16.23,16.39,1248264
"2012-01-19",16.3,16.35,16.21,16.25,1793905
"2012-01-26",16.97,17.09,16.82,16.92,2408864
"2012-02-02",17.04,17.04,16.79,16.83,2070333
"2012-02-09",17.17,17.18,16.96,17.02,2808229
"2012-02-16",16.14,16.38,16.13,16.25,2307231
"2012-02-23",16.13,16.22,15.98,16.12,1530147
"2012-03-01",16.3,16.51,16.27,16.44,2154394
"2012-03-08",15.15,16.07,14.91,15.97,7974966
"2012-03-15",16.47,16.75,16.43,16.74,2464164
"2012-03-22",16.79,16.93,16.75,16.88,1853885
"2012-03-29",16.74,16.78,16.55,16.7,2723559
"2012-04-05",16.94,17.07,16.87,17.03,2432937
"2012-04-12",16.81,17,16.72,16.99,2183573
"2012-04-19",17.05,17.1,16.83,16.88,3264908
"2012-04-26",14.42,15.17,14.35,14.95,16720140
"2012-05-03",14.62,14.7,14.54,14.61,3535416
"2012-05-10",14.54,14.65,14.46,14.58,4007733
"2012-05-17",14.67,14.68,14.48,14.48,3247362
"2012-05-24",15.07,15.12,14.91,14.99,10505257
"2012-05-31",15.38,15.42,15.09,15.27,5092442
"2012-06-07",15.68,15.7,15.37,15.42,2694079
"2012-06-14",15.22,15.45,15.18,15.36,2588641
"2012-06-21",15.59,15.65,15.31,15.32,2777125
"2012-06-28",15.7,15.88,15.6,15.85,5707872
"2012-07-05",16,16.31,15.9,16.15,7448330
"2012-07-12",16.03,16.38,16.01,16.29,4579900
"2012-07-19",16.8,16.88,16.51,16.58,3286413
"2012-07-26",16.24,16.26,16.09,16.1,3463593
"2012-08-02",15.94,15.98,15.53,15.6,4463633
"2012-08-09",16.01,16.19,15.94,16.12,2594526
"2012-08-16",16.3,16.49,16.24,16.48,1795061
"2012-08-23",16.57,16.57,16.36,16.37,2597058
"2012-08-30",16.34,16.74,16.3,16.55,6873997
"2012-09-06",16.4,16.4,15.9,16.25,8056626
"2012-09-13",16.51,16.77,16.42,16.75,3406862
"2012-09-20",16.98,17.13,16.91,17.01,3209420
"2012-09-27",17.1,17.42,16.98,17.33,4517866
"2012-10-04",17.82,17.96,17.76,17.89,1909293
"2012-10-11",16.85,17.01,16.68,16.96,4749759
"2012-10-18",17.2,17.33,17.16,17.29,2009426
"2012-10-25",17.68,17.87,17.65,17.81,1682310
"2012-11-01",17.84,18.17,17.79,18.13,2860949
"2012-11-08",17.95,18.04,17.79,17.79,1643360
"2012-11-15",17.62,17.75,17.46,17.62,2420531
"2012-11-29",18.15,18.25,18.03,18.16,1575266
"2012-12-06",17.59,18.4,17.59,18.26,6693637
"2012-12-13",18.6,18.84,18.5,18.68,2999150
"2012-12-20",19.06,19.22,18.82,18.95,4612887
"2012-12-27",18.35,18.5,18.23,18.47,2693393
"2013-01-03",19.08,19.32,19.04,19.14,4968347
