"","FB.Open","FB.High","FB.Low","FB.Close","FB.Volume"
"2012-05-17",,,,38,0
"2012-05-24",32.95,33.21,31.77,33.03,50275879
"2012-05-31",28.54,29.67,26.83,29.6,111639200
"2012-06-07",27,27.35,26.15,26.31,26167757
"2012-06-14",27.65,28.32,27.38,28.29,16854124
"2012-06-21",31.67,32.5,31.51,31.84,21875228
"2012-06-28",31.96,32.19,30.9,31.36,17713292
"2012-07-05",31.32,31.62,31.02,31.47,10036688
"2012-07-12",30.7,31.4,30.6,30.81,11306636
"2012-07-19",29.41,29.5,28.63,29,13685031
"2012-07-26",27.75,28.23,26.73,26.84,64597378
"2012-08-02",20.77,20.84,19.82,20.04,56374436
"2012-08-09",20.75,21.17,20.61,21.01,15618515
"2012-08-16",20.44,20.48,19.69,19.87,157554938
"2012-08-23",19.5,19.73,19.36,19.44,32813310
"2012-08-30",19.27,19.45,19.06,19.09,30647472
"2012-09-06",18.74,19.26,18.72,18.96,46066347
"2012-09-13",20.96,21.48,20.61,20.71,65041524
"2012-09-20",23.02,23.24,22.54,22.59,57248663
"2012-09-27",20.99,21,20.16,20.32,30215821
"2012-10-04",22.32,22.4,21.41,21.95,46894595
"2012-10-11",19.88,19.96,19.61,19.75,21817227
"2012-10-18",19.7,19.79,18.89,18.98,52157366
"2012-10-25",23.29,23.31,22.47,22.56,76141922
"2012-11-01",21.08,21.44,21.01,21.21,37713887
"2012-11-08",20.52,20.73,19.98,19.99,34254535
"2012-11-15",22.34,22.5,21.65,22.17,78857405
"2012-11-29",26.5,27.52,26.16,27.32,88759067
"2012-12-06",27.68,27.75,26.82,26.97,46001493
"2012-12-13",27.59,28.75,27.43,28.24,81051549
"2012-12-20",27.49,27.6,27.13,27.36,35574784
"2012-12-27",26.55,26.8,25.52,26.05,43481682
"2013-01-03",27.88,28.47,27.59,27.77,63140530
"2013-01-10",30.6,31.45,30.28,31.3,95316372
"2013-01-17",30.08,30.42,30.03,30.14,40256606
"2013-01-24",31.27,31.49,30.81,31.08,43845049
"2013-01-31",29.15,31.47,28.74,30.98,190743612
"2013-02-07",29.11,29.15,28.27,28.65,34540014
"2013-02-14",28.02,28.63,28.01,28.5,35618411
"2013-02-21",28.28,28.55,27.15,27.28,49647671
"2013-02-28",26.84,27.3,26.34,27.25,83027721
"2013-03-07",27.57,28.68,27.47,28.58,74540116
"2013-03-14",27.1,27.43,26.83,27.04,27646381
"2013-03-21",25.66,26.11,25.56,25.74,24336012
"2013-03-28",26.09,26.17,25.52,25.58,28585612
"2013-04-04",26.62,27.23,26.11,27.07,82016745
"2013-04-11",27.48,28.1,27.25,28.02,33368462
"2013-04-18",26.82,26.82,25.15,25.69,39058905
"2013-04-25",26.07,26.4,26,26.14,17149965
"2013-05-02",28.01,29.02,27.98,28.97,104256921
"2013-05-09",27.08,27.55,26.85,27.04,33457150
"2013-05-16",26.48,26.55,25.9,26.13,35506976
"2013-05-23",24.8,25.53,24.77,25.06,37697202
"2013-05-30",24.13,24.78,23.93,24.55,60733122
"2013-06-06",22.99,23.09,22.67,22.97,31260660
"2013-06-13",23.72,23.83,23.26,23.73,31189247
"2013-06-20",24.28,24.74,23.65,23.9,42765586
"2013-06-27",24.24,24.84,24.21,24.66,34694013
"2013-07-11",25.96,26,25.45,25.81,26777354
"2013-07-18",26.75,26.77,26.12,26.18,24806825
"2013-07-25",33.54,34.88,32.75,34.36,365935212
"2013-08-01",37.3,38.29,36.92,37.49,106066472
"2013-08-08",39.13,39.19,38.43,38.54,41300906
"2013-08-15",36.36,37.07,36.02,36.56,56521095
"2013-08-22",38.37,38.75,38.34,38.55,21931163
"2013-08-29",40.89,41.78,40.8,41.28,58303395
"2013-09-05",41.79,42.76,41.77,42.66,50035380
"2013-09-12",45.53,45.62,44.65,44.75,68072239
"2013-09-19",45.51,46.05,45.23,45.98,63972369
"2013-09-26",50.01,50.6,49.5,50.39,98220046
"2013-10-03",50.47,50.72,49.06,49.18,82045323
