"","LUV.Open","LUV.High","LUV.Low","LUV.Close","LUV.Volume"
"2011-09-15",8.58,8.65,8.48,8.6,6028513
"2011-09-22",8.07,8.22,7.95,8.03,18753997
"2011-09-29",8.69,8.72,8.48,8.63,10279373
"2011-10-06",7.61,7.89,7.48,7.86,9091305
"2011-10-13",8.25,8.62,8.18,8.61,9858152
"2011-10-20",8.71,9.28,8.71,9.1,12784418
"2011-10-27",8.89,8.97,8.74,8.85,12742594
"2011-11-03",8.61,8.63,8.43,8.59,8033635
"2011-11-10",8.27,8.32,8.07,8.11,7234159
"2011-11-17",8.04,8.1,7.72,7.78,8429638
"2011-12-01",8.3,8.49,8.23,8.33,10944209
"2011-12-08",8.49,8.49,8.25,8.27,6765444
"2011-12-15",8.28,8.48,8.21,8.42,8771169
"2011-12-22",8.36,8.5,8.28,8.4,5541934
"2011-12-29",8.41,8.62,8.4,8.6,3730480
"2012-01-05",8.57,8.64,8.39,8.62,4892130
"2012-01-12",8.93,9,8.68,8.97,5267351
"2012-01-19",9.11,9.36,9.05,9.3,7996230
"2012-01-26",9.57,9.78,9.3,9.38,8926475
"2012-02-02",9.77,9.84,9.68,9.75,4288886
"2012-02-09",9.63,9.79,9.49,9.78,5617522
"2012-02-16",9.52,9.64,9.43,9.59,3700331
"2012-02-23",9,9.04,8.77,8.87,6792046
"2012-03-01",9.02,9.1,8.86,8.88,7248673
"2012-03-08",8.51,8.56,8.43,8.5,4726413
"2012-03-15",8.17,8.5,8.06,8.45,15309399
"2012-03-22",8.29,8.31,8.15,8.19,5484887
"2012-03-29",8.3,8.44,8.17,8.4,8627915
"2012-04-05",8.4,8.47,8.28,8.31,5770464
"2012-04-12",7.98,8.19,7.98,8.14,6505295
"2012-04-19",8.07,8.3,7.94,8.23,14670157
"2012-04-26",8.05,8.14,8.02,8.09,8894687
"2012-05-03",8.18,8.37,8.12,8.22,7459004
"2012-05-10",8.26,8.3,8.1,8.1,5657171
"2012-05-17",8.23,8.38,8.05,8.35,20605751
"2012-05-24",8.4,8.85,8.37,8.74,15191481
"2012-05-31",8.9,9.14,8.84,9.03,13262717
"2012-06-07",8.91,9.15,8.85,8.86,9542490
"2012-06-14",9.2,9.4,9.14,9.2,11994530
"2012-06-21",9.33,9.36,9.16,9.21,12219728
"2012-06-28",9.14,9.21,8.93,9.21,7326328
"2012-07-05",9.24,9.27,9.06,9.15,7096485
"2012-07-12",9.46,9.53,9.31,9.31,8916700
"2012-07-19",9.8,9.82,9.08,9.15,15709126
"2012-07-26",8.59,8.69,8.51,8.68,8194181
"2012-08-02",9.06,9.14,8.89,8.94,11346372
"2012-08-09",9.07,9.14,9.02,9.04,6497392
"2012-08-16",9.03,9.09,9,9.07,7062736
"2012-08-23",9.33,9.38,9.28,9.3,8823053
"2012-08-30",8.85,9.04,8.83,8.96,4138342
"2012-09-06",9.13,9.32,9.05,9.21,6761760
"2012-09-13",9.15,9.18,9.01,9.11,6266882
"2012-09-20",9,9.05,8.87,8.94,3927125
"2012-09-27",8.93,8.96,8.8,8.88,5300435
"2012-10-04",9.16,9.16,9.04,9.1,6377852
"2012-10-11",8.8,8.82,8.71,8.71,4266026
"2012-10-18",8.98,9.1,8.95,8.98,12259614
"2012-10-25",8.8,8.92,8.74,8.83,5778919
"2012-11-01",8.82,9.07,8.82,9.05,6273834
"2012-11-08",9.01,9.22,8.99,9.18,5744228
"2012-11-15",8.74,8.95,8.74,8.84,6886876
"2012-11-29",9.46,9.55,9.43,9.5,7567574
"2012-12-06",9.79,9.88,9.77,9.88,6328476
"2012-12-13",10.03,10.23,10,10.14,5494537
"2012-12-20",10.58,10.58,10.43,10.54,7193000
"2012-12-27",10.32,10.37,10.13,10.26,4590545
"2013-01-03",10.46,10.77,10.44,10.72,8985837
"2013-01-10",11.09,11.09,10.94,11.07,8751670
"2013-01-17",11.34,11.43,11.17,11.4,8222432
"2013-01-24",11.47,11.62,11.38,11.45,11076174
"2013-01-31",11.22,11.38,11.21,11.21,9724942
"2013-02-07",11.47,11.65,11.41,11.61,7944447
"2013-02-14",11.6,11.6,11.38,11.47,8080751
"2013-02-21",11.42,11.48,11.31,11.45,6436921
"2013-02-28",11.82,11.9,11.64,11.7,7956918
"2013-03-07",11.97,12.12,11.94,12.09,6672692
"2013-03-14",12.46,12.55,12.37,12.55,5135714
"2013-03-21",12.72,12.9,12.72,12.76,5905733
"2013-03-28",13.25,13.58,13.21,13.48,11807453
"2013-04-04",12.54,12.85,12.54,12.8,7572524
"2013-04-11",13.06,13.25,13,13.09,6883500
"2013-04-18",13.16,13.16,12.92,12.98,3763479
"2013-04-25",13.52,13.61,13.33,13.42,8023811
"2013-05-02",13.49,13.83,13.48,13.76,5206781
"2013-05-09",14.37,14.42,14.06,14.09,5131502
"2013-05-16",14.37,14.49,14.03,14.14,9277100
"2013-05-23",13.9,14.4,13.87,14.37,9834521
"2013-05-30",14.18,14.37,14.18,14.27,7007873
"2013-06-06",13.53,13.68,13.19,13.5,12849841
"2013-06-13",13.85,14.06,13.81,13.98,5776379
