"","RF.Open","RF.High","RF.Low","RF.Close","RF.Volume"
"2011-09-15",3.89,3.93,3.85,3.93,32222834
"2011-09-22",3.48,3.55,3.36,3.42,27411734
"2011-09-29",3.55,3.62,3.41,3.55,22082722
"2011-10-06",3.31,3.7,3.21,3.66,36459707
"2011-10-13",3.77,3.78,3.54,3.68,17848075
"2011-10-20",3.7,3.74,3.55,3.69,22304208
"2011-10-27",4.06,4.27,3.97,4.14,40343987
"2011-11-03",4,4.08,3.78,3.99,46191072
"2011-11-10",4.2,4.25,4.05,4.14,37694165
"2011-11-17",4.04,4.18,3.9,3.94,28083628
"2011-12-01",4.03,4.14,3.93,4.12,20822403
"2011-12-08",4.11,4.13,3.86,4,25080552
"2011-12-15",4.04,4.07,3.95,3.97,13066914
"2011-12-22",4.24,4.45,4.23,4.4,14643907
"2011-12-29",4.24,4.36,4.22,4.36,10940204
"2012-01-05",4.29,4.6,4.24,4.52,31896750
"2012-01-12",4.73,4.78,4.61,4.69,42080919
"2012-01-19",4.96,4.99,4.89,4.94,18676557
"2012-01-26",5.39,5.42,5.08,5.17,22767894
"2012-02-02",5.27,5.46,5.23,5.44,19689374
"2012-02-09",5.57,5.7,5.54,5.68,17025186
"2012-02-16",5.78,5.91,5.71,5.91,20141089
"2012-02-23",5.79,6.03,5.62,5.91,27751182
"2012-03-01",5.82,5.91,5.77,5.85,13858366
"2012-03-08",5.9,5.92,5.73,5.79,20086469
"2012-03-15",6.25,6.58,6.14,6.44,63855584
"2012-03-22",6.49,6.54,6.38,6.44,21917117
"2012-03-29",6.48,6.53,6.37,6.52,16996598
"2012-04-05",6.44,6.51,6.32,6.43,27899920
"2012-04-12",6.19,6.31,6.16,6.3,12922818
"2012-04-19",6.28,6.28,6.05,6.12,17411879
"2012-04-26",6.6,6.77,6.56,6.75,21278296
"2012-05-03",6.82,6.98,6.75,6.98,34477454
"2012-05-10",6.71,6.76,6.6,6.67,21166663
"2012-05-17",6.26,6.41,6.18,6.19,22380840
"2012-05-24",6.36,6.43,6.26,6.33,22893020
"2012-05-31",6.2,6.32,6.08,6.29,17013878
"2012-06-07",6.12,6.22,5.96,6.09,23843498
"2012-06-14",6.31,6.37,6.23,6.33,20102995
"2012-06-21",6.75,6.78,6.49,6.51,17156451
"2012-06-28",6.31,6.59,6.25,6.54,26919536
"2012-07-05",6.83,6.87,6.73,6.74,12849100
"2012-07-12",6.48,6.53,6.41,6.47,17688026
"2012-07-19",6.76,6.77,6.58,6.65,13646111
"2012-07-26",6.97,7.09,6.93,7.07,25423711
"2012-08-02",6.78,6.88,6.68,6.72,24547200
