"","PCG.Open","PCG.High","PCG.Low","PCG.Close","PCG.Volume"
"2011-09-15",41.13,41.65,41.06,41.53,2393641
"2011-09-22",41.68,42.6,41.6,42.5,5285102
"2011-09-29",42.48,42.89,42.3,42.77,2252954
"2011-10-06",42.15,43.22,41.59,42.99,7302276
"2011-10-13",41.59,42.37,41.39,42.27,3397304
"2011-10-20",42.57,42.84,42.32,42.62,2311005
"2011-10-27",42.81,43.47,42.68,42.9,4719697
"2011-11-03",41.13,41.31,39.68,40.86,8758199
"2011-11-10",40.11,40.28,39.93,40.09,3445685
"2011-11-17",38.94,39.28,38.59,38.73,3448542
"2011-12-01",38.73,38.83,38.47,38.52,3137142
"2011-12-08",38.26,38.3,37.83,37.9,9702849
"2011-12-15",38.99,39.68,38.86,39.56,3949680
"2011-12-22",41.26,41.29,40.86,40.95,3345129
"2011-12-29",40.98,41.47,40.95,41.45,1674263
"2012-01-05",40.92,41.09,40.4,41.05,2546521
"2012-01-12",41.71,41.92,41.45,41.91,2579801
"2012-01-19",41.44,41.46,40.95,41.2,2575320
"2012-01-26",41.09,41.38,40.96,41.26,1976950
"2012-02-02",41.16,41.16,40.78,41.07,2760652
"2012-02-09",41.68,41.69,41.08,41.27,2396580
"2012-02-16",41.44,42.62,41.14,42.3,5594856
"2012-02-23",41.88,42,41.66,41.66,4375485
"2012-03-01",41.82,42.12,41.52,41.95,2223643
"2012-03-08",42.13,42.36,42.08,42.27,1838087
"2012-03-15",43.34,43.42,42.83,43.25,5260744
"2012-03-22",43.46,43.55,42.99,43.33,11245829
"2012-03-29",42.7,43.02,42.48,42.99,1741755
"2012-04-05",43.16,43.22,42.67,42.88,2709031
"2012-04-12",42.25,42.69,42.1,42.65,1912688
"2012-04-19",42.88,43.04,42.56,42.79,1474811
"2012-04-26",43.56,43.76,43.35,43.65,1196591
"2012-05-03",44.48,44.94,44.35,44.37,3009150
"2012-05-10",44.46,44.68,44.2,44.27,2296350
"2012-05-17",43.91,43.96,43.43,43.55,2524932
"2012-05-24",44.01,44.24,43.5,43.86,2645022
"2012-05-31",43.36,43.84,43.3,43.7,2487903
"2012-06-07",44.57,44.76,44.34,44.61,3346040
"2012-06-14",45.07,45.27,45,45.24,1812169
"2012-06-21",44.81,45.07,44.01,44.04,9220819
"2012-06-28",44.73,44.92,44.37,44.92,1690090
"2012-07-05",45.2,45.32,45.01,45.04,1167737
"2012-07-12",45.28,45.5,45.19,45.35,1171360
"2012-07-19",45.17,45.46,44.92,45.3,1756811
"2012-07-26",45.31,45.75,45.27,45.67,1705935
"2012-08-02",45.78,45.92,45.21,45.74,1469025
"2012-08-09",45.01,45.39,44.9,45.39,2653044
"2012-08-16",44.83,45.05,44.28,44.3,2783981
"2012-08-23",44.35,44.35,43.74,43.79,1055983
"2012-08-30",43.72,43.8,43.55,43.56,1596380
"2012-09-06",43.25,43.39,43.15,43.19,2828421
"2012-09-13",42.98,43.33,42.85,43.33,2901812
"2012-09-20",42.5,42.71,42.45,42.65,1220064
"2012-09-27",42.68,42.68,42.26,42.41,2013976
"2012-10-04",42.64,42.87,42.42,42.86,3441754
"2012-10-11",43.23,43.53,43.06,43.07,1623592
"2012-10-18",43.35,43.52,43.21,43.21,3739752
"2012-10-25",42.06,42.2,41.98,42.04,4102586
"2012-11-01",42.52,42.67,42.03,42.09,1757741
"2012-11-08",41.18,41.43,40.91,40.92,2152200
"2012-11-15",40.5,40.85,39.99,40.17,2920664
"2012-11-29",40.5,40.76,40.22,40.53,3585854
"2012-12-06",40.85,40.94,40.64,40.66,2125260
"2012-12-13",40.74,40.84,40.45,40.57,1534069
"2012-12-20",41.5,41.92,41.5,41.92,3574064
"2012-12-27",40.03,40.21,39.73,40.02,2954765
"2013-01-03",40.85,40.9,40.58,40.76,3578587
"2013-01-10",40.9,41.03,40.78,40.87,2455449
"2013-01-17",40.72,41.04,40.58,40.82,2127746
"2013-01-24",41.47,41.7,41.36,41.51,2442589
"2013-01-31",42.52,42.71,42.36,42.64,3049722
"2013-02-07",42.64,42.97,42.48,42.76,1957506
"2013-02-14",42.47,42.63,42.4,42.43,3119512
"2013-02-21",42.25,42.7,41,41.41,8338139
"2013-02-28",42.17,42.81,42.06,42.64,4682704
"2013-03-07",43.14,43.39,42.78,42.87,1965828
"2013-03-14",43.31,43.59,43.21,43.56,2288415
"2013-03-21",43.75,43.87,43.6,43.67,1470698
"2013-03-28",44.04,44.57,43.96,44.53,2786860
"2013-04-04",45.58,46.16,45.46,46.14,3258927
"2013-04-11",47.24,47.24,46.85,47.01,1504108
"2013-04-18",47,47.22,46.64,46.72,2690325
"2013-04-25",47.9,48.17,47.72,47.88,2136570
"2013-05-02",47.65,47.86,46.71,47.23,3132487
"2013-05-09",46.92,47.02,45.92,46.06,2862538
"2013-05-16",47.25,47.29,46.82,46.88,2811971
"2013-05-23",46.57,46.58,45.72,46.49,1856530
"2013-05-30",45.08,45.85,44.97,45.04,2709290
"2013-06-06",44.03,45.02,43.91,45.02,2827931
"2013-06-13",44.28,44.94,44.23,44.87,1838307
"2013-06-20",44.36,44.4,43.49,43.59,2299694
"2013-06-27",44.99,45.25,44.54,44.63,1798855
"2013-07-11",45.47,45.73,45.27,45.5,2001012
"2013-07-18",45.34,45.79,45.24,45.52,2808080
"2013-07-25",45.04,45.64,44.99,45.61,1895206
"2013-08-01",46.24,46.9,46.05,46.31,1966905
"2013-08-08",45.4,45.55,45.14,45.39,1536071
"2013-08-15",43.64,43.75,43.32,43.35,1622717
"2013-08-22",41.97,42.24,41.4,41.43,3378289
"2013-08-29",41.62,41.69,41.08,41.32,1919106
"2013-09-05",40.81,41,40.67,40.85,2000671
"2013-09-12",41.13,41.34,40.72,40.76,1210813
"2013-09-19",42.28,42.47,41.87,41.99,2246038
"2013-09-26",41.53,41.54,40.93,41.04,2810424
"2013-10-03",40.76,40.78,40.27,40.31,2534290
"2013-10-10",41.18,41.42,40.65,41.35,1900699
"2013-10-17",40.73,41.42,40.5,41.36,1626281
"2013-10-24",41.66,41.68,41.35,41.5,2620340
"2013-10-31",41.78,42.05,41.23,41.85,2649879
