"","ESS.Open","ESS.High","ESS.Low","ESS.Close","ESS.Volume"
"2011-09-15",142.38,142.38,140.65,141.78,356446
"2011-09-22",124.1,126.27,122.16,123.18,700746
"2011-09-29",122,123.21,120.2,123.21,360194
"2011-10-06",119.63,123.87,118.58,123.82,387822
"2011-10-13",126.16,127.07,124.22,125.3,525090
"2011-10-20",134.79,134.79,129.81,132.56,354652
"2011-10-27",144.37,147.95,143.51,146.19,684569
"2011-11-03",124.8,138.41,124.8,136.16,824000
"2011-11-10",134.82,135.32,133.56,134.26,339795
"2011-11-17",134.37,134.41,130.32,130.65,217635
"2011-12-01",133.07,134.3,131.16,133.94,541091
"2011-12-08",133.58,134.37,131.95,132.2,204659
"2011-12-15",134.47,136.58,133.47,135.92,268794
"2011-12-22",140.09,142.85,140.09,141.78,170925
"2011-12-29",140.2,142.46,140.2,140.58,221013
"2012-01-05",137.77,140.87,137.06,140.57,188742
"2012-01-12",139.04,139.04,136.6,136.94,288847
"2012-01-19",141.4,141.81,138.79,138.98,392390
"2012-01-26",144.81,146.31,144.28,145.6,290942
"2012-02-02",146.17,147.65,144.63,147.11,374542
"2012-02-09",145.32,146.6,143.33,143.74,234188
"2012-02-16",142.48,143.26,141.6,142.33,303380
"2012-02-23",138.38,140,138.14,139.83,209298
"2012-03-01",140.3,141.41,139.82,140.83,220072
"2012-03-08",143.02,144.19,142.82,143.37,356246
"2012-03-15",147.3,147.6,145.95,146.84,355126
"2012-03-22",146.56,146.56,144.34,145.77,301784
"2012-03-29",147.16,150.34,147.16,149.91,280278
"2012-04-05",150.06,151.44,149.76,150.66,158562
"2012-04-12",148.67,150.9,148.29,150.78,289908
"2012-04-19",153.55,154.59,153.16,154.28,297198
"2012-04-26",158.1,159.18,156.86,158.52,233198
"2012-05-03",158.1,159.19,155.93,156.29,317624
"2012-05-10",158.86,159.2,156.6,157.54,378269
"2012-05-17",154.08,154.38,150.02,150.07,288204
"2012-05-24",152.15,152.97,150.74,152.04,233160
"2012-05-31",149.87,151.68,148.03,150.46,355900
"2012-06-07",155.4,155.4,151.29,151.43,202148
"2012-06-14",149.87,152.19,149.71,151.83,288846
"2012-06-21",152.6,152.6,149.44,149.91,316749
"2012-06-28",147.57,150.71,147.13,150.71,274894
"2012-07-05",155.54,156.22,155.12,155.84,239065
"2012-07-12",155.02,158.16,154.03,157.34,222998
"2012-07-19",159.28,159.36,156.51,157.42,202074
"2012-07-26",159.19,159.69,155.2,156.47,302009
"2012-08-02",157.36,157.36,154.61,156.27,300575
"2012-08-09",150.45,152.12,149.62,151.28,285444
"2012-08-16",151.2,151.38,149.57,150.59,379950
"2012-08-23",151.34,153.38,150.58,152.05,244608
"2012-08-30",152.03,152.31,150.97,151.47,123255
"2012-09-06",153.93,154.89,153.49,154.04,181261
"2012-09-13",153.38,155.13,152.6,155.13,330948
"2012-09-20",153.64,154.02,150.69,151.65,216992
"2012-09-27",149.17,150.45,148.03,148.89,185668
