"","IDXX.Open","IDXX.High","IDXX.Low","IDXX.Close","IDXX.Volume"
"2016-05-12",87.52,87.76,86.52,87.15,703305
"2016-05-19",87.75,88.39,87.22,88.18,542572
"2016-05-26",89.99,91.94,89.5,89.74,740047
"2016-06-02",87.42,88.89,87.42,88.89,632259
"2016-06-09",88.52,90.25,88.52,90.25,747148
"2016-06-16",88.24,89.02,87.8,89.01,568256
"2016-06-23",90.59,91.74,89.25,91.67,526865
"2016-06-30",91.6,92.87,90.7,92.86,804991
"2016-07-07",93.86,94.15,93.44,93.86,403948
"2016-07-14",93.81,94.02,93.03,93.21,473780
"2016-07-21",95,95.55,93.96,94.26,235894
"2016-07-28",92.77,93.78,92.52,93.21,598631
"2016-08-04",107.18,108.5,107.02,107.98,975472
"2016-08-11",110,111.13,109.74,110.96,596798
"2016-08-18",110.87,111.15,110.36,110.84,290173
"2016-08-25",109.48,110.56,109.43,109.91,337246
"2016-09-01",113.01,113.89,112.26,113.16,385749
"2016-09-08",114.61,114.83,113.82,114.2,339361
"2016-09-15",108.48,109.84,108.31,109.56,392109
