"","NWS.Open","NWS.High","NWS.Low","NWS.Close","NWS.Volume"
"2013-06-20",16.25,16.3,15.36,15.44,1874512
"2013-06-27",14.78,15.74,14.66,15.37,3257972
"2013-07-11",15.8,15.8,15.06,15.21,3630207
"2013-07-18",16.04,16.25,15.46,15.6,2827883
"2013-07-25",15.91,16.04,15.64,15.76,2097226
"2013-08-01",16.11,16.42,16.09,16.39,1951644
"2013-08-08",16.32,16.51,16.15,16.38,2109532
"2013-08-15",16.06,16.39,15.94,16.32,1351588
"2013-08-22",15.99,16.03,15.82,15.88,1611645
"2013-08-29",15.98,16.08,15.83,15.96,797468
"2013-09-05",16.2,16.44,16.07,16.39,1912054
"2013-09-12",17.19,17.46,17.11,17.3,601602
"2013-09-19",17.39,17.39,16.91,17.13,884183
"2013-09-26",17.12,17.12,16.47,16.67,2539023
"2013-10-03",16.5,16.59,16.21,16.27,2186128
"2013-10-10",16.39,16.67,16.39,16.64,1069198
"2013-10-17",17.19,17.28,17.1,17.26,861275
"2013-10-24",17.58,17.8,17.5,17.72,931744
"2013-10-31",17.81,18.14,17.73,17.94,1810323
"2013-11-07",17.75,18.12,17.58,17.61,660607
"2013-11-14",17.5,17.67,17.47,17.51,573869
"2013-11-21",17.84,17.97,17.76,17.8,299182
"2013-12-05",17.46,17.46,17.26,17.37,514288
"2013-12-12",17.39,17.5,17.31,17.35,466756
"2013-12-19",17.27,17.31,17.05,17.21,386802
"2013-12-26",17.84,17.95,17.58,17.7,240188
"2014-01-02",17.84,18.03,17.76,17.89,758530
"2014-01-09",17.33,17.47,17.2,17.3,594248
"2014-01-16",17.06,17.17,16.99,17.04,506010
"2014-01-23",16.58,16.58,16.39,16.55,372693
"2014-01-30",16.05,16.05,15.75,15.8,1937256
"2014-02-06",15.4,15.74,15.18,15.66,1457774
"2014-02-13",17.26,17.39,17.02,17.26,540101
"2014-02-20",17.28,17.28,16.97,17.11,448098
"2014-02-27",17.56,17.68,17.49,17.66,550447
"2014-03-06",17.86,18.01,17.74,17.86,321821
"2014-03-13",17.61,17.61,17.03,17.07,516165
"2014-03-20",17.14,17.23,16.97,17.11,475229
"2014-03-27",16.44,16.69,16.44,16.5,441930
"2014-04-03",16.95,17.02,16.66,16.69,761726
"2014-04-10",16.78,16.93,16.46,16.48,354326
"2014-04-17",16.43,16.59,16.35,16.47,168185
"2014-04-24",17,17,16.73,16.95,434411
"2014-05-01",16.6,16.87,16.58,16.76,592047
"2014-05-08",16.59,16.62,16.35,16.57,652476
"2014-05-15",16.82,16.82,16.52,16.56,583720
"2014-05-22",16.51,16.77,16.41,16.77,377390
"2014-05-29",16.71,16.72,16.55,16.64,394164
"2014-06-05",17.08,17.27,16.88,17.27,568534
"2014-06-12",17.07,17.07,16.84,16.85,611730
"2014-06-19",17.16,17.18,16.77,17.16,538416
"2014-06-26",17.27,17.54,17.04,17.54,1889532
"2014-07-03",17.77,17.82,17.68,17.77,293248
"2014-07-10",17.51,17.59,17.39,17.51,757709
"2014-07-17",17.61,17.64,17.46,17.5,711948
"2014-07-24",17.51,17.74,17.51,17.73,804626
"2014-07-31",17.23,17.44,17.16,17.21,729518
"2014-08-07",17.2,17.26,16.93,17,1064015
"2014-08-14",16.66,16.98,16.66,16.97,1081042
"2014-08-21",17.12,17.22,17.03,17.19,930761
"2014-08-28",17.22,17.36,16.98,17.29,541963
"2014-09-04",17.29,17.44,17.24,17.3,678199
"2014-09-11",17.05,17.14,16.93,16.95,619682
