"","SIG.Open","SIG.High","SIG.Low","SIG.Close","SIG.Volume"
"2011-09-15",37.59,38.03,37.13,37.37,490066
"2011-09-22",34.17,34.17,32.6,32.98,717279
"2011-09-29",34.55,34.65,33.04,34.24,954482
"2011-10-06",37.19,39.34,37.17,39.31,787270
"2011-10-13",39.7,40.25,38.83,39.33,1214039
"2011-10-20",39.32,40.06,38.71,40.03,506893
"2011-10-27",44.23,45.2,43.74,44.52,824374
"2011-11-03",43.14,43.14,41.62,43.07,506717
"2011-11-10",44.96,45.9,44.77,45.27,15167084
"2011-11-17",44.15,44.37,43.02,43.33,912419
"2011-12-01",44.28,45.56,43.92,44.21,1017814
"2011-12-08",44.81,45.36,44,44.14,647810
"2011-12-15",42.64,42.92,42.15,42.76,515178
"2011-12-22",43.87,44.49,43.08,43.18,582111
"2011-12-29",43.38,44.03,43.11,43.88,289825
"2012-01-05",45.46,47.2,44.64,46.77,729330
"2012-01-12",45.06,45.13,44.44,44.88,625457
"2012-01-19",45.06,47.17,44.84,47,1386269
"2012-01-26",47.52,47.67,46.62,46.97,332221
"2012-02-02",46.44,46.67,45.9,46.13,365479
"2012-02-09",44.88,45.02,43.98,44.64,1319101
"2012-02-16",46.2,47.31,45.77,46.86,719868
"2012-02-23",47.91,48.27,47.42,47.97,420985
"2012-03-01",47.15,48.38,47.15,47.67,984277
"2012-03-08",47.51,48.52,47.17,48.41,307863
"2012-03-15",49.78,49.82,49.14,49.53,679545
"2012-03-22",49.74,50.83,48.53,49.21,1739341
"2012-03-29",48.56,48.85,47.77,48.6,1428181
"2012-04-05",47.7,48.72,47.68,48.09,448139
"2012-04-12",46.49,47.56,46.24,47.07,496980
"2012-04-19",47.52,47.54,46.04,46.8,799959
"2012-04-26",46.92,48,46.75,47.81,766202
"2012-05-03",49.1,49.49,48.08,48.44,711644
"2012-05-10",46.66,47.05,46.27,46.4,530015
"2012-05-17",45.68,45.72,43.8,43.85,1077383
"2012-05-24",43,44.91,41.93,44.01,5372679
"2012-05-31",43.98,44.12,43.15,43.66,3295069
"2012-06-07",44.07,44.35,43.25,43.31,444703
"2012-06-14",42.67,43.65,42.53,43.27,360410
"2012-06-21",43.56,43.78,41.71,41.94,605246
"2012-06-28",40.85,42.11,40.74,42.08,815595
"2012-07-05",46.18,46.3,45.48,45.88,640389
"2012-07-12",42.2,42.55,40.86,42.21,737796
"2012-07-19",45.04,45.59,44.93,45.19,404594
"2012-07-26",44.15,44.24,43.28,43.7,302205
"2012-08-02",42.42,42.95,42,42.6,570990
"2012-08-09",46.14,47.13,46.08,46.89,446809
"2012-08-16",46.66,47.24,46.33,47.06,526067
"2012-08-23",48.01,48.41,46.48,46.88,1243665
"2012-08-30",45.57,45.84,44.8,45.21,453254
"2012-09-06",46.23,47.23,46.18,47.17,380992
"2012-09-13",49.11,50.32,49.02,49.97,1005603
"2012-09-20",50.16,50.67,49.82,50.58,326342
"2012-09-27",48.55,48.72,48.05,48.57,847240
"2012-10-04",49.4,49.98,49.16,49.64,450389
"2012-10-11",49.55,49.71,48.73,48.84,452034
"2012-10-18",50.98,51.37,50.69,51.16,1273710
"2012-10-25",50.56,51.9,50.49,51.71,1508636
"2012-11-01",51.8,54.86,51.58,54,1915495
"2012-11-08",53.05,53.21,52.19,52.3,422230
"2012-11-15",51.78,52.18,51.18,51.24,956102
"2012-11-29",53.5,54.43,53.38,54.21,504484
"2012-12-06",53.86,54.19,53.68,53.99,309466
"2012-12-13",55.08,55.48,54.81,55.07,342067
"2012-12-20",55.98,56.27,54.81,55.34,670380
"2012-12-27",53.41,53.55,52.39,53.09,648913
"2013-01-03",53.67,54.83,53.67,54.19,1874517
"2013-01-10",60.01,60.46,59.23,59.37,1565090
"2013-01-17",60.33,61.17,60.21,60.95,677957
"2013-01-24",60.69,61.74,60.56,61.21,406049
"2013-01-31",62.72,63.23,62.48,62.58,869583
"2013-02-07",63.37,63.98,62.29,62.92,346639
"2013-02-14",62.38,62.78,62.22,62.66,332227
"2013-02-21",62.13,62.13,59.74,59.79,848824
"2013-02-28",60.99,62.23,60.91,61.22,471850
"2013-03-07",60.52,60.92,60.12,60.77,472549
"2013-03-14",62.19,63.16,61.82,63.07,403908
"2013-03-21",62.81,63.18,61.51,61.83,439453
"2013-03-28",66.55,69.41,65.25,67,2173643
"2013-04-04",66.89,67.02,65.03,66.02,1635658
"2013-04-11",68.65,70.02,68.49,69,832060
"2013-04-18",66,66.2,65.27,65.63,695300
"2013-04-25",67.74,68.18,67.4,67.95,633286
"2013-05-02",68.11,69.59,68.03,69.39,578055
"2013-05-09",69.88,70.26,69.37,69.76,367864
"2013-05-16",70.09,70.91,69.31,69.57,636116
"2013-05-23",70.47,71.25,69.18,70.68,1334954
"2013-05-30",68.76,69,68.38,68.75,722197
"2013-06-06",66.82,67.64,66.66,67.64,468622
"2013-06-13",67.03,67.77,67.02,67.63,623727
"2013-06-20",68.58,68.58,66.56,66.76,627527
"2013-06-27",67.51,68.19,67.35,67.51,383380
"2013-07-11",71.24,71.34,70.57,71.01,479075
"2013-07-18",71.12,72.01,70.95,71.55,251184
"2013-07-25",71.09,72.05,70.9,71.91,154796
"2013-08-01",73.16,75.63,73.12,74.65,798981
"2013-08-08",73.49,74.05,73.08,73.84,357880
"2013-08-15",73.3,73.54,72.16,72.51,441530
"2013-08-22",72.05,72.67,70.02,70.33,644308
"2013-08-29",67.5,67.5,66.21,67,2621674
"2013-09-05",66.84,67.4,66.47,67.02,435454
"2013-09-12",69.02,69.74,68.18,68.2,281485
"2013-09-19",70.84,72.4,70.69,71.89,852773
"2013-09-26",70.84,71.24,70.38,70.69,413452
"2013-10-03",71.96,72.64,71.3,71.64,440833
"2013-10-10",70.57,70.93,70.27,70.88,641267
"2013-10-17",74.1,75.27,73.94,74.93,688379
"2013-10-24",75.79,76.47,75.54,75.7,905507
"2013-10-31",75.19,75.49,74.49,74.66,957651
"2013-11-07",77.28,78,73.95,73.96,945319
"2013-11-14",77.71,78.47,77.32,78.34,295738
"2013-11-21",77.24,77.92,76.58,77.44,451228
"2013-12-05",75.88,76.11,74.91,75.69,657986
"2013-12-12",75.28,75.68,75.02,75.18,314076
"2013-12-19",76.94,77.02,75.46,76.06,405434
"2013-12-26",78,78.8,77.8,78.43,500935
"2014-01-02",78.71,79.53,78.33,78.71,769019
"2014-01-09",74.34,75.7,73.2,73.63,3129335
"2014-01-16",73.16,73.5,72.23,73.1,746842
"2014-01-23",75.34,75.83,74.94,75.8,1248497
"2014-01-30",79.72,80.92,79.46,80.86,1725675
"2014-02-06",76.84,78.51,75.92,78.44,1066911
"2014-02-13",78.4,79.78,78.4,79.53,1698843
"2014-02-20",93.88,95.05,93.22,94.22,2042960
"2014-02-27",95.47,96.35,94.51,95.72,1201195
"2014-03-06",97.55,98.81,97.28,98.5,630443
"2014-03-13",97.44,99.08,96.84,98,1156937
"2014-03-20",101.49,102.08,100.65,102.01,991199
"2014-03-27",101.95,107.38,101.01,105.03,4143993
