"","AES.Open","AES.High","AES.Low","AES.Close","AES.Volume"
"2011-09-15",10.7,10.89,10.6,10.89,6818211
"2011-09-22",9.99,10.02,9.69,9.83,15174009
"2011-09-29",10.19,10.28,10.04,10.26,6978868
"2011-10-06",9.69,10.22,9.66,10.16,6571842
"2011-10-13",10.36,10.46,10.14,10.39,6205354
"2011-10-20",10.78,10.86,10.57,10.82,5589812
"2011-10-27",11.29,11.7,11.29,11.52,9991890
"2011-11-03",11.4,11.67,11.3,11.58,5835760
"2011-11-10",11.62,11.67,11.35,11.48,4755219
"2011-11-17",11.67,11.68,11.36,11.49,7689467
"2011-12-01",12.01,12.24,11.96,12.11,6622395
"2011-12-08",11.94,12,11.47,11.5,8389838
"2011-12-15",11.68,11.85,11.56,11.57,5811785
"2011-12-22",11.66,11.84,11.64,11.8,4791243
"2011-12-29",11.81,11.95,11.79,11.88,2324671
"2012-01-05",12.02,12.38,11.9,12.32,8710586
"2012-01-12",12.71,12.74,12.49,12.55,4151094
"2012-01-19",12.84,12.94,12.75,12.92,4187782
"2012-01-26",13.15,13.15,12.86,12.94,5069258
"2012-02-02",12.97,13.06,12.92,13.01,2496174
"2012-02-09",13,13.09,12.86,12.98,2407366
"2012-02-16",13.47,13.84,13.42,13.78,4867477
"2012-02-23",13.82,14.01,13.63,13.77,5112610
"2012-03-01",13.46,13.72,13.44,13.53,3683679
"2012-03-08",13.14,13.29,13.1,13.18,5558423
"2012-03-15",13.05,13.19,13,13.15,7273566
"2012-03-22",12.98,13.05,12.78,12.86,4719884
"2012-03-29",12.9,13.06,12.75,13.02,5820951
"2012-04-05",13.11,13.11,12.86,12.92,4292764
"2012-04-12",12.47,12.7,12.43,12.66,2736508
"2012-04-19",12.27,12.27,12.08,12.12,6657831
"2012-04-26",12.19,12.51,12.12,12.42,5466718
"2012-05-03",12.31,12.38,12.18,12.21,6022088
"2012-05-10",12.22,12.51,12.18,12.37,7033294
"2012-05-17",12.15,12.18,11.97,11.98,3871931
"2012-05-24",12.24,12.38,12.2,12.38,5721965
"2012-05-31",12.28,12.33,12.06,12.09,9167104
"2012-06-07",12.58,12.67,12.34,12.36,8306771
"2012-06-14",12.39,12.65,12.34,12.62,5199188
"2012-06-21",12.43,12.61,12.11,12.13,4283086
"2012-06-28",12.37,12.64,12.36,12.62,3821455
"2012-07-05",12.75,12.88,12.71,12.83,4550663
"2012-07-12",12.64,12.7,12.54,12.6,4272891
"2012-07-19",12.69,12.9,12.65,12.82,8151699
"2012-07-26",11.97,12.14,11.89,11.97,7507422
"2012-08-02",11.92,12.11,11.81,12.11,7263720
"2012-08-09",11.7,11.8,11.64,11.76,5944571
"2012-08-16",11.71,11.88,11.64,11.79,5804949
"2012-08-23",11.65,11.66,11.36,11.38,4300118
"2012-08-30",11.48,11.5,11.37,11.39,2436144
"2012-09-06",11.36,11.43,11.17,11.37,8654688
"2012-09-13",11.31,11.51,11.21,11.5,6149505
"2012-09-20",11.09,11.21,11.02,11.2,6313045
"2012-09-27",10.97,11.06,10.86,10.89,5549402
"2012-10-04",10.96,11.09,10.9,11,4994532
"2012-10-11",10.69,10.86,10.67,10.7,4124621
"2012-10-18",11.1,11.25,11.03,11.15,4746918
"2012-10-25",10.55,10.62,10.36,10.45,4479711
"2012-11-01",10.49,10.8,10.42,10.54,8866245
"2012-11-08",10.08,10.18,10.01,10.15,6118187
"2012-11-15",9.79,9.93,9.58,9.72,6977070
"2012-11-29",10.44,10.46,10.28,10.42,4427014
"2012-12-06",10.87,10.96,10.79,10.84,6648234
"2012-12-13",10.72,10.78,10.61,10.77,4566605
"2012-12-20",10.96,11.03,10.88,11.02,2636283
"2012-12-27",10.74,10.78,10.44,10.64,3612602
"2013-01-03",10.95,11.05,10.88,10.94,8414927
"2013-01-10",10.95,11.11,10.88,11.09,3721888
"2013-01-17",11,11.14,10.99,11.07,2679059
"2013-01-24",11.22,11.3,11.04,11.09,7951677
"2013-01-31",10.89,10.95,10.78,10.84,7138758
"2013-02-07",11.06,11.14,10.99,11.11,5472401
"2013-02-14",11.31,11.38,11.21,11.21,4892310
"2013-02-21",11.35,11.36,11.04,11.06,4102011
"2013-02-28",11.67,11.79,11.6,11.62,8717028
"2013-03-07",12.35,12.38,12.25,12.32,5021000
"2013-03-14",12.63,12.73,12.53,12.57,8852209
"2013-03-21",12.63,12.69,12.42,12.42,4838142
"2013-03-28",12.57,12.61,12.47,12.57,4020763
"2013-04-04",12.47,12.62,12.45,12.53,3258936
"2013-04-11",12.87,12.98,12.85,12.93,4612532
"2013-04-18",12.64,12.68,12.53,12.62,6448815
"2013-04-25",13.26,13.6,13.16,13.46,7346173
"2013-05-02",13.86,13.88,13.7,13.83,3763648
"2013-05-09",13.79,13.8,13.18,13.22,7821944
"2013-05-16",13.01,13.06,12.78,12.86,8300235
"2013-05-23",12.75,12.98,12.54,12.9,5945494
"2013-05-30",12.4,12.66,12.3,12.31,4497016
"2013-06-06",12.06,12.33,12.02,12.28,5947758
"2013-06-13",12.17,12.41,12.12,12.39,3174968
"2013-06-20",11.63,11.74,11.38,11.43,7258249
"2013-06-27",11.97,12.1,11.9,11.96,7370668
"2013-07-11",12.41,12.54,12.39,12.53,4191129
"2013-07-18",12.74,12.83,12.72,12.75,3592763
"2013-07-25",12.37,12.47,12.25,12.45,3675121
"2013-08-01",12.53,12.7,12.4,12.66,3259619
"2013-08-08",12.89,13.38,12.78,13.13,5706230
"2013-08-15",12.9,12.94,12.74,12.81,3644496
"2013-08-22",12.65,12.94,12.6,12.88,3461029
"2013-08-29",12.86,12.96,12.72,12.78,1931209
"2013-09-05",12.59,12.73,12.59,12.71,2394332
"2013-09-12",13.46,13.49,13.28,13.38,3657520
"2013-09-19",13.7,13.77,13.51,13.59,2635856
"2013-09-26",13.52,13.65,13.49,13.59,2705524
"2013-10-03",13.31,13.34,13.16,13.25,2856870
"2013-10-10",13.31,13.57,13.21,13.55,4400819
"2013-10-17",13.73,14.21,13.68,14.06,6067912
"2013-10-24",14.07,14.19,13.96,14.07,3740404
"2013-10-31",14.22,14.29,13.96,14.09,4648569
"2013-11-07",14.09,14.36,13.62,13.7,6617249
"2013-11-14",15.16,15.25,15.01,15.2,7375375
"2013-11-21",14.7,14.77,14.6,14.63,3720302
"2013-12-05",15.26,15.29,14.68,14.74,11045760
"2013-12-12",14.02,14.27,13.77,13.85,14114456
"2013-12-19",14.14,14.24,14.03,14.12,5851439
"2013-12-26",14.47,14.64,14.45,14.46,2892072
"2014-01-02",14.51,14.56,14.19,14.27,3987216
"2014-01-09",14.36,14.54,14.27,14.46,5359464
"2014-01-16",14.28,14.37,14.18,14.31,4247117
"2014-01-23",14.35,14.4,14.06,14.19,5266322
"2014-01-30",13.8,13.97,13.73,13.95,3184882
"2014-02-06",13.85,13.99,13.79,13.96,3388811
"2014-02-13",14.21,14.6,14.2,14.49,3640580
"2014-02-20",14.37,14.76,14.37,14.52,5707346
"2014-02-27",14.08,14.1,13.74,13.78,10287967
"2014-03-06",14.04,14.14,13.91,13.99,5778843
"2014-03-13",13.84,13.94,13.78,13.84,3937780
"2014-03-20",13.82,14,13.7,13.97,4092260
"2014-03-27",13.76,14.06,13.75,14.02,4550130
"2014-04-03",14.29,14.41,14.22,14.25,4360034
"2014-04-10",14.3,14.58,14.29,14.43,5899452
"2014-04-17",14.33,14.45,14.18,14.26,2902545
"2014-04-24",14.33,14.6,14.27,14.51,4101326
"2014-05-01",14.46,14.77,14.42,14.73,4599407
"2014-05-08",14,14.43,13.94,14.08,8089125
"2014-05-15",14.18,14.24,14.08,14.2,3564887
"2014-05-22",13.56,13.76,13.42,13.68,10871615
"2014-05-29",13.86,13.96,13.8,13.96,7454678
"2014-06-05",14.01,14.36,14.01,14.28,6039096
"2014-06-12",14.25,14.28,14.09,14.17,6047731
"2014-06-19",15.06,15.3,15.06,15.21,6715751
"2014-06-26",15.37,15.56,15.18,15.45,7025387
"2014-07-03",15.37,15.51,15.24,15.46,3206071
"2014-07-10",15.35,15.56,15.31,15.53,3493690
"2014-07-17",15.23,15.33,15.04,15.07,3400578
"2014-07-24",15.24,15.31,15.08,15.28,3098002
"2014-07-31",14.89,14.98,14.58,14.61,3893012
"2014-08-07",14.01,14.44,14.01,14.39,4431196
