"","AZO.Open","AZO.High","AZO.Low","AZO.Close","AZO.Volume"
"2011-09-15",325.78,327,324,325.77,337691
"2011-09-22",317.87,320.37,311.72,316.13,713177
"2011-09-29",337.23,337.23,313.18,317.58,529489
"2011-10-06",317.06,323.19,316.11,322.37,362090
"2011-10-13",327.14,328.76,325,326.56,359877
"2011-10-20",327.03,328.61,325.18,326.95,346600
"2011-10-27",333.09,333.75,329.51,330.64,458263
"2011-11-03",325.61,326.32,321.58,324.66,355595
"2011-11-10",327.61,331.21,327,330.71,233418
"2011-11-17",331.59,332.63,327.21,328.32,154896
"2011-12-01",329.01,336.33,329.01,335.3,248978
"2011-12-08",333.58,334.2,329.1,329.67,263307
"2011-12-15",325.32,330.04,323.7,327.32,293817
"2011-12-22",330.75,331.06,327.84,329,272816
"2011-12-29",328.59,329.31,325.4,326.25,160949
"2012-01-05",323.98,334.1,321.19,333.85,666460
"2012-01-12",341.59,343.49,339.39,342.98,337381
"2012-01-19",347.48,347.48,344.63,346.5,671595
"2012-01-26",348.62,348.9,347.24,347.91,323063
"2012-02-02",352.6,353.25,349.14,349.17,159946
"2012-02-09",347.27,354.25,347.27,354.04,305522
"2012-02-16",357.01,359.12,353.8,357.96,451522
"2012-02-23",359.23,360.4,358,358.5,219760
"2012-03-01",375.12,378.96,373.75,378.44,485508
"2012-03-08",384.88,386,380.41,380.5,426643
"2012-03-15",378.94,380.52,377.16,379,279215
"2012-03-22",375.49,379.4,375.02,378.13,273634
"2012-03-29",375.21,376.84,373.55,374.34,239529
"2012-04-05",384.75,385.09,380.11,383.8,715112
"2012-04-12",375.91,379.34,373.84,378.73,273556
"2012-04-19",379.42,382.41,378.67,380,535470
"2012-04-26",380.95,395.12,380.95,393.72,833541
"2012-05-03",397.72,398.2,392.71,393.7,179382
"2012-05-10",383.9,388.22,382.1,385.73,327141
"2012-05-17",375.97,377.97,362.66,365.58,1870951
"2012-05-24",370.01,373.89,369,369.4,631854
"2012-05-31",377.99,382.68,373.5,380.26,1006556
"2012-06-07",388.06,391.9,383.88,383.88,429706
"2012-06-14",384.87,387.59,383.16,385.75,389359
"2012-06-21",387.58,388,378.27,381.64,399832
"2012-06-28",356.67,359.57,353.88,358.43,646757
"2012-07-05",357.55,368.87,357.55,366.55,329684
"2012-07-12",368.61,386.13,368.61,382.45,1088777
"2012-07-19",385.02,385.02,378.12,382.9,339186
"2012-07-26",380,380,367.14,373.38,507697
"2012-08-02",362.19,364.68,357.51,362.34,569144
"2012-08-09",357.29,365.15,356.99,363.12,554278
"2012-08-16",356.47,359.14,355.75,358.55,349259
"2012-08-23",364.45,365.92,361.68,363.26,195350
"2012-08-30",362.25,364.21,358.15,359.87,347601
"2012-09-06",364.96,370.41,363.32,368.72,412102
"2012-09-13",371.77,373.67,367.5,369.96,500786
"2012-09-20",376.67,376.67,364.67,371.63,1391406
"2012-09-27",374.9,378.52,370.08,371.47,610186
"2012-10-04",369.5,377.89,369.5,376.79,564017
"2012-10-11",380.46,380.46,374.35,374.35,426913
"2012-10-18",366.35,373.33,365.26,370.39,721463
"2012-10-25",367.43,370.05,363.73,367.78,387356
"2012-11-01",376,386.8,372.26,380.34,673071
"2012-11-08",383.75,385.44,378.45,378.97,338023
"2012-11-15",369.87,373.82,367.88,372.78,290717
"2012-11-29",381.84,382.7,377.74,379.78,485869
"2012-12-06",355.92,367.17,355.38,364.07,668320
"2012-12-13",358.27,363.17,357.6,359.32,547379
"2012-12-20",359.43,360.74,355.23,356.02,552896
"2012-12-27",351.25,354.09,345.3,353.1,437831
"2013-01-03",355.43,357.91,353.75,356.14,299253
"2013-01-10",349.85,352.16,344.32,346.5,729229
"2013-01-17",350,351.18,347.28,348.63,207687
