"","MAT.Open","MAT.High","MAT.Low","MAT.Close","MAT.Volume"
"2011-09-15",26.87,26.98,26.48,26.81,4457244
"2011-09-22",25.75,26.22,25.24,26.05,7007723
"2011-09-29",26.72,26.83,26,26.4,5303818
"2011-10-06",26.38,26.66,26.08,26.59,3557839
"2011-10-13",27.99,28.08,27.54,27.78,5357355
"2011-10-20",27.22,27.47,26.96,27.26,3219323
"2011-10-27",28.88,29.4,28.66,29.19,4200489
"2011-11-03",28.94,29.13,28.49,29.08,2500095
"2011-11-10",28.31,28.67,28.17,28.51,2496201
"2011-11-17",27.82,28.24,27.58,27.73,3008570
"2011-12-01",28.7,28.94,28.56,28.73,1794032
"2011-12-08",28.95,28.98,28.19,28.26,2808789
"2011-12-15",27.95,28.03,27.7,27.84,2138165
"2011-12-22",28.04,28.17,27.8,27.82,2142897
"2011-12-29",27.48,27.97,27.44,27.93,1735697
"2012-01-05",28.12,28.5,27.91,28.47,2947914
"2012-01-12",29.09,29.12,28.77,28.9,2528647
"2012-01-19",28.76,28.76,28.12,28.67,3669036
"2012-01-26",29.7,29.75,29.41,29.55,2191027
"2012-02-02",31.01,31.36,30.92,31.06,4883869
"2012-02-09",31.86,32.23,31.8,32.19,3377715
"2012-02-16",32.55,32.79,32.44,32.59,3712538
"2012-02-23",31.99,32.47,31.91,32.31,3018796
"2012-03-01",32.62,32.95,32.47,32.82,2509969
"2012-03-08",32.97,33.16,32.62,33.06,1689584
"2012-03-15",33.43,33.48,33.04,33.36,1868975
"2012-03-22",33.03,33.7,33.03,33.64,1715193
"2012-03-29",33.94,34.07,33.66,34.03,1302989
"2012-04-05",33.67,34.07,33.67,33.92,3575796
"2012-04-12",33.85,34.5,33.76,34.3,2659110
"2012-04-19",32.06,32.35,31.74,31.76,4060134
"2012-04-26",32.77,33.33,32.51,33.24,3088452
"2012-05-03",33.76,33.89,33.35,33.59,2682492
"2012-05-10",32.5,32.72,32.28,32.42,11598320
"2012-05-17",32.12,32.15,31.05,31.07,3292655
"2012-05-24",31.21,31.26,30.73,31.04,4139236
"2012-05-31",31.19,31.34,30.84,31.13,2339224
"2012-06-07",31.88,32.05,31.46,31.54,2826698
"2012-06-14",31.9,32.33,31.8,32.13,1948986
"2012-06-21",32.6,32.74,31.94,32.02,1555472
"2012-06-28",31.74,31.85,31.34,31.81,1941396
"2012-07-05",32.58,32.95,32.52,32.82,1718918
"2012-07-12",31.19,31.24,30.74,31.09,2904643
"2012-07-19",34.51,34.63,33.91,34.58,3115072
"2012-07-26",34.85,35.2,34.35,34.64,3040282
"2012-08-02",34.56,34.89,34.15,34.56,3294910
"2012-08-09",35.4,35.69,35.28,35.44,1177597
"2012-08-16",35.47,35.75,35.32,35.67,1239347
"2012-08-23",35.31,35.42,35.17,35.37,1173118
"2012-08-30",35.26,35.34,35.04,35.21,1336425
"2012-09-06",35.08,35.65,35,35.64,2399376
"2012-09-13",35.58,35.75,35.38,35.66,2478369
"2012-09-20",35.33,36.18,35.16,36,3548939
"2012-09-27",35.42,35.69,35.22,35.55,1733770
"2012-10-04",35.58,35.79,35.27,35.78,1601309
"2012-10-11",35.31,35.71,35.19,35.25,1829539
"2012-10-18",37.48,37.8,37.32,37.79,2249445
"2012-10-25",36.99,37.18,36.71,37.06,2209034
"2012-11-01",37,37.17,36.82,37.16,2636096
"2012-11-08",35.95,36.26,35.85,35.9,1841502
"2012-11-15",35.04,35.34,34.85,35.12,1855576
"2012-11-29",36.93,37.15,36.76,37.02,1409049
"2012-12-06",36.75,37.12,36.64,37.11,1406164
"2012-12-13",37.25,37.4,36.82,36.85,1740670
"2012-12-20",37.51,37.59,37.09,37.34,2007394
"2012-12-27",36.07,36.24,35.55,36.14,3135690
"2013-01-03",37.02,37.11,36.5,36.72,4091546
"2013-01-10",36.88,37.04,36.51,37,2095498
"2013-01-17",37.46,37.89,37.33,37.78,1716777
"2013-01-24",38.13,38.48,37.81,38.04,1853648
"2013-01-31",36.9,37.8,36.9,37.63,6105033
"2013-02-07",39.76,39.8,39.18,39.67,3456647
"2013-02-14",41.08,41.19,40.78,41.15,2903038
"2013-02-21",40.85,40.87,40.32,40.42,2315218
"2013-02-28",40.74,41.11,40.67,40.75,2420197
"2013-03-07",41.16,41.48,41,41.26,2554147
"2013-03-14",42.06,42.33,42.01,42.3,2194787
"2013-03-21",42.2,42.64,42.2,42.58,2255128
"2013-03-28",43.51,43.92,43.35,43.77,3412676
"2013-04-04",42.93,43.45,42.8,43.28,2347510
"2013-04-11",44.19,44.42,44.03,44.22,1850208
"2013-04-18",43.75,44.25,43.13,43.98,4138619
"2013-04-25",44.35,44.98,44.22,44.82,2938320
"2013-05-02",45.68,45.68,44.66,44.79,1612707
"2013-05-09",46.44,46.54,45.94,46.08,1586151
"2013-05-16",46.56,46.88,46.09,46.19,1101113
"2013-05-23",45.55,45.66,45.2,45.35,2039892
"2013-05-30",44.95,45.71,44.8,45.01,1663293
"2013-06-06",44.13,44.32,43.85,44.32,1958377
"2013-06-13",43.9,44.97,43.9,44.89,1370591
"2013-06-20",44.84,45,43.98,44.02,2000154
"2013-06-27",44.65,45.17,44.65,44.97,1145461
"2013-07-11",47.1,47.11,46.35,46.69,2184078
"2013-07-18",43.18,43.79,43.18,43.61,4226485
"2013-07-25",42.05,42.49,42.05,42.43,2335091
"2013-08-01",42.25,42.82,42.15,42.7,2825190
"2013-08-08",42.61,43.1,42.38,42.94,2832148
"2013-08-15",42.04,42.63,41.87,42.03,1985938
"2013-08-22",41.63,42.09,41.58,41.69,1444234
"2013-08-29",40.7,40.81,40.38,40.39,1898885
"2013-09-05",41.17,41.23,40.88,41.11,1358469
"2013-09-12",41.69,41.85,41.32,41.53,1909086
"2013-09-19",42.78,43.49,42.71,43.41,2064714
"2013-09-26",42.31,42.31,41.87,42.16,1704803
"2013-10-03",42.26,42.54,41.91,42.18,1583403
"2013-10-10",41.22,41.61,41.14,41.22,3457292
"2013-10-17",41.91,42.55,41.73,42.41,3961949
