"","COTY.Open","COTY.High","COTY.Low","COTY.Close","COTY.Volume"
"2013-06-13",17.5,17.52,16.9,17.36,46263348
"2013-06-20",16.8,16.85,16.31,16.75,2785129
"2013-06-27",17.07,17.24,16.97,17.24,1773717
"2013-07-11",17.45,17.49,17.26,17.45,990136
"2013-07-18",17.35,17.43,17.11,17.15,682723
"2013-07-25",17.06,17.4,16.97,17.35,743772
"2013-08-01",17.27,17.39,17.12,17.27,579765
"2013-08-08",17.28,17.36,16.65,16.81,1275551
"2013-08-15",16.71,17.07,16.45,16.99,611005
"2013-08-22",16.88,16.96,16.71,16.78,253467
"2013-08-29",15.6,16.01,15.47,16.01,571110
"2013-09-05",16.15,16.2,15.92,16.01,1042887
"2013-09-12",15.45,15.49,15.35,15.41,691608
"2013-09-19",15.56,15.81,15.36,15.74,2296557
"2013-09-26",15.44,15.85,15.39,15.62,463020
"2013-10-03",16.2,16.2,15.9,16.02,1609802
"2013-10-10",15.89,16.15,15.86,15.99,835421
"2013-10-17",16.14,16.2,16,16.15,326421
"2013-10-24",16.07,16.24,15.63,15.96,735737
"2013-10-31",15.75,15.88,15.13,15.38,994589
"2013-11-07",15.37,16.2,14.63,15.11,2337286
"2013-11-14",15.47,15.65,15.26,15.63,629682
"2013-11-21",15.45,16.13,15.41,15.9,654315
"2013-12-05",16,16.11,16,16.05,211101
"2013-12-12",15.46,15.65,15.46,15.63,342582
"2013-12-19",15.05,15.2,15,15.18,366526
"2013-12-26",15.08,15.21,14.97,14.99,280144
"2014-01-02",15.27,15.62,15.16,15.57,783829
"2014-01-09",15.18,15.3,14.99,15.16,573148
"2014-01-16",15.22,15.56,15.13,15.43,672735
"2014-01-23",14.2,14.52,13.67,14.47,1578968
"2014-01-30",13.41,13.74,13.38,13.5,628569
"2014-02-06",13.72,13.77,13.32,13.51,849798
"2014-02-13",13.41,13.77,13.31,13.72,665267
"2014-02-20",14.47,14.89,14.23,14.55,1206879
"2014-02-27",14.73,15.25,14.6,14.71,962023
"2014-03-06",15,15.19,14.94,15.08,848996
"2014-03-13",15.52,15.59,15.07,15.23,771394
