"","BLK.Open","BLK.High","BLK.Low","BLK.Close","BLK.Volume"
"2011-09-15",154.23,159.46,153.5,159.18,1009709
"2011-09-22",142.66,145.45,140.22,144.75,1301389
"2011-09-29",152.73,152.78,148.07,151.66,1147313
"2011-10-06",150.47,152.19,145.3,151.67,780974
"2011-10-13",155.53,155.53,149.52,153.65,1038022
"2011-10-20",149.04,153.51,146.53,152.16,1160290
"2011-10-27",159.97,170.42,159.66,163.67,2000651
"2011-11-03",157.13,160.22,153.05,159.26,840922
"2011-11-10",156.27,160.76,154.46,159.88,1170002
"2011-11-17",160.96,163.16,158.74,159.6,1014662
"2011-12-01",169.5,170.24,165.45,167.41,752478
"2011-12-08",172.65,172.89,167.13,167.5,714960
"2011-12-15",169.88,169.95,167.5,167.84,443601
"2011-12-22",173.88,176.2,173.51,175.49,588586
"2011-12-29",177.4,179.5,176.55,179.4,342126
"2012-01-05",179.5,179.92,175.18,179.33,812162
"2012-01-12",186.91,187.17,182.26,187.06,632584
"2012-01-19",187,187.8,181.05,187.54,919251
"2012-01-26",189.8,191.68,186.4,187.86,719256
"2012-02-02",182.98,184.42,182.35,183.77,1007488
"2012-02-09",190.46,190.96,188.54,190.19,605417
"2012-02-16",193.08,193.21,190.56,193.12,855075
"2012-02-23",193.59,198.09,192.8,197.13,652480
"2012-03-01",198.02,200,197.16,198.5,706580
"2012-03-08",198.55,198.97,195.02,195.55,685193
"2012-03-15",201.24,205.09,199.35,205.08,537545
"2012-03-22",199.55,200.12,198.15,198.52,572097
"2012-03-29",201.23,202.22,198.7,199.59,478596
"2012-04-05",202.87,206.2,202.43,205.98,969272
"2012-04-12",198.7,201.91,198.49,201.71,459181
"2012-04-19",195.51,195.99,189.71,190.6,1673191
"2012-04-26",190.73,193.69,190.02,193.25,713891
"2012-05-03",188.33,188.94,182.54,183.16,1197131
"2012-05-10",180.8,181.94,179.13,179.68,550698
"2012-05-17",175,176.76,173.9,173.97,562788
"2012-05-24",169.3,170.9,166.81,170.44,3906205
"2012-05-31",170.53,171.93,167.56,170.8,1346562
"2012-06-07",171.98,174,171.72,172.12,857320
"2012-06-14",171.92,173.16,171.11,172.69,910128
"2012-06-21",175.66,177.1,170.83,170.95,945418
"2012-06-28",165.17,166.21,163.24,166.09,1163505
"2012-07-05",172.96,174.53,170.64,171.75,666132
"2012-07-12",173.51,173.51,171.24,172.47,754053
"2012-07-19",175.07,176.95,174.55,176.12,665672
"2012-07-26",166.64,167.24,164.42,165,1041351
"2012-08-02",168.24,169.6,166,168.51,569185
"2012-08-09",173.5,175.55,173.13,174.79,427726
"2012-08-16",176.06,177.99,175.23,177.22,374115
"2012-08-23",178.25,178.69,176.77,177.3,300142
"2012-08-30",175.44,176.83,174.5,176.01,434679
"2012-09-06",177.22,180.4,176.54,180.18,514132
"2012-09-13",176.78,181.98,175.29,181.89,1088058
"2012-09-20",181.24,183.37,179.93,183,581205
"2012-09-27",178.01,180,177.68,178.93,301107
"2012-10-04",182.14,184.07,181.54,184.02,806699
"2012-10-11",187.8,188.61,185.5,185.79,632008
"2012-10-18",188.81,192.08,188.4,190,1147711
"2012-10-25",188.45,189.08,186.18,187.12,648364
"2012-11-01",189.52,190.46,188.84,190.07,811080
"2012-11-08",190.31,191.59,187.1,187.1,570030
"2012-11-15",186.5,187.55,185.2,186.96,1046755
"2012-11-29",196.74,197.54,194.21,195.62,569473
"2012-12-06",192.4,193.85,191.69,193.75,468559
"2012-12-13",200.64,201.33,200.14,200.72,545796
"2012-12-20",207.29,209.43,206.11,209.29,612524
"2012-12-27",205.85,206.83,204.04,206.07,372938
"2013-01-03",213.31,215.99,212.17,213.35,596193
"2013-01-10",216.02,220,215.82,218.75,829370
"2013-01-17",228.75,234.46,227,232,1721911
"2013-01-24",237.32,238.41,234.59,236.33,1002836
"2013-01-31",236.73,238.55,235.47,236.28,697370
"2013-02-07",238.5,238.8,234.57,236.82,503324
"2013-02-14",242.37,245.65,242.36,245.57,895404
"2013-02-21",238.16,238.5,235.3,236.22,955537
"2013-02-28",240.94,242.11,239.56,239.75,565899
"2013-03-07",250.45,251.7,248.28,248.47,769440
"2013-03-14",254.89,257.77,254.11,256.04,967366
