"","TSN.Open","TSN.High","TSN.Low","TSN.Close","TSN.Volume"
"2011-09-15",17.16,17.5,17.02,17.48,4052031
"2011-09-22",15.96,16.39,15.96,16.31,4285929
"2011-09-29",16.79,17.34,16.75,17.11,3976083
"2011-10-06",17.23,17.52,17.18,17.5,5376361
"2011-10-13",18.25,18.35,18.05,18.27,2487238
"2011-10-20",18.5,18.65,18.32,18.55,2754180
"2011-10-27",19.2,19.68,19.11,19.32,5666577
"2011-11-03",19.13,19.48,18.93,19.4,2874082
"2011-11-10",19.32,19.39,19.04,19.23,2096398
"2011-11-17",19.6,19.73,19.17,19.34,3144644
"2011-12-01",20.18,20.49,20.14,20.33,4166438
"2011-12-08",20.18,20.43,20.05,20.23,3432677
"2011-12-15",20.06,20.59,20,20.53,4547444
"2011-12-22",20.95,20.95,20.73,20.84,2282375
"2011-12-29",20.81,21.06,20.75,20.86,1854509
"2012-01-05",20.23,20.4,20.05,20.28,3101635
"2012-01-12",19.8,20.32,19.8,19.96,5174107
"2012-01-19",19.42,19.68,19.39,19.5,4123327
"2012-01-26",18.9,19.23,18.84,18.9,4304391
"2012-02-02",18.59,18.71,18.52,18.62,8291759
"2012-02-09",19.03,19.28,18.97,19.13,5483765
"2012-02-16",18.84,19.15,18.77,19.12,3719414
"2012-02-23",18.72,18.91,18.5,18.86,3128764
"2012-03-01",18.93,19.13,18.71,19,4507791
"2012-03-08",19.67,19.85,19.52,19.65,4011958
"2012-03-15",19.7,19.85,19.56,19.69,3538416
"2012-03-22",19.4,19.45,19.27,19.42,2627168
"2012-03-29",19.32,19.38,19.07,19.26,3401421
"2012-04-05",18.89,19.04,18.73,18.8,5450466
"2012-04-12",18.06,18.26,17.94,18.1,3948685
"2012-04-19",18.03,18.19,17.83,17.97,2812982
"2012-04-26",17.87,18.33,17.79,18.26,5852133
"2012-05-03",18.29,18.34,18.15,18.24,3688184
"2012-05-10",19.58,19.7,19.48,19.54,3953976
"2012-05-17",19.44,19.54,19.21,19.21,3413598
"2012-05-24",19.2,19.25,18.97,19.04,5019436
"2012-05-31",19.29,19.5,19.28,19.37,5234700
"2012-06-07",19.02,19.13,18.83,18.88,4058257
"2012-06-14",18.75,18.86,18.51,18.73,2878201
"2012-06-21",19.51,19.55,18.84,18.87,2997029
"2012-06-28",18.39,18.47,18.09,18.37,4516700
"2012-07-05",18.42,18.42,17.75,17.78,6799714
"2012-07-12",16.86,16.86,16.22,16.26,8089798
"2012-07-19",15.7,15.7,15.32,15.36,5269825
"2012-07-26",14.83,14.89,14.62,14.69,3163650
"2012-08-02",15,15.19,15,15.15,6633817
"2012-08-09",15.98,16.02,15.54,15.82,9467188
"2012-08-16",15.72,15.81,15.04,15.26,9139156
"2012-08-23",15.13,15.22,15.05,15.14,3972648
