"","MSI.Open","MSI.High","MSI.Low","MSI.Close","MSI.Volume"
"2011-09-15",43.35,43.88,42.87,43.86,4494577
"2011-09-22",41.8,42.31,40.99,41.54,3911666
"2011-09-29",42.6,43.3,41.6,42.44,2866456
"2011-10-06",42.81,44.29,42.45,44.28,2753245
"2011-10-13",44.67,44.84,43.96,44.48,1728292
"2011-10-20",44.71,44.97,44.04,44.56,1579374
"2011-10-27",47.23,47.24,46.16,46.51,3993294
"2011-11-03",46.24,46.63,45.79,46.56,2422490
"2011-11-10",45.33,45.33,44.73,45.03,3647884
"2011-11-17",45.53,46.1,45.29,46.07,3145086
"2011-12-01",46.49,46.79,46.11,46.41,2064675
"2011-12-08",46.63,47.15,46.43,46.78,3344138
"2011-12-15",46.01,46.11,45.6,46.01,1768730
"2011-12-22",46.51,46.93,46.27,46.4,2093730
"2011-12-29",46.75,46.94,46.41,46.58,1042575
"2012-01-05",46.34,46.78,46.14,46.67,1598197
"2012-01-12",46.28,46.56,46.14,46.17,1779131
"2012-01-19",47.46,48.05,47.38,48.04,1828178
"2012-01-26",44.88,45.37,44.18,45.33,3873962
"2012-02-02",46.4,46.51,45.68,45.8,2162961
"2012-02-09",47.28,47.97,46.92,47.88,2781969
"2012-02-16",48.22,49.31,47.78,49.13,2879236
"2012-02-23",49.66,49.76,49.38,49.53,3081189
"2012-03-01",49.83,50.25,49.58,49.99,1461836
"2012-03-08",51.87,52.78,51.63,51.76,3563695
"2012-03-15",50.45,50.59,50.32,50.52,2035151
"2012-03-22",49.98,50.36,49.97,50.32,2000655
"2012-03-29",50.27,50.69,49.94,50.65,1434467
"2012-04-05",49.95,50.15,49.8,50,1554508
"2012-04-12",48.72,49.07,48.39,49.03,1485081
"2012-04-19",49.06,49.58,48.62,48.91,1755187
"2012-04-26",51.25,51.29,50.77,51.02,4175631
"2012-05-03",51.24,51.29,50.78,50.8,1609010
"2012-05-10",49.85,49.96,49.48,49.54,2690783
"2012-05-17",48.87,48.87,47.87,47.87,2185645
"2012-05-24",48.23,48.25,47.39,47.72,3463369
"2012-05-31",47.69,48.45,47.34,48.08,3232477
"2012-06-07",49.44,49.59,48.18,48.23,1962498
"2012-06-14",47.38,47.61,46.75,47.35,2498028
"2012-06-21",48.18,48.19,47.4,47.49,2777562
"2012-06-28",47.02,47.1,46.38,46.93,2324490
"2012-07-05",48.15,48.39,47.93,48.02,1395039
"2012-07-12",45.09,45.46,44.49,45.18,1476849
"2012-07-19",46.81,47.79,46.76,47.51,2351633
"2012-07-26",48.2,48.2,46.59,47.48,3859390
"2012-08-02",47.54,47.88,47.24,47.81,1351096
"2012-08-09",47.89,48.22,47.59,47.73,1816801
"2012-08-16",47.53,48.28,47.53,48.17,1734860
"2012-08-23",47.63,47.67,47.35,47.58,1416052
"2012-08-30",47.83,47.92,47.16,47.56,1563570
"2012-09-06",47.88,49.12,47.88,49.12,1846748
"2012-09-13",49.14,50.3,49.14,50.12,2169625
"2012-09-20",50.2,50.2,49.52,49.81,1171166
"2012-09-27",50.31,50.82,50.13,50.75,1373370
"2012-10-04",50.95,51.14,50.61,51.08,2313217
"2012-10-11",50.27,50.95,50.08,50.08,748554
"2012-10-18",51.11,51.11,50.64,50.76,767193
"2012-10-25",51.25,51.57,49.81,50,2578951
"2012-11-01",51.78,53.93,51,53.32,3789240
"2012-11-08",53.6,53.96,53.11,53.11,2644086
"2012-11-15",52.9,53.35,52.7,52.84,1998521
"2012-11-29",54.62,54.76,54.28,54.43,1462589
"2012-12-06",54.96,55.13,54.65,54.74,2434293
"2012-12-13",54.42,54.78,54.13,54.25,938653
"2012-12-20",54.34,54.94,54.15,54.87,1146394
"2012-12-27",54.22,55,54.14,54.88,1478757
"2013-01-03",56.24,56.84,55.83,56.01,1206696
"2013-01-10",56.45,56.81,56.25,56.78,1260454
"2013-01-17",58.11,58.16,57.7,58.04,1295468
"2013-01-24",58.42,59.48,58.42,58.8,2434403
"2013-01-31",58.62,58.94,58.36,58.39,1633339
"2013-02-07",59.38,60.12,59.28,60.02,1418918
"2013-02-14",60.52,61.28,60.2,61.12,1765526
"2013-02-21",61.22,61.22,60.52,60.88,1384099
"2013-02-28",61.95,62.51,61.86,62.21,1891932
"2013-03-07",63.3,63.44,62.61,62.64,1398225
"2013-03-14",62.49,62.57,62.02,62.34,1499800
"2013-03-21",62.13,62.64,61.98,62.43,1173055
"2013-03-28",63.46,64.1,63.31,64.03,1352220
"2013-04-04",62.68,63.19,62.56,62.99,1246141
"2013-04-11",64.56,64.72,64.15,64.63,1109400
"2013-04-18",62.39,62.4,61.06,61.15,1727865
"2013-04-25",56.06,56.76,55.33,56.39,3657363
"2013-05-02",56.42,57.02,56.25,56.89,1843832
"2013-05-09",56.8,57.08,56.14,56.78,2676615
"2013-05-16",57.1,57.88,56.89,57.53,3030511
"2013-05-23",57.05,57.85,57,57.48,3855269
"2013-05-30",58.46,58.93,58.26,58.54,1413966
"2013-06-06",56.29,56.92,56.15,56.92,2383556
"2013-06-13",56.25,57.29,56.04,57.19,1659532
"2013-06-20",56.53,56.84,55.36,55.5,2725913
"2013-06-27",57.68,58.2,57.42,57.84,1514010
"2013-07-11",58.91,59.43,58.85,59.05,1836025
"2013-07-18",59.37,59.5,59,59.36,1222637
"2013-07-25",55.95,55.98,54.19,54.25,5029642
"2013-08-01",55.07,55.4,54.92,55.32,1417172
"2013-08-08",56.6,57.16,56.26,57.13,1721094
"2013-08-15",57.1,57.1,56.52,56.96,3299589
"2013-08-22",56.05,56.46,55.94,56.33,1435542
"2013-08-29",56.26,56.43,55.97,56.19,1372431
"2013-09-05",55.93,56.59,55.93,56.17,1464683
"2013-09-12",57.35,58,57.29,57.5,2043719
"2013-09-19",59.22,59.92,59.2,59.69,2587953
"2013-09-26",59.87,60.1,59.71,59.87,990685
"2013-10-03",60.48,60.79,60.34,60.56,1954266
