"","WDC.Open","WDC.High","WDC.Low","WDC.Close","WDC.Volume"
"2011-09-15",29.96,30.21,29.58,30.06,2511088
"2011-09-22",26.68,26.85,25.41,25.96,5420819
"2011-09-29",27.58,27.63,26.13,26.74,4002204
"2011-10-06",26.9,27.93,26.85,27.48,4013216
"2011-10-13",27.08,28.92,27.07,28.66,5091307
"2011-10-20",22.64,26.37,22.64,25.96,14688834
"2011-10-27",28.76,28.96,26.77,27.42,9339462
"2011-11-03",27.54,28.59,27.38,28.44,5686355
"2011-11-10",26.37,26.42,25.02,25.79,5448353
"2011-11-17",26.77,26.8,24.99,25.26,6998344
"2011-12-01",28.88,29.36,28.5,29.25,4622700
"2011-12-08",31.49,32.17,31.16,31.53,4883094
"2011-12-15",30.95,31.14,30.49,30.67,2423738
"2011-12-22",31.47,32.1,31.46,31.71,2216492
"2011-12-29",30.83,31.16,30.53,31.1,1447990
"2012-01-05",32.44,33.48,32.27,32.76,7084008
"2012-01-12",33.37,33.92,33.3,33.86,3560270
"2012-01-19",33.72,34.35,33.64,33.95,4243231
"2012-01-26",37.49,37.59,36.7,37.01,3211225
"2012-02-02",38.08,38.08,37.42,37.57,3396348
"2012-02-09",39.77,39.86,38.68,39.19,3000710
"2012-02-16",38.41,40.7,38.32,40.59,4573152
"2012-02-23",39.45,39.88,38.87,39.7,2147986
"2012-03-01",39.39,40.09,39.13,39.86,4016075
"2012-03-08",38.2,39.04,38.13,38.98,2894152
"2012-03-15",39.68,40,38.82,38.87,6144627
"2012-03-22",40.36,42.4,39.98,42.06,10889516
"2012-03-29",42.41,42.52,41.34,42.01,3199589
"2012-04-05",40.77,40.77,39.33,39.74,6521940
"2012-04-12",38.25,39.31,38.22,39.19,2768160
"2012-04-19",41.42,42.7,41.1,42.05,6825669
"2012-04-26",43.67,44.44,43.31,44.1,5599426
"2012-05-03",40.56,40.71,38.64,39.24,6340471
"2012-05-10",40.2,41.09,39.92,40.74,6700360
"2012-05-17",38.71,38.93,36.94,37.07,4295482
"2012-05-24",34.19,34.28,33.52,33.83,5888006
"2012-05-31",31.45,31.98,31.01,31.39,8751774
"2012-06-07",31.12,31.3,30.6,30.82,6665510
"2012-06-14",30.24,30.49,29.91,30.2,2340565
"2012-06-21",30.5,30.76,29.3,29.37,4960211
"2012-06-28",28.64,29.21,28.31,28.8,8112606
"2012-07-05",30.9,31.06,30.51,30.68,3670903
"2012-07-12",31.29,31.62,30.7,31.35,2562043
"2012-07-19",33.7,33.72,32.5,32.71,4550963
"2012-07-26",38.09,40.88,38,39.27,20813489
"2012-08-02",39.19,40.47,38.92,39.9,3823159
"2012-08-09",42.18,43.12,42.02,43.03,4000469
"2012-08-16",44.26,45.47,44.18,45.41,4045937
"2012-08-23",44.25,44.25,42.85,43.48,5281604
"2012-08-30",43.23,43.24,41.83,42.1,4383054
"2012-09-06",41.25,43.2,40.96,43.11,4773088
"2012-09-13",41.27,42.76,40.33,42.58,5570012
"2012-09-20",38.9,39.33,38.55,39.07,3047229
"2012-09-27",38.74,39.64,38.67,39.58,2672340
"2012-10-04",37.72,38.31,37.26,38,2998399
"2012-10-11",36.59,37.42,36.56,36.59,1860031
"2012-10-18",36.12,36.24,35.49,35.55,2534669
"2012-10-25",34.05,34.48,33.81,34.4,3318182
"2012-11-01",34.3,35.56,34.3,35.41,3090196
"2012-11-08",35.31,35.63,34.8,34.84,3160120
"2012-11-15",33.97,34.35,33.66,33.85,2688675
"2012-11-29",34,34.19,33.39,33.92,4269695
"2012-12-06",36.1,37.24,35.99,37.1,5170190
"2012-12-13",37.73,38.33,37.64,37.83,3008997
"2012-12-20",40.85,42.33,40.75,42.16,7197264
"2012-12-27",42.02,42.23,41.43,42.07,2897103
"2013-01-03",43.21,43.89,42.88,43.02,2978292
"2013-01-10",43.76,44.25,43.66,44.16,4324454
"2013-01-17",45.31,45.65,45.06,45.22,2678196
"2013-01-24",47.25,49.42,46.41,47.79,7070113
"2013-01-31",46.3,47.38,46.05,47,3866266
"2013-02-07",47.7,47.83,46.47,47.6,3157596
"2013-02-14",48.56,49.22,48.36,48.81,2032534
"2013-02-21",46.44,46.72,45.17,45.74,3187414
"2013-02-28",46.91,47.74,46.77,47.16,1564885
"2013-03-07",48.75,48.8,46.75,47.27,4092863
"2013-03-14",50.43,50.84,50.19,50.72,1936224
"2013-03-21",49,49.05,47.44,48.1,2671582
"2013-03-28",49.99,50.36,49.44,50.29,2586249
"2013-04-04",50.6,50.96,49.89,50.78,1654023
"2013-04-11",52.37,52.6,51.46,52.39,6565742
"2013-04-18",50.98,51.07,48.88,49.25,3543645
"2013-04-25",55.07,57.96,52.01,52.6,7535227
"2013-05-02",55.65,56.79,55.03,56.66,3421104
"2013-05-09",58,58.48,56.74,57.68,4453985
"2013-05-16",59.61,60.4,59.02,59.05,2765842
"2013-05-23",59.85,62.62,59.85,62.26,3224442
"2013-05-30",63.96,64.06,63.42,63.79,2107057
"2013-06-06",63,63.89,62.47,63.86,1748111
"2013-06-13",64.15,64.5,63.32,64.26,1867052
"2013-06-20",62.84,62.85,60.97,61.49,3366864
"2013-06-27",61.89,63.13,61.42,62.62,2618628
"2013-07-11",68.07,68.64,66.69,67.02,2506288
"2013-07-18",68.85,69.99,68.59,69.65,1741939
"2013-07-25",63.5,64.16,61.49,63.53,5316320
"2013-08-01",65.25,66.6,64.6,66.44,2137232
"2013-08-08",64.2,66.85,64.19,66.72,2567770
"2013-08-15",67.67,67.74,65.97,66.02,2235919
"2013-08-22",66.63,67.58,66.31,67.3,1174472
"2013-08-29",62.02,62.02,59.36,60.72,3930300
"2013-09-05",64.6,65.52,64.44,65.1,1496355
"2013-09-12",65.62,65.83,64.41,64.48,1704965
"2013-09-19",64.57,64.8,63.8,64.39,2489996
"2013-09-26",65.71,65.73,62.9,63.32,2201151
"2013-10-03",64.11,64.66,63.48,64.15,1710333
"2013-10-10",63.96,65.58,63.66,65.53,1789376
"2013-10-17",68.98,70.92,68.74,70.46,2079008
"2013-10-24",70.19,70.88,69.56,70.54,2344589
"2013-10-31",71.87,72.5,69.28,69.63,4259080
"2013-11-07",71.72,72.15,69.8,70.23,2245519
"2013-11-14",72.43,76.09,72.01,75.85,3574672
"2013-11-21",74.36,75.15,73.76,74.83,1756114
"2013-12-05",77.36,77.69,76.33,76.78,1799231
"2013-12-12",78.38,79.41,77.75,78.86,2062116
"2013-12-19",82.05,82.24,81.2,82.1,2205885
"2013-12-26",83.02,83.35,82.26,83.08,735613
"2014-01-02",83.79,83.83,82.58,82.68,1592769
"2014-01-09",86.87,87.15,84.75,84.92,2300174
"2014-01-16",89.39,90.04,88.48,88.95,2826133
"2014-01-23",86.87,88.61,84.55,87.05,4335695
"2014-01-30",84.87,87.15,84.58,86.94,2931466
"2014-02-06",83.33,83.92,82.87,83.35,1211378
"2014-02-13",85.29,86.75,85.04,86.67,1453186
"2014-02-20",85.55,86.35,84.41,86.24,1640963
"2014-02-27",88.9,89.2,87.53,88.42,1710466
"2014-03-06",88.42,88.84,86.17,86.72,1902592
"2014-03-13",84.45,85,83.42,84.21,2034675
"2014-03-20",85.66,88.15,85.19,87.99,1978161
"2014-03-27",89.02,90.33,88.78,89.7,2045825
"2014-04-03",93.64,94.56,93.05,93.46,1619579
"2014-04-10",91.47,91.91,88.17,88.17,2259243
"2014-04-17",89.85,91.6,89.36,91.05,1666442
"2014-04-24",91.15,91.4,89.06,89.8,1717581
"2014-05-01",85.53,85.91,81.22,82.28,5061989
"2014-05-08",83.9,85.02,82.96,83.59,2337205
"2014-05-15",85.06,85.94,84.44,85.3,2066654
"2014-05-22",83.65,83.98,83.16,83.64,1867634
"2014-05-29",86.81,87.73,86.7,87.13,1081852
"2014-06-05",89.81,92.11,88.92,91.95,4329659
"2014-06-12",90.32,90.91,89.32,89.74,1241159
"2014-06-19",92.6,93.2,90.78,91.28,1765996
"2014-06-26",91.97,92.1,91.15,91.89,804574
"2014-07-03",96.41,96.67,94.95,96.54,1247479
"2014-07-10",93.8,96.24,93.16,95.41,1662534
"2014-07-17",99.77,100.91,97.59,98.15,3242442
"2014-07-24",99.83,100.19,99.04,99.6,1591483
"2014-07-31",99.66,102.89,97.97,99.89,2214184
"2014-08-07",102.06,102.76,101.03,101.6,1646966
"2014-08-14",100.74,100.78,99.32,100.36,1467009
"2014-08-21",100.14,100.71,99.97,100.7,1311222
"2014-08-28",101.69,102.6,101.66,102.07,1357576
"2014-09-04",101.74,102.22,100.65,100.95,1250536
"2014-09-11",99.65,100.68,98.89,100.06,1117158
"2014-09-18",97.96,99.94,97.34,99.58,2302848
"2014-09-25",98.61,98.7,95.56,96.19,1589591
"2014-10-02",94.67,95.35,93.32,95.11,1518413
"2014-10-09",95.68,95.68,93.37,93.39,1645746
"2014-10-16",83.66,86.42,83.17,85.58,1643612
"2014-10-23",90.5,91.07,89.6,90.59,1821111
"2014-10-30",95.21,95.67,94.11,95.19,2081106
"2014-11-06",100,101.07,97.56,97.86,3240354
"2014-11-13",97.47,98.16,97.09,97.83,1270108
"2014-11-20",100.01,101.81,99.08,101.77,1199600
"2014-12-04",103.04,104.21,102.92,103.72,1462292
"2014-12-11",108.19,109.09,107.23,108.04,1908958
"2014-12-18",109.51,112.49,109.24,112.36,3202070
"2015-01-08",109.24,111.44,109.24,110.38,2533122
"2015-01-15",109.28,109.39,104.66,104.7,2176346
"2015-01-22",106.54,106.68,104.44,105.29,3319433
"2015-01-29",100.25,101.51,98.82,101.06,2533655
"2015-02-05",103.85,104.92,103.21,104.11,1603135
"2015-02-12",106.4,107.91,106.11,107.19,1718155
"2015-02-19",109.18,109.88,108.73,109.84,2792051
"2015-02-26",106.75,108.48,106.22,107.34,2215377
"2015-03-05",105.68,105.68,104.65,105.38,881746
"2015-03-12",95.35,98.82,95.07,98.56,2943692
"2015-03-19",98.34,99.62,98.16,99.3,1942340
"2015-03-26",92.74,94.58,91.61,93.64,3545982
"2015-04-02",91.79,93.31,91.7,93,2081481
"2015-04-09",93.49,94.62,93.05,94.02,2041116
"2015-04-16",97.88,98.62,97.37,97.83,2435417
"2015-04-23",99.96,100.88,99.23,100.27,1178224
"2015-04-30",95.62,97.96,95.62,97.74,3637175
"2015-05-07",94.45,95.7,94.05,94.84,1539090
"2015-05-14",96.95,98.45,96.33,98.41,1297160
"2015-05-21",95.1,95.67,94.38,95.25,978381
"2015-05-28",97.57,99.76,97.48,99.23,3934153
"2015-06-04",97.3,97.94,94.61,95.4,1847204
"2015-06-11",93.55,94.86,93.55,94.46,1295210
"2015-06-18",92.11,92.82,91.1,92.42,1863983
"2015-06-25",88.15,88.15,85.55,85.95,2628827
"2015-07-02",80,81.95,79.77,80.87,3301536
"2015-07-09",79.73,79.74,77.34,77.35,2106557
"2015-07-16",78.96,79.6,78.25,78.89,2698974
"2015-07-23",77.08,78.89,76.52,77.9,3644558
"2015-07-30",85.44,88.46,85.02,86.44,7635138
"2015-08-06",85.11,85.52,83.27,84.19,2005402
"2015-08-13",82.61,83.23,81.55,81.57,1854823
"2015-08-20",80.53,81.07,79.3,79.79,1961748
"2015-08-27",79.66,81.92,79.49,81.41,2512054
"2015-09-03",80,83.15,79.23,81.8,2011998
"2015-09-10",81.16,82.04,79.57,81.24,2253311
"2015-09-17",80.77,82.41,80.22,80.73,1821137
"2015-09-24",70.84,71.81,69.4,71.4,3087881
"2015-10-01",79.81,80.2,76.71,77.89,4518681
"2015-10-08",84.44,85.49,83.78,85.27,1948362
"2015-10-15",80.26,82.34,79.73,81.12,6944109
"2015-10-22",72,73.28,69.43,69.96,7421813
"2015-10-29",67.68,69.29,67.01,67.82,4677082
"2015-11-05",68.58,68.78,67.08,67.85,3843288
"2015-11-12",62.45,63.67,62.26,62.4,4417473
"2015-11-19",64.19,64.8,61.73,62.01,4416337
"2015-12-03",62.41,63.69,61.4,63.62,5064900
"2015-12-10",62.98,63.75,62.53,63.35,2218240
