"","HD.Open","HD.High","HD.Low","HD.Close","HD.Volume"
"2015-09-21",115.96,117.11,115.27,116.58,5201130
"2015-09-22",115.4,116.39,114.89,115.8,4623283
"2015-09-23",115.85,116.55,115.66,116.17,4080435
"2015-09-24",115.34,116.65,114.84,116.34,5135944
"2015-09-25",117.23,118.16,116.04,116.74,5473251
"2015-09-28",116.53,117.38,113.85,114.1,5935760
"2015-09-29",114.21,114.93,111.8,112.91,7896520
"2015-09-30",114.37,115.63,114,115.49,5385111
"2015-10-01",116.23,117.13,114.74,117.03,5198632
"2015-10-02",115.56,117.9,114.71,117.81,4339630
"2015-10-05",118.75,119.29,117.91,119.2,4527218
"2015-10-06",119.1,119.2,117.97,118.68,5203282
"2015-10-07",119.2,119.84,118.49,119.65,4682415
"2015-10-08",119.31,121.23,119.15,121.06,4951626
"2015-10-09",121.27,121.5,120.47,121.33,3851112
"2015-10-12",121.49,122.45,121,121.9,2860338
"2015-10-13",121.77,122.29,121.14,121.61,2961609
"2015-10-14",121.33,121.88,119.56,120.27,5194053
"2015-10-15",120.62,122.03,120.4,121.81,3415136
"2015-10-16",121.63,122.82,121.63,122.74,4056445
"2015-10-19",122.61,123.2,122.2,123.1,3039662
"2015-10-20",122.89,123.17,122.35,122.85,3317818
"2015-10-21",123.29,124.02,122.75,123.3,3491807
"2015-10-22",123.9,124.48,122.88,124.36,5854187
"2015-10-23",125.01,125.75,122.97,124.61,5277128
"2015-10-26",124.55,125.66,124.02,125.01,4549886
"2015-10-27",124.51,125.09,123.82,124.47,3674365
"2015-10-28",124.38,124.59,122.22,123.82,6819300
"2015-10-29",123.42,124.07,122.75,123.63,4599953
"2015-10-30",123.27,124.75,123.27,123.64,4981010
"2015-11-02",124.24,124.64,123.38,124.41,3715435
"2015-11-03",124.23,126.04,123.81,125.66,4302364
"2015-11-04",125.48,125.87,124.62,125.38,4101214
"2015-11-05",125.46,126.01,124.95,125.72,3046978
"2015-11-06",125.27,126.11,124.82,125.98,3750510
"2015-11-09",125.8,126.12,123.71,124.5,4984520
"2015-11-10",124.49,125.41,124.04,125.26,3867512
"2015-11-11",125.43,125.43,124.52,124.71,3247396
"2015-11-12",124.18,124.97,123.06,123.81,4268137
"2015-11-13",123.1,123.25,119.9,120,8691367
"2015-11-16",120.05,121.03,118.61,120.84,7759329
"2015-11-17",124.86,126.34,123.1,126.18,10499176
"2015-11-18",126.44,126.73,124.66,126.54,6485633
"2015-11-19",126.53,127.62,125.95,126.86,4657994
"2015-11-20",127.36,130.21,127.09,130.21,8176465
"2015-11-23",130.21,132.64,130.21,132.5,6328337
"2015-11-24",131.93,133.93,131.74,133.6,6615042
"2015-11-25",133.69,135.24,133.55,134.65,5300949
"2015-11-27",134.81,135.47,134.53,134.74,3337660
"2015-11-30",135.2,135.32,133.01,133.88,7431951
"2015-12-01",133.52,134.63,133.26,134.43,5227645
"2015-12-02",134.56,134.65,133.57,133.81,5019886
"2015-12-03",133.52,134.12,130.8,130.93,6688008
"2015-12-04",131.55,134.83,131.35,134.53,5387092
"2015-12-07",134,134.79,133.19,133.93,5387591
"2015-12-08",132.71,134.56,132.41,133.84,4731424
"2015-12-09",133.21,134.78,131.51,131.9,5055629
"2015-12-10",131.96,133.59,131.8,132.54,4186225
"2015-12-11",131.09,132.19,130.31,130.44,5300764
"2015-12-14",131.09,132.13,130.71,132.01,5941980
"2015-12-15",132.62,133.49,131.19,131.29,4921773
"2015-12-16",132.17,133.28,130.36,132.9,4711726
"2015-12-17",133.06,133.54,131,131.35,4345798
"2015-12-18",130.73,131.31,130.02,130.29,9840572
"2015-12-21",131,131.61,130.18,131.31,3414798
"2015-12-22",131.37,132.28,130.46,131.88,3401932
"2015-12-23",132.49,133.34,131.88,133.11,3244802
"2015-12-24",132.8,133.48,132.66,132.9,1517075
"2015-12-28",132.25,132.9,131.89,132.68,2607306
"2015-12-29",133.37,134.33,133.28,133.7,3037424
"2015-12-30",133.58,134.06,133.28,133.35,2484826
"2015-12-31",133.08,133.57,132.24,132.25,3178724
"2016-01-04",130.11,131.07,129.45,131.07,8029692
"2016-01-05",131.15,131.94,130.05,130.43,5320942
"2016-01-06",129,129.9,128.56,129.08,8199577
"2016-01-07",126.93,127.88,124.7,125.4,12550970
"2016-01-08",126.44,126.53,123.5,123.9,7104540
"2016-01-11",124.87,126.08,124.09,125.78,6811614
"2016-01-12",126.78,128.8,125.83,127.49,5695664
"2016-01-13",127.47,127.47,120.97,121.4,8873498
"2016-01-14",121.29,121.52,118.2,119.62,13379667
"2016-01-15",117.12,121.15,116.1,119.23,10476385
"2016-01-19",120.54,121.89,118.8,119.76,6342404
"2016-01-20",117.89,118.66,113.59,116.46,11184971
"2016-01-21",117.38,121.94,117.14,120.22,8990673
"2016-01-22",121.64,124.67,121.58,122.76,6553764
"2016-01-25",123.38,123.85,121.56,121.71,4825185
"2016-01-26",121.73,122.45,120.64,122.2,4469121
"2016-01-27",122.46,124.32,120.86,121.57,5385820
"2016-01-28",121.97,122.69,120.31,122.28,4868338
"2016-01-29",123.17,125.76,122.75,125.76,7569534
"2016-02-01",124.92,127.09,123.99,126.51,4615644
"2016-02-02",125.41,126.43,124.71,125.27,5815975
"2016-02-03",126.02,126.16,121.54,123.79,7482744
"2016-02-04",123.65,123.9,119.45,121.11,9143017
"2016-02-05",120.89,121,115.69,116.43,8082004
"2016-02-08",114.93,115.96,109.62,111.85,11273174
"2016-02-09",110.94,115.29,110.68,113.86,7503233
"2016-02-10",114.5,116.16,114.05,114.33,5299769
"2016-02-11",113.08,114.19,112.22,113.27,6386242
"2016-02-12",114.88,116.43,113.52,116.32,5334360
"2016-02-16",118.12,120,117.7,119.43,6904372
"2016-02-17",120.45,121.68,119.87,121.21,5957509
"2016-02-18",120.93,121.11,119.56,119.97,4455222
"2016-02-19",119.82,121.7,118.75,121.69,5409980
"2016-02-22",123,124.47,122.13,122.85,7746561
"2016-02-23",127,127.19,123.35,124.53,11125565
"2016-02-24",124.05,125.78,122.92,125.61,7925608
"2016-02-25",125.76,126.86,124.89,126.86,4735798
"2016-02-26",127.59,127.75,125.93,126.26,4604369
"2016-02-29",126.26,126.99,124.05,124.12,5404784
"2016-03-01",124.78,125.97,123.98,125.7,4896321
"2016-03-02",125.48,125.87,124.46,125.59,3955236
"2016-03-03",125.2,127.26,124.78,126.8,5008722
"2016-03-04",127.37,127.5,125.16,125.56,6447919
"2016-03-07",125.01,126.54,125.01,126.17,4078680
"2016-03-08",125.22,128.2,125,126.72,5260936
"2016-03-09",127.03,127.52,125.33,126.03,4046782
"2016-03-10",126.2,127,124.31,125.89,4499992
"2016-03-11",126.97,128.76,126.73,128.46,4625310
"2016-03-14",128.43,129.66,128.1,128.84,3622435
"2016-03-15",128.78,130.48,128.62,129.71,4034561
"2016-03-16",129.63,131.11,128.81,130.45,3603257
"2016-03-17",130.1,131.19,129.32,130.88,4130995
"2016-03-18",131.14,132.09,130.83,131.35,7903394
"2016-03-21",131.53,132.13,130.27,131.01,3810936
"2016-03-22",130.61,131.22,129.92,130.59,3933097
"2016-03-23",130.59,131.18,129.95,130.22,3611137
"2016-03-24",129.54,130.76,129.46,130.46,3448905
"2016-03-28",130.6,131.81,130.49,131.08,2621114
"2016-03-29",131,132.9,130.71,132.47,3404161
"2016-03-30",133.11,133.93,132.84,133.42,3135898
"2016-03-31",133.56,134.29,133,133.43,3677922
"2016-04-01",133.1,135.2,133.1,134.85,4256861
"2016-04-04",136.07,136.23,134.35,134.85,3512055
"2016-04-05",134.2,135.7,133.9,134.58,4068115
"2016-04-06",134.25,135.74,133.82,135.44,3364816
"2016-04-07",134.73,135.24,133.12,133.87,3939974
"2016-04-08",134.62,134.62,133.06,133.62,2922559
"2016-04-11",133.58,135.08,132.96,133.01,3464354
"2016-04-12",133.3,134.72,133.11,134.38,4230662
"2016-04-13",134.86,134.86,133.22,133.84,4320709
"2016-04-14",133.5,134.71,132.88,134.37,4183021
"2016-04-15",134.41,135.28,133.97,135.01,3501323
"2016-04-18",134.81,136.8,134.74,136.8,3964382
"2016-04-19",136.8,137,134.85,135.44,4649360
"2016-04-20",135.75,136.08,134.48,135.19,4755103
"2016-04-21",135.23,135.49,134.39,134.6,3536942
"2016-04-22",134.85,135.68,133.41,135.66,4176996
"2016-04-25",135.18,135.73,134.28,135.65,2831147
"2016-04-26",135.09,136.24,134.88,135.34,3498182
"2016-04-27",135.37,136.28,134.76,135.75,3487074
"2016-04-28",134.81,135.44,132.49,132.73,5517170
"2016-04-29",132.71,134.3,131.75,133.89,4604304
"2016-05-02",134.37,136.25,134.31,136.05,4261205
"2016-05-03",135.45,135.84,134.04,134.54,3390011
"2016-05-04",133.59,135.4,133.13,135.16,3188965
"2016-05-05",134.87,135.37,133.75,134.67,3473837
"2016-05-06",134.48,135.81,134.31,135.7,3353406
"2016-05-09",135.59,136.47,135.24,136.24,3551603
"2016-05-10",136.32,137.82,136.3,137.51,3650858
"2016-05-11",136.8,137.05,134.04,134.3,6039749
"2016-05-12",135,135,133.1,134.19,5354525
"2016-05-13",133.81,135.33,133.03,133.13,5261996
"2016-05-16",133.84,136.55,133.08,135.34,8355441
"2016-05-17",133.15,134.49,131.1,132,15755230
"2016-05-18",131.03,132.77,130.02,131.77,8247954
"2016-05-19",131.45,132.13,130.78,131.73,4572218
"2016-05-20",131.89,133.06,131.75,131.85,5083981
"2016-05-23",131.84,132.48,131.3,131.42,3846095
"2016-05-24",132.18,133.87,132.05,133.36,5174545
"2016-05-25",133.46,134.52,133.05,133.2,5016478
"2016-05-26",133.13,134.36,132.86,134.05,3996564
"2016-05-27",134.07,134.9,133.38,133.94,4024531
"2016-05-31",133.57,133.8,131.72,132.12,6366892
"2016-06-01",131.58,132.12,131.15,131.83,4744329
"2016-06-02",131.85,132.7,131.33,132.41,3858481
"2016-06-03",132.53,132.73,130.92,131.74,4155852
"2016-06-06",130.82,130.87,128.47,129.19,8051735
"2016-06-07",129.38,130.8,129.32,129.92,4433982
"2016-06-08",130.01,130.3,129.25,129.59,3742365
"2016-06-09",129.27,129.84,129.04,129.3,3450623
"2016-06-10",128.45,129.23,128.21,128.83,3926010
"2016-06-13",128.94,129.45,127.78,127.83,4830907
"2016-06-14",127.31,127.44,124.71,125.24,7303517
"2016-06-15",125.74,127.75,125.49,126.53,5139988
"2016-06-16",126.05,127.54,125.66,127.36,4432314
"2016-06-17",127.52,127.78,126.73,127.14,7541933
"2016-06-20",128.13,128.85,127.42,127.62,3880279
"2016-06-21",127.96,128.31,127.28,127.74,3600869
"2016-06-22",127.69,128.97,127.4,127.6,3723663
"2016-06-23",128.98,129.1,127.45,128.29,4784451
"2016-06-24",126.1,127.8,125.5,126.4,8979810
"2016-06-27",125.34,125.75,123.62,124.67,5674722
"2016-06-28",125.89,127.53,125.6,127.53,5385017
"2016-06-29",127.9,128.47,126.9,127.37,5782130
"2016-06-30",127.27,127.86,126.1,127.69,6641997
"2016-07-01",128.29,130.23,128.12,129.62,5645180
"2016-07-05",129.6,130.48,128.5,129.35,4096582
"2016-07-06",129.2,131.61,129.03,131.57,4933160
"2016-07-07",131.25,132.18,130.56,131.16,3973585
"2016-07-08",132.33,134.36,132.25,134.34,4806226
"2016-07-11",134.83,135.88,134.45,135.15,4576988
"2016-07-12",135.24,135.99,134.3,134.84,3615776
"2016-07-13",134.84,135.2,133.1,133.56,4235486
"2016-07-14",134.4,134.79,133.83,134.54,3122618
"2016-07-15",135.12,135.59,134.65,134.78,5322955
"2016-07-18",135.46,136.48,134.81,136.34,3730925
"2016-07-19",136.07,137.05,135.56,136.98,3831522
"2016-07-20",137.4,137.45,136.77,137.41,3092010
"2016-07-21",136.76,137.14,135.47,136.07,4975146
"2016-07-22",136.41,136.64,135.96,136.52,2627239
"2016-07-25",136.55,136.85,136.15,136.5,3352553
"2016-07-26",136.5,137.51,136.06,136.75,2575629
"2016-07-27",137.01,137.69,135.96,136.31,3030755
"2016-07-28",136.19,138.12,136.1,137.96,3229964
"2016-07-29",137.46,138.72,137.44,138.24,3662581
"2016-08-01",138.06,138.94,137.85,138.77,3157785
"2016-08-02",138.91,139,136.82,137.22,3898130
"2016-08-03",137.13,137.22,135.7,137.06,3642635
"2016-08-04",135.79,137.2,135.46,136.05,3802914
"2016-08-05",137,137.74,136.6,136.91,3022121
"2016-08-08",136.91,137.4,136.16,136.21,3182761
"2016-08-09",136.27,137.09,135.34,136.11,3180435
"2016-08-10",136.3,136.89,135.06,135.6,3438042
"2016-08-11",136.31,137.5,135.17,137.04,4183308
"2016-08-12",136,137.39,135.63,136.57,4090019
"2016-08-15",137.11,137.97,136.93,137.06,6327437
"2016-08-16",137.65,138.65,135.66,136.23,7286139
"2016-08-17",135.5,136.47,134.75,136.15,5222166
"2016-08-18",136.03,136.15,134.44,134.8,4430783
"2016-08-19",134.42,135.76,134.32,135.46,3959011
"2016-08-22",135.6,135.85,135.02,135.34,2752526
"2016-08-23",135.93,136.55,135.93,136.22,2961061
"2016-08-24",135.77,136.25,134.81,135.06,4113011
"2016-08-25",134.73,136.16,134.37,135.43,3168909
"2016-08-26",135.43,136.18,133.92,134.36,4193411
"2016-08-29",134.86,135.3,134.58,135.24,3227691
"2016-08-30",134.8,135.05,133.63,134.1,3440622
"2016-08-31",133.89,134.68,133.6,134.12,4650586
"2016-09-01",134.48,135.06,133.66,134.23,3851836
"2016-09-02",134.77,135.88,134.55,135.15,3392767
"2016-09-06",134.96,135.72,133.88,134.1,4220390
"2016-09-07",133.3,133.87,132.16,132.79,4676049
"2016-09-08",131.55,132.94,131.12,131.26,5019625
