"","XEL.Open","XEL.High","XEL.Low","XEL.Close","XEL.Volume"
"2011-09-15",24.92,25.02,24.75,25.02,2406525
"2011-09-22",24.36,24.63,24.25,24.5,5377858
"2011-09-29",24.89,25.07,24.64,24.91,2921971
"2011-10-06",24.11,24.66,24.11,24.66,3733706
"2011-10-13",24.62,24.84,24.5,24.69,2033926
"2011-10-20",25.26,25.51,25.2,25.43,2611329
"2011-10-27",25.86,26.33,25.56,26.2,2742759
"2011-11-03",25.94,26.35,25.86,26.2,4210578
"2011-11-10",25.96,26.12,25.78,25.99,2328977
"2011-11-17",25.82,25.89,25.42,25.6,2384018
"2011-12-01",26.34,26.4,26.12,26.19,2747256
"2011-12-08",26,26.05,25.59,25.65,2387851
"2011-12-15",26.1,26.46,26.05,26.42,2932928
"2011-12-22",27.26,27.26,26.96,27,2826925
"2011-12-29",27.53,27.75,27.5,27.71,1590172
"2012-01-05",27.13,27.35,26.97,27.28,2125090
"2012-01-12",27.18,27.18,26.65,26.69,3898893
"2012-01-19",26.8,26.8,26.55,26.59,2522751
"2012-01-26",27.29,27.6,27.22,27.41,4788940
"2012-02-02",26.55,26.78,26.17,26.35,6171086
"2012-02-09",26.58,26.64,26.38,26.57,1712034
"2012-02-16",26.28,26.6,26.25,26.35,2018485
"2012-02-23",26.47,26.62,26.31,26.48,1477206
"2012-03-01",26.48,26.58,26.27,26.39,1566402
"2012-03-08",26.43,26.56,26.37,26.51,6043436
"2012-03-15",26.54,26.71,26.36,26.39,4243829
"2012-03-22",26.16,26.28,26.01,26.26,1685644
"2012-03-29",26.19,26.39,25.98,26.38,2179900
"2012-04-05",26.52,26.56,26.22,26.48,2333094
"2012-04-12",25.99,26.18,25.89,26.15,2024365
"2012-04-19",26.3,26.48,26.19,26.31,2490641
"2012-04-26",26.91,27.02,26.71,26.95,2059945
"2012-05-03",26.94,27.18,26.88,26.91,2302226
"2012-05-10",27.29,27.62,27.22,27.5,2375533
"2012-05-17",27.47,27.5,27.21,27.25,2597691
"2012-05-24",27.73,27.99,27.6,27.78,1824377
"2012-05-31",27.65,28.12,27.63,28.02,3629674
"2012-06-07",28.71,28.75,28.36,28.41,9658727
"2012-06-14",28.55,28.78,28.48,28.75,2029170
"2012-06-21",28.23,28.41,27.83,27.85,4052901
"2012-06-28",27.86,28.07,27.75,28.06,2756332
"2012-07-05",28.66,28.76,28.56,28.64,1727473
"2012-07-12",28.65,28.86,28.58,28.76,2594887
