"","UHS.Open","UHS.High","UHS.Low","UHS.Close","UHS.Volume"
"2011-09-15",37.48,37.99,37.07,37.74,1516242
"2011-09-22",34.26,34.79,33.49,34.03,1762937
"2011-09-29",35.07,35.13,33.92,34.87,940311
"2011-10-06",32.06,33.74,32.06,32.85,2257588
"2011-10-13",35.96,37.33,35.44,37.14,2436861
"2011-10-20",37.44,37.5,36.33,37.2,698281
"2011-10-27",38.63,39.19,36.79,38.76,2223842
"2011-11-03",41.4,41.73,40.38,41.58,1261290
"2011-11-10",42.02,42.14,40.99,41.77,513052
"2011-11-17",40.48,40.53,39.17,39.32,911737
"2011-12-01",40.13,41.02,39.86,40.54,542563
"2011-12-08",39.8,39.89,37.98,38.08,700997
"2011-12-15",37.17,37.56,36.24,37.47,1128081
"2011-12-22",37.73,38.87,37.59,38.73,539358
"2011-12-29",37.71,38.43,37.7,38.16,334604
"2012-01-05",37.01,38.18,36.59,38.06,903957
"2012-01-12",38.88,38.92,36.86,37.45,1085481
"2012-01-19",37.28,37.89,37.13,37.44,580732
"2012-01-26",42.14,42.14,41,41.26,906278
"2012-02-02",42.01,42.01,41.42,41.6,763607
"2012-02-09",41.78,41.88,40.79,41.27,627674
"2012-02-16",42.53,42.86,42.09,42.49,797290
"2012-02-23",42.29,43.56,42.29,43.2,817300
"2012-03-01",45.05,45.08,44.05,44.32,752937
"2012-03-08",43.4,43.93,43.13,43.28,554355
"2012-03-15",43.55,44.31,43.23,44.11,699057
"2012-03-22",42.13,42.59,41.91,42.06,654658
"2012-03-29",41.45,41.95,40.71,41.78,1324865
"2012-04-05",42.79,42.95,42.53,42.68,354265
"2012-04-12",41.46,43.61,41.45,43.14,1120305
"2012-04-19",43.32,44.04,42.86,43.07,617840
"2012-04-26",43.1,44.32,42.85,43.45,1058746
"2012-05-03",42.46,42.46,41.55,41.67,1092019
"2012-05-10",40.72,41.04,40.39,40.5,412951
"2012-05-17",38.63,39.07,38.07,38.15,817502
"2012-05-24",38.86,39.68,38.56,38.97,1038359
"2012-05-31",38.71,39.04,38,38.75,1024420
"2012-06-07",39.67,39.83,39.01,39.07,488955
"2012-06-14",39.22,39.67,39.13,39.29,572032
"2012-06-21",40.49,40.56,39.14,39.32,935585
"2012-06-28",39.31,43.19,38.99,42.6,5538585
"2012-07-05",42.8,42.99,42.04,42.57,741223
"2012-07-12",41.63,41.65,40.88,41.45,1243427
"2012-07-19",40.5,40.51,39.73,40.23,1035992
"2012-07-26",38.63,39.02,37.4,38.32,1198700
"2012-08-02",38.78,39.21,38.25,38.74,809743
"2012-08-09",39.75,40.43,39.53,39.92,1050406
"2012-08-16",39.61,40.41,39.48,40.29,967545
"2012-08-23",40.02,40.13,39.56,39.85,777885
"2012-08-30",39.9,40.11,39.64,40.01,575257
"2012-09-06",40.6,41.5,40.53,41.16,717319
"2012-09-13",41.04,41.91,40.93,41.81,766637
"2012-09-20",44.58,45.56,44.38,45.31,1053338
"2012-09-27",45.1,45.89,45.03,45.75,757432
"2012-10-04",46,46.49,44.43,46.21,1692675
"2012-10-11",45.91,46.49,45.3,45.58,1018348
"2012-10-18",44.74,44.93,44.15,44.45,917934
"2012-10-25",43.62,43.82,43.2,43.61,693993
"2012-11-01",41.1,43.67,41.1,43.66,2457309
"2012-11-08",45.51,45.65,43.89,43.9,1223619
"2012-11-15",41.54,41.7,40.76,41.31,965916
"2012-11-29",43.68,44.82,43.35,44.81,1130951
"2012-12-06",45.25,46.88,45.04,46.17,1436835
"2012-12-13",45.67,46.11,45.57,45.9,504978
"2012-12-20",49.36,49.5,48.86,49.38,924347
"2012-12-27",47.96,48.33,47.69,48.19,762744
"2013-01-03",49.52,50.39,49.39,49.84,627011
"2013-01-10",51.13,51.38,50.54,50.55,670579
"2013-01-17",53.66,55.21,53.38,54.78,1644378
"2013-01-24",55.39,55.66,54.97,55.2,996434
"2013-01-31",56.6,56.89,56.32,56.64,930366
"2013-02-07",56.9,57.44,56.66,57.09,598731
"2013-02-14",57.06,58.04,57,57.91,444274
"2013-02-21",56.85,57.52,56.24,57.03,773103
"2013-02-28",57.92,58.36,57.62,57.89,662438
"2013-03-07",58.73,59.8,58.52,59.47,846233
"2013-03-14",61.14,61.71,61.09,61.47,683785
"2013-03-21",62.25,62.92,61.84,62.15,377423
"2013-03-28",64.42,64.71,63.55,63.87,1004780
"2013-04-04",62.83,63.47,62,62.86,692850
"2013-04-11",60.89,62.93,60.89,62.86,1240725
"2013-04-18",60.67,60.67,59.36,60.34,812739
"2013-04-25",63.19,63.42,62.45,62.51,1077834
"2013-05-02",65.54,66.55,65.32,66.17,895792
"2013-05-09",67.63,67.77,66.81,66.98,568357
"2013-05-16",69.05,69.05,67.81,67.96,864636
"2013-05-23",66.24,67.12,65.65,67.02,483023
"2013-05-30",68.1,70.44,68.1,70.25,1115688
"2013-06-06",67.94,68.94,67.68,68.82,409620
"2013-06-13",69.77,71.32,69.24,71.2,399604
"2013-06-20",68.12,68.27,66.18,66.38,656205
"2013-06-27",66.19,67.11,66.04,66.94,411037
"2013-07-11",67.7,67.9,66.46,67.08,569262
"2013-07-18",67.29,68.55,67.29,68.48,472355
"2013-07-25",67.15,67.49,65.96,67.17,831481
"2013-08-01",70.41,70.75,69.68,69.81,1234718
"2013-08-08",70.49,71.25,70.4,70.97,509323
"2013-08-15",71.24,71.32,69.78,69.85,494140
"2013-08-22",68.96,70.05,68.74,69.65,379944
"2013-08-29",68.92,69.54,68.26,69.22,267209
"2013-09-05",68.07,68.68,67.83,68.26,401629
"2013-09-12",70.2,70.73,69.54,70.68,394548
"2013-09-19",73.97,74.18,73.37,73.51,468040
"2013-09-26",73.68,74.87,73.48,74.27,307177
"2013-10-03",76.4,77.55,76.29,77.03,929069
"2013-10-10",76.8,77.2,76.32,76.46,508665
"2013-10-17",77.57,79.24,77.37,79.13,685445
"2013-10-24",79.86,80.27,78.38,78.99,677522
"2013-10-31",80.7,81.69,80.51,80.56,815896
"2013-11-07",80.31,80.44,77.24,77.31,772176
"2013-11-14",80.38,80.82,80.14,80.75,583220
"2013-11-21",79.5,80.31,79.37,79.89,763639
"2013-12-05",82.56,82.74,82.03,82.21,552757
"2013-12-12",80.64,81.38,80.35,80.93,659016
"2013-12-19",80.36,80.44,78.46,79.02,1760513
"2013-12-26",80.9,81.09,80.17,80.59,297008
"2014-01-02",80.84,81.89,80.2,80.62,544022
"2014-01-09",83.51,84.49,83.06,84.44,726501
"2014-01-16",85.67,86.08,85.06,85.26,810771
"2014-01-23",83.41,83.74,82.42,82.91,662945
"2014-01-30",80.38,81.1,80.03,80.9,511028
"2014-02-06",78.27,78.65,77.85,78.22,591262
"2014-02-13",79.37,82.45,78.55,82.03,530348
"2014-02-20",82.17,82.4,81.05,82.19,762733
"2014-02-27",82.14,82.83,81.81,82.2,742115
"2014-03-06",81.24,81.31,79.89,79.94,563798
"2014-03-13",77.13,77.23,74.6,75.1,1279238
"2014-03-20",76.89,77.74,76.73,76.81,641772
"2014-03-27",78.25,78.34,77.5,78.22,616736
"2014-04-03",82.61,83.43,82.45,83.04,1380595
"2014-04-10",77.77,77.87,75.45,75.87,808730
"2014-04-17",74.5,75.11,73.06,74.65,667164
"2014-04-24",76.98,78.65,76.81,78.12,1137983
"2014-05-01",82.17,84.02,81.4,83.32,904125
"2014-05-08",82.19,83.66,81.54,81.91,610776
"2014-05-15",85.59,85.59,83.98,84.94,469266
"2014-05-22",88.59,89.03,88.16,88.24,586964
"2014-05-29",89.5,90.13,88.06,89.74,611473
"2014-06-05",92.43,95.66,92.43,95.26,986377
"2014-06-12",92.67,93.07,91.99,92.5,515688
"2014-06-19",95.49,96.42,94.9,96.35,410056
"2014-06-26",97.15,97.44,93.42,95.94,1382298
"2014-07-03",96.48,97,95.69,96.2,350310
"2014-07-10",92.57,93.07,91.73,92.45,794909
"2014-07-17",96.58,97.55,95.27,95.52,693309
"2014-07-24",98.38,98.9,97.31,97.54,1139901
"2014-07-31",107.92,107.92,105.64,106.6,1017888
"2014-08-07",107.25,108.19,106.57,107.45,741043
"2014-08-14",109.17,110.33,109.09,109.92,470744
"2014-08-21",112.32,112.87,111.95,112.38,507137
"2014-08-28",113.2,113.74,112.78,113.57,392236
"2014-09-04",111.26,112.03,105.4,108,2855286
"2014-09-11",110.98,113.6,110.98,113.25,712375
"2014-09-18",111.89,113.03,111.49,112.56,872535
"2014-09-25",114.75,114.75,111.51,111.73,827093
"2014-10-02",103.63,106.01,102.56,105.75,1192732
"2014-10-09",107.81,108.07,104.25,104.32,705270
"2014-10-16",101.03,103.74,100.27,103.24,1298983
"2014-10-23",106.08,107.71,105.81,106.58,846564
"2014-10-30",104.69,105.02,101.29,102.66,1664145
"2014-11-06",99.02,100.83,99.02,100.25,1230041
"2014-11-13",99,99.53,98.05,98.81,1236910
"2014-11-20",101.55,103.9,101.43,103.06,1003365
"2014-12-04",105.73,107.73,105.26,106.92,661340
"2014-12-11",107.07,108.99,106.73,108.15,426562
"2014-12-18",106.77,109.67,106.6,109.67,712913
"2015-01-08",112.65,113.47,112.1,113.14,1013194
"2015-01-15",104.37,106.11,103.37,105.66,846312
"2015-01-22",108.66,110.85,107.69,110.37,628726
"2015-01-29",106.17,106.27,103.39,105.44,883889
"2015-02-05",105.12,106.31,105.12,105.82,429396
"2015-02-12",106.39,106.6,103.46,104.09,963627
"2015-02-19",106.9,107.92,106.6,107.18,275799
"2015-02-26",109.02,113.07,108.54,112.49,1112960
"2015-03-05",115.76,116.86,113.55,114.88,634936
"2015-03-12",114.42,115.24,113.88,114.48,746327
"2015-03-19",117.24,119.12,116.99,118.73,546098
"2015-03-26",117.7,118.25,116.33,117.34,617560
"2015-04-02",112.86,116.96,112.4,116.69,1279625
"2015-04-09",118.69,119.7,117.3,118.7,556322
"2015-04-16",120.86,121.24,119.32,119.98,420675
"2015-04-23",121.23,122.77,120.4,122.6,648991
"2015-04-30",119.51,120.38,116.66,116.95,1060751
"2015-05-07",115.18,118.75,115.18,118.49,957843
"2015-05-14",120.95,123.09,120.24,122.11,637911
"2015-05-21",126.6,127.68,126.16,126.69,758379
"2015-05-28",131.12,132.03,129,129.94,1281897
"2015-06-04",128.7,128.94,127.02,127.23,524419
"2015-06-11",131.56,132.78,131,132.33,730908
"2015-06-18",131.6,132.7,130.68,132.11,446865
"2015-06-25",130.63,144,130.63,140.78,4001262
"2015-07-02",143.33,143.85,142.06,142.71,611476
"2015-07-09",141.5,141.88,140.26,140.89,508896
"2015-07-16",141.42,141.83,139.43,141.25,788768
"2015-07-23",141.74,142.64,141.35,141.79,405208
"2015-07-30",141.7,142.21,140.37,141.44,690393
"2015-08-06",143.93,145,140.48,142.52,768126
"2015-08-13",143.2,143.74,141.72,142.28,391159
"2015-08-20",144.63,145.49,141.1,141.14,595839
"2015-08-27",138.02,141.51,137.84,140.97,754647
"2015-09-03",137.12,138.55,134.78,135.19,531332
"2015-09-10",135.12,136.11,134.27,134.7,549830
"2015-09-17",136.6,141.19,136.19,139.01,698776
"2015-09-24",138.52,138.75,133.14,133.58,1172187
"2015-10-01",125.96,127.61,124.17,126.46,1104257
"2015-10-08",128.94,129.42,125.52,127.44,727937
"2015-10-15",121.16,125.84,117.04,125.23,2051605
"2015-10-22",116.92,117.26,107.26,111.73,3876869
"2015-10-29",120.4,122.79,119.79,122.17,1162218
"2015-11-05",124.83,125.14,121.34,122.91,782485
"2015-11-12",120.41,120.55,117.5,117.62,670165
"2015-11-19",118.69,122.79,118.47,119.08,1094366
"2015-12-03",123.08,123.42,116.71,118.16,911392
"2015-12-10",118.83,121.96,118.83,121.11,436986
"2015-12-17",116.58,118.44,115.66,116.12,599354
"2015-12-24",120.67,122.15,119.79,120.64,196882
"2015-12-31",119.1,121.16,118.84,119.49,347079
"2016-01-07",113.45,115.16,112.3,112.9,758414
"2016-01-14",109.31,112.04,109,111.18,869887
"2016-01-21",107.77,110.16,106.05,106.95,754751
"2016-01-28",112.79,113.87,107.49,108.02,713810
"2016-02-04",111.21,113.03,109.48,111.85,532165
"2016-02-11",107.29,108.04,101.56,101.65,1174909
"2016-02-18",108.13,108.8,107.1,107.32,760848
"2016-02-25",111.27,112.92,108.82,111.28,865711
"2016-03-03",115.5,119.2,115.12,117.5,803097
"2016-03-10",113.47,115.02,112,112.95,696004
"2016-03-17",113.33,114.39,111.65,113.74,647242
"2016-03-24",117.64,119.05,116,117.91,466517
