"","CMS.Open","CMS.High","CMS.Low","CMS.Close","CMS.Volume"
"2011-09-15",19.83,20.16,19.71,20.14,4397715
"2011-09-22",19.78,19.96,19.29,19.5,6305720
"2011-09-29",19.93,19.94,19.58,19.79,3040743
"2011-10-06",19.5,19.88,19.44,19.74,4039205
"2011-10-13",19.93,20.1,19.87,20.08,2648904
"2011-10-20",20.54,20.77,20.53,20.72,5802555
"2011-10-27",21.13,21.58,21.04,21.33,3441621
"2011-11-03",20.57,20.8,20.42,20.7,2779843
"2011-11-10",20.78,20.85,20.55,20.76,2388420
"2011-11-17",20.52,20.71,20.27,20.54,3777725
"2011-12-01",20.86,21.13,20.84,21.12,2419341
"2011-12-08",20.84,20.9,20.44,20.53,2526023
"2011-12-15",20.67,20.87,20.61,20.82,3137194
"2011-12-22",21.81,21.85,21.67,21.73,1806570
"2011-12-29",22.22,22.37,22.16,22.35,1140023
"2012-01-05",21.54,21.88,21.49,21.83,2726753
"2012-01-12",21.77,21.77,21.56,21.71,1982606
"2012-01-19",21.76,21.76,21.4,21.45,2316174
"2012-01-26",22.18,22.31,22,22.31,4271697
"2012-02-02",22.09,22.14,21.93,22.04,2513481
"2012-02-09",21.81,21.83,21.66,21.75,2908011
"2012-02-16",21.6,21.78,21.59,21.67,8966348
"2012-02-23",21.96,21.96,21.45,21.47,3708966
"2012-03-01",21.44,21.5,21.27,21.33,1959999
"2012-03-08",21.69,21.79,21.64,21.69,1966892
"2012-03-15",21.85,21.89,21.59,21.85,1753040
"2012-03-22",21.74,21.83,21.6,21.82,1801290
"2012-03-29",21.76,21.91,21.42,21.91,4691520
"2012-04-05",22.13,22.16,21.92,22.14,2664889
"2012-04-12",21.51,21.57,21.35,21.53,2656772
"2012-04-19",22.07,22.19,21.9,22.04,2321210
"2012-04-26",22.33,22.71,22.22,22.69,5518964
"2012-05-03",22.64,22.76,22.54,22.59,3571318
"2012-05-10",22.61,23,22.53,22.9,2137534
"2012-05-17",22.85,22.9,22.62,22.7,3207863
"2012-05-24",22.89,23.13,22.89,23.07,2448458
"2012-05-31",23.09,23.39,23,23.3,10869188
"2012-06-07",23.39,23.55,23.31,23.37,3776717
"2012-06-14",23.52,23.69,23.52,23.66,2276634
"2012-06-21",23.5,23.68,23.22,23.27,2101143
"2012-06-28",23.25,23.36,23.14,23.33,2231956
"2012-07-05",23.56,23.7,23.41,23.61,1637392
"2012-07-12",23.64,23.88,23.58,23.81,1581978
"2012-07-19",24.3,24.52,24.21,24.43,1625200
"2012-07-26",24.26,24.54,24.1,24.53,1539629
"2012-08-02",24.11,24.11,23.69,23.93,4217166
"2012-08-09",23.87,23.95,23.67,23.72,1965044
"2012-08-16",23.48,23.6,23.36,23.43,3212549
"2012-08-23",23,23.03,22.64,22.7,2986739
"2012-08-30",23,23.04,22.89,22.94,1773058
"2012-09-06",23.24,23.4,23.22,23.4,1836962
"2012-09-13",23.19,23.5,23.18,23.48,1655491
"2012-09-20",23,23.19,23,23.02,1567334
"2012-09-27",23.62,23.65,23.29,23.38,2261590
"2012-10-04",23.72,23.92,23.64,23.85,1137116
"2012-10-11",23.83,23.97,23.77,23.87,1667807
"2012-10-18",24.2,24.33,24.14,24.32,1482579
"2012-10-25",24,24.22,23.88,24.21,1570610
"2012-11-01",24.39,24.41,24.14,24.2,1750798
"2012-11-08",23.15,23.46,23.06,23.08,1447438
"2012-11-15",22.9,23.02,22.58,22.79,2056983
