"","JBHT.Open","JBHT.High","JBHT.Low","JBHT.Close","JBHT.Volume"
"2011-09-15",40.3,40.68,39.61,40,1164048
"2011-09-22",35.03,36.65,34.42,35.6,1945515
"2011-09-29",37.72,38.09,36.75,37.77,587708
"2011-10-06",37.42,38.42,37.2,38.35,725639
"2011-10-13",39.05,39.45,38.13,38.89,1450824
"2011-10-20",41.33,41.7,40.63,41.64,921832
"2011-10-27",43.04,43.93,42.16,43.42,1315191
"2011-11-03",42.46,42.92,41.59,42.84,828711
"2011-11-10",41.78,41.87,41.03,41.26,617129
"2011-11-17",42.36,44.29,42.21,43.58,2278944
"2011-12-01",45.82,45.82,45.31,45.47,770887
"2011-12-08",44.64,44.91,43.95,44.04,916308
"2011-12-15",43.25,43.67,43.01,43.29,1054819
"2011-12-22",45.19,45.5,44.74,45.08,389261
"2011-12-29",45.12,45.64,44.83,45.53,411246
"2012-01-05",44.39,44.75,43.94,44.23,1476745
"2012-01-12",46.56,47.49,46.47,47.34,1113528
"2012-01-19",48.3,48.92,48.08,48.87,855153
"2012-01-26",49.07,49.99,48.74,49.3,1496405
"2012-02-02",51.82,51.82,51.06,51.17,1196915
"2012-02-09",52,53.02,51.96,52.79,979608
"2012-02-16",51.34,52.4,51.1,52.33,571657
"2012-02-23",50.97,50.97,50.3,50.42,1453621
"2012-03-01",51.28,52.41,51.27,52.09,850435
"2012-03-08",50.58,51.6,50.37,51.2,940352
"2012-03-15",52.89,54.93,52.85,54.65,1084342
"2012-03-22",53.33,53.67,52.8,53.61,661251
"2012-03-29",54.57,55.04,54.06,54.92,689264
"2012-04-05",55.62,56.09,55.35,55.92,657564
"2012-04-12",54.38,55.93,54.13,55.84,1191123
"2012-04-19",56.32,56.32,54.79,55.38,1086782
"2012-04-26",55.71,55.71,54.54,55.39,708854
"2012-05-03",57.26,57.41,56.54,56.78,972758
"2012-05-10",55.91,56.01,55,55.23,301853
"2012-05-17",55.23,55.43,51.88,52.14,1728705
"2012-05-24",55.62,56.75,55.36,56.68,1166453
"2012-05-31",56.62,57.34,55.9,57.13,800726
"2012-06-07",55.5,55.89,54.71,54.77,806243
"2012-06-14",56.75,57.99,56.43,57.53,827339
"2012-06-21",59.19,59.43,57.5,57.67,1185991
"2012-06-28",56.83,57.8,56.34,57.74,670576
"2012-07-05",58.7,60.08,58.7,59.86,674456
"2012-07-12",58.28,58.45,57.09,58.01,1191339
"2012-07-19",54.89,55.67,54.68,55.2,1024527
"2012-07-26",54.21,54.78,54.02,54.42,1360231
"2012-08-02",53.59,54.54,53.3,54.49,761305
"2012-08-09",55.08,55.18,54.59,54.77,473725
