"","INCY.Open","INCY.High","INCY.Low","INCY.Close","INCY.Volume"
"2011-09-15",15.23,15.23,14.83,14.95,2000029
"2011-09-22",13.32,13.75,13.08,13.26,1635302
"2011-09-29",14.38,14.45,13.67,14.16,1422492
"2011-10-06",15.15,16.01,15.03,16,1565941
"2011-10-13",15.69,15.69,14.75,14.98,3867084
"2011-10-20",13.66,13.87,13.32,13.54,1454392
"2011-10-27",14.94,15.49,14.53,14.7,1636692
"2011-11-03",13.64,13.66,13.01,13.45,1662937
"2011-11-10",13.02,13.14,12.62,12.79,1498338
"2011-11-17",13.23,13.74,12.52,12.54,6067283
"2011-12-01",13.76,14.44,13.73,14.44,2881895
"2011-12-08",13.64,13.64,13.22,13.4,1280905
"2011-12-15",13.36,13.57,12.87,13.42,1902485
"2011-12-22",14.99,14.99,14.71,14.78,730314
"2011-12-29",15.1,15.29,14.9,14.99,837682
"2012-01-05",14.72,15.58,14.72,15.45,1507467
"2012-01-12",16.2,16.43,15.58,16.42,1731739
"2012-01-19",17.63,18,17.63,17.79,2380227
"2012-01-26",18.78,19,18.02,18.2,3329958
"2012-02-02",18.04,18.43,17.78,18.07,1098529
"2012-02-09",17.39,17.52,17.04,17.22,1294988
"2012-02-16",16.82,18.12,16.8,18.02,2801274
"2012-02-23",17.03,17.46,16.85,17.19,992597
"2012-03-01",17.11,17.84,16.85,17.73,1762692
"2012-03-08",16.42,17.15,16.32,17.05,1539815
"2012-03-15",16.63,17.58,16.55,17.46,1270872
"2012-03-22",18.32,19.58,18.13,19.55,1949168
"2012-03-29",19.37,19.98,19.2,19.87,1166918
"2012-04-05",18.99,19.8,18.93,19.59,746841
"2012-04-12",18,18.18,17.8,18.11,662081
"2012-04-19",17.89,19.28,17.89,18.88,1694481
"2012-04-26",20.75,21.96,20,21.93,6362771
"2012-05-03",22.98,23.23,22.43,22.53,1798942
"2012-05-10",22.5,23.4,22.45,23.02,1891218
"2012-05-17",23.66,23.85,22,22.07,2040050
"2012-05-24",22.84,22.84,22.19,22.66,1581103
"2012-05-31",22.16,22.27,20.85,21.31,1849012
"2012-06-07",23.58,23.62,22.9,23.2,1607294
"2012-06-14",21.54,22.04,21.12,21.99,1321814
"2012-06-21",23,23.47,22.47,22.79,2302328
"2012-06-28",23.01,23.32,22,22.35,1143926
"2012-07-05",24.56,25.54,24.56,25.15,1500219
"2012-07-12",24.3,25.79,24.21,25.6,1514320
"2012-07-19",25.47,25.47,24.65,25.1,543054
"2012-07-26",24.4,25.33,24.4,24.88,1015724
"2012-08-02",20.29,20.7,17.75,19.57,11258495
"2012-08-09",17.61,18,17.61,17.77,1829194
"2012-08-16",18.51,19.03,18.31,18.77,1390071
"2012-08-23",19.36,19.98,19.33,19.9,1435304
"2012-08-30",19.57,19.98,19.51,19.92,1858050
"2012-09-06",19.45,19.75,19.43,19.61,1318507
"2012-09-13",18.15,18.2,17.28,17.38,2880166
"2012-09-20",18.88,19.27,18.83,19.23,1344219
"2012-09-27",17.85,17.94,17.68,17.77,1249101
"2012-10-04",18.17,18.26,17.95,18.05,813323
"2012-10-11",17.42,17.61,16.81,17.13,1996698
"2012-10-18",18.05,18.27,17.73,17.76,869504
"2012-10-25",16.48,16.55,16.34,16.45,728091
"2012-11-01",15.9,17.65,15.9,17.61,2933573
"2012-11-08",16.9,16.99,16.43,16.5,1121661
"2012-11-15",16.52,16.6,15.9,16.27,1128460
"2012-11-29",17.64,17.99,17.51,17.93,692389
"2012-12-06",17.8,18,17.75,17.98,924442
"2012-12-13",17.01,17.02,16.48,16.54,1526483
"2012-12-20",16.3,16.76,16.19,16.72,1538298
"2012-12-27",16.04,16.28,15.84,16.08,923294
"2013-01-03",17.01,17.23,16.9,17.1,1431528
"2013-01-10",19.4,19.4,18.63,18.96,1856901
