"","ENB.Open","ENB.High","ENB.Low","ENB.Close","ENB.Volume"
"2011-09-15",32.22,32.37,31.92,32.19,656343
"2011-09-22",31.41,31.46,29.91,30.72,1117386
"2011-09-29",32.21,32.27,31.45,32.05,573982
"2011-10-06",31.09,32.07,31.01,31.95,559457
"2011-10-13",33.12,33.39,32.74,33.27,588981
"2011-10-20",34.02,34.72,33.73,34.56,666000
"2011-10-27",35.64,35.71,34.89,35.29,955798
"2011-11-03",33.97,35.03,33.93,34.91,635129
"2011-11-10",34.37,34.38,33.5,33.95,798208
"2011-11-17",34.52,35.14,34.35,34.91,1159947
"2011-12-01",35.25,35.66,35.14,35.29,692873
"2011-12-08",35.38,35.83,35.12,35.44,859235
"2011-12-15",35.1,35.3,34.78,34.94,490673
"2011-12-22",36.45,37.18,36.27,37.07,767720
"2011-12-29",36.71,37.1,36.54,37.02,669813
"2012-01-05",36.91,37.32,36.79,37.2,887158
"2012-01-12",35.99,36.1,35.28,35.45,858208
"2012-01-19",36.33,36.37,36.09,36.2,298446
"2012-01-26",37.3,37.31,36.56,36.84,367128
"2012-02-02",38.03,38.4,37.77,38.07,616586
"2012-02-09",39.29,39.43,38.97,39.21,326940
"2012-02-16",38.81,39.39,38.66,39.38,515921
"2012-02-23",38.63,39.07,38.35,38.99,591757
"2012-03-01",38.7,38.85,38.59,38.8,599987
"2012-03-08",38.29,38.71,38.11,38.61,408477
"2012-03-15",38.38,38.88,38.22,38.62,434429
"2012-03-22",37.05,37.96,37,37.94,813419
"2012-03-29",39.05,39.05,38.43,38.89,1291082
"2012-04-05",39.32,39.7,39.12,39.63,437652
"2012-04-12",38.82,39.02,38.56,38.9,442481
"2012-04-19",39.04,39.47,38.96,39.39,355795
"2012-04-26",40.53,40.98,40.38,40.92,354892
"2012-05-03",41.57,41.67,40.82,40.9,543530
"2012-05-10",39.88,40.56,39.79,40.52,714007
"2012-05-17",39.67,39.78,39.18,39.36,579243
"2012-05-24",39.88,40.06,39.36,39.84,476821
"2012-05-31",39.5,39.76,38.91,39.43,687723
"2012-06-07",38.62,38.65,38.25,38.28,451709
"2012-06-14",38.59,38.7,38.27,38.53,396578
"2012-06-21",39.52,39.52,38.64,38.73,802460
"2012-06-28",38.68,39.31,38.37,39.19,420881
"2012-07-05",39.98,40.11,39.46,39.56,765032
"2012-07-12",39.7,40.1,39.58,40.06,331109
"2012-07-19",40.67,41.01,40.31,40.97,507772
"2012-07-26",41.5,41.73,41.17,41.65,541917
"2012-08-02",40.03,40.31,39.5,39.64,795928
"2012-08-09",39.36,39.71,39.21,39.6,610160
"2012-08-16",39.8,40,39.55,39.94,802255
"2012-08-23",39.92,39.94,39.52,39.73,402165
"2012-08-30",39.51,39.69,38.94,39.11,388250
"2012-09-06",39.05,39.52,38.9,39.47,574901
"2012-09-13",39.45,39.95,39.2,39.84,420678
"2012-09-20",39.01,39.49,38.93,39.05,377688
"2012-09-27",39.5,39.57,39.11,39.45,601264
"2012-10-04",40.41,41.15,40.32,40.88,1155817
"2012-10-11",40.38,40.41,39.88,40.02,439116
"2012-10-18",40.65,40.91,40.33,40.36,690129
"2012-10-25",39.47,39.75,39.18,39.28,287275
"2012-11-01",39.91,40.23,39.56,40.03,367171
"2012-11-08",39.73,39.75,39.14,39.14,484637
"2012-11-15",38.33,38.42,37.67,38.31,630386
"2012-11-29",40.31,40.38,40.02,40.34,387083
"2012-12-06",40.4,40.6,40.28,40.35,346833
"2012-12-13",42.77,43.22,42.51,42.61,936507
"2012-12-20",42.99,43.16,42.62,42.96,663327
"2012-12-27",42.65,42.77,42.43,42.77,341493
"2013-01-03",43.81,43.83,43.33,43.55,584306
"2013-01-10",43.69,44.39,43.48,44.3,544648
"2013-01-17",44.44,44.66,44.42,44.56,473563
"2013-01-24",43.72,43.99,43.66,43.86,746369
"2013-01-31",44.05,44.35,43.74,43.74,754469
"2013-02-07",44.77,44.84,44.56,44.79,1353085
"2013-02-14",44.01,44.85,43.76,44.15,616508
"2013-02-21",44.02,44.12,43.54,43.98,673312
"2013-02-28",44.36,44.56,44.19,44.56,686190
"2013-03-07",44.91,45.16,44.41,44.8,601860
"2013-03-14",44.77,45.3,44.36,45.22,829621
"2013-03-21",45.95,46.08,45.65,45.76,1258598
"2013-03-28",46.27,46.64,45.93,46.54,947872
"2013-04-04",45.96,46.39,45.39,45.82,1001533
"2013-04-11",45.61,45.83,45.35,45.81,879048
"2013-04-18",45.42,45.47,44.97,45.24,715860
"2013-04-25",45.79,46.08,45.64,45.94,554186
"2013-05-02",46.74,47.07,46.47,46.75,482808
"2013-05-09",47.47,47.64,46.5,46.76,787939
"2013-05-16",46.72,47.12,46.72,46.81,437883
"2013-05-23",46.62,46.91,46.4,46.75,497177
"2013-05-30",44.37,44.61,43.8,43.87,1182388
"2013-06-06",42.83,42.83,42.3,42.59,1232995
"2013-06-13",42.91,44.05,42.71,43.93,1043161
"2013-06-20",42.84,42.87,41.64,41.86,1941869
"2013-06-27",42.35,42.37,41.7,41.95,817635
"2013-07-11",43.68,44.12,43.54,43.97,1310156
"2013-07-18",44.75,45.13,44.72,44.89,1394226
"2013-07-25",44.87,45.15,44.64,45.03,563420
"2013-08-01",44.79,44.86,44.44,44.65,928715
"2013-08-08",43.18,43.45,42.91,43.45,1231591
"2013-08-15",41.95,42.14,41.82,42.05,1005522
"2013-08-22",41.43,41.5,40.75,40.78,1394783
"2013-08-29",40.48,40.91,40.36,40.9,604116
"2013-09-05",40.92,41.11,40.84,41.11,827765
"2013-09-12",41.11,41.14,40.71,41.05,763218
"2013-09-19",41.87,42.36,41.77,42.32,505611
"2013-09-26",41.68,41.95,41.48,41.7,873924
"2013-10-03",41.22,41.23,40.84,40.86,1257545
"2013-10-10",40.89,41.22,40.89,41.11,589353
"2013-10-17",41.42,41.8,41.2,41.69,932578
"2013-10-24",42.24,42.68,42.2,42.58,672290
"2013-10-31",42.95,43.46,42.82,43.39,1713588
"2013-11-07",44.79,44.79,44.14,44.23,817851
"2013-11-14",42.97,43.21,42.65,43.12,739529
