"","DHI.Open","DHI.High","DHI.Low","DHI.Close","DHI.Volume"
"2011-09-15",9.63,9.69,9.42,9.59,7613966
"2011-09-22",9.24,9.44,8.97,9.12,8893608
"2011-09-29",9.3,9.45,9.04,9.44,6959513
"2011-10-06",9.09,9.4,9,9.32,5272081
"2011-10-13",9.91,10.25,9.66,9.86,6206701
"2011-10-20",10.46,10.68,10.11,10.62,7412099
"2011-10-27",11.75,12,11.37,11.72,11456419
"2011-11-03",11.42,11.62,11.01,11.57,6497397
"2011-11-10",11.58,11.7,11.32,11.66,9696182
"2011-11-17",11.55,11.78,11.25,11.33,8055148
"2011-12-01",11.9,12.06,11.7,11.93,5825493
"2011-12-08",12.56,12.61,12.19,12.23,5185419
"2011-12-15",11.85,12.06,11.78,11.92,4815737
"2011-12-22",12.78,12.85,12.5,12.52,4378275
"2011-12-29",12.37,12.79,12.28,12.74,6572693
"2012-01-05",13.01,13.38,12.92,13.36,9616485
"2012-01-12",14.2,14.26,13.85,14.24,7701135
"2012-01-19",13.97,14.07,13.73,14.05,7849954
"2012-01-26",14.54,14.7,14.04,14.12,9944530
"2012-02-02",14.09,14.25,13.98,14.12,3954428
"2012-02-09",14.54,14.72,14.32,14.51,7516147
"2012-02-16",14.59,14.7,14.33,14.47,8533568
"2012-02-23",13.9,14.28,13.84,14.16,5932917
"2012-03-01",14.44,14.58,14.07,14.17,4498225
"2012-03-08",14.16,14.65,13.95,14.56,13906300
"2012-03-15",15.8,16.38,15.69,16.32,7689544
"2012-03-22",15.63,15.65,15.35,15.42,5068206
"2012-03-29",15.69,15.75,15.06,15.39,10113965
"2012-04-05",14.27,14.41,13.91,14.05,17734667
"2012-04-12",14.78,15.22,14.58,15.19,8444500
"2012-04-19",14.86,15.06,14.48,14.62,8248923
"2012-04-26",15.81,16.25,15.64,16.14,14104074
"2012-05-03",17.17,17.33,16.84,16.88,6423143
"2012-05-10",17.47,17.59,16.81,16.92,10745958
"2012-05-17",17.07,17.2,16.11,16.15,12151495
"2012-05-24",16.99,17.2,16.82,17.15,5817112
"2012-05-31",16.62,16.8,16.03,16.6,8610206
"2012-06-07",15.54,15.77,15.21,15.53,6580010
"2012-06-14",15.18,15.74,15.14,15.65,6479325
"2012-06-21",16.8,16.88,16.25,16.29,5556033
"2012-06-28",17.18,17.42,16.83,17.39,6598217
"2012-07-05",18.24,18.74,18.11,18.69,7706526
"2012-07-12",17.73,18.54,17.57,18.37,11050355
"2012-07-19",18.42,18.62,18.09,18.47,7326022
"2012-07-26",18.4,18.96,18.34,18.8,8707098
"2012-08-02",17.21,17.73,16.93,17.55,8414116
"2012-08-09",18.02,18.63,18.01,18.49,6859872
"2012-08-16",18.16,18.96,18.02,18.92,8153691
"2012-08-23",18.95,19.16,18.76,18.78,7172907
"2012-08-30",18.63,18.93,18.46,18.77,3067602
"2012-09-06",19.55,20.04,19.53,20.04,7700740
"2012-09-13",20.61,21.32,20.19,21.29,10048730
"2012-09-20",22.1,22.31,21.86,22.19,5894743
"2012-09-27",20.77,21.23,20.64,20.94,7386338
"2012-10-04",22.03,22.25,21.71,22,8007164
"2012-10-11",20.83,20.84,20.1,20.24,4112743
"2012-10-18",21.5,21.79,21.43,21.55,4743403
"2012-10-25",21.85,21.86,20.7,21.11,5125690
"2012-11-01",21.1,21.87,21.06,21.84,4707847
"2012-11-08",21.38,21.47,20.72,20.97,4346482
"2012-11-15",18.3,19.08,17.71,18.47,11098618
"2012-11-29",19.69,20,19.39,19.61,4817582
"2012-12-06",18.53,18.81,18.3,18.69,4364645
"2012-12-13",19.11,19.38,18.8,18.88,4470855
"2012-12-20",19.93,20.3,19.75,20.1,5962767
"2012-12-27",19.44,19.62,19.06,19.48,3855843
"2013-01-03",20.62,20.8,20.2,20.38,7427377
"2013-01-10",21.25,21.25,20.7,20.86,3853144
"2013-01-17",21.18,21.62,21.18,21.53,4410911
