"","ATVI.Open","ATVI.High","ATVI.Low","ATVI.Close","ATVI.Volume"
"2016-05-26",38.91,39.4,38.47,39.1,7995415
"2016-06-02",38.72,38.75,38.21,38.69,6581525
"2016-06-09",37.99,39.02,37.95,38.54,23555740
"2016-06-16",38.25,39.15,38,39.03,10064275
"2016-06-23",38.66,39.06,38.4,38.92,5674095
"2016-06-30",38.23,39.98,38.14,39.63,15052960
"2016-07-07",40.52,40.77,40.14,40.39,6273067
"2016-07-14",42.36,42.53,41.66,41.85,9624916
"2016-07-21",41.41,41.82,41.06,41.27,6440267
"2016-07-28",40.29,40.64,40.05,40.27,11111987
"2016-08-04",40.94,41.1,40.53,40.83,10976806
"2016-08-11",41.14,41.71,41.14,41.31,6542351
"2016-08-18",39.99,40.32,39.84,40.02,7273083
"2016-08-25",40.47,41,40.4,40.99,7901460
"2016-09-01",41.44,42.28,41.41,42.15,7821223
"2016-09-08",43.36,43.38,42.73,43.3,8130062
"2016-09-15",43.62,44.76,43.5,44.59,12342033
