"","AOS.Open","AOS.High","AOS.Low","AOS.Close","AOS.Volume"
"2012-05-17",11.34,11.38,10.82,10.98,2170960
"2012-05-24",11.48,11.61,11.4,11.54,1819840
"2012-05-31",11.39,11.62,11.31,11.54,2053372
"2012-06-07",11.77,11.92,11.68,11.74,2586592
"2012-06-14",11.66,11.94,11.6,11.9,1416916
"2012-06-21",11.88,12.03,11.53,11.56,1873904
"2012-06-28",11.86,11.94,11.55,11.84,1429480
"2012-07-05",12.28,12.46,12.23,12.4,905648
"2012-07-12",11.82,12.14,11.74,12.09,1375852
"2012-07-19",12.78,12.94,12.56,12.84,2885924
"2012-07-26",12.51,12.58,12.18,12.43,2157976
"2012-08-02",12.05,12.36,11.94,12.28,1466740
"2012-08-09",12.78,13,12.64,12.93,1362364
"2012-08-16",12.97,13.48,12.84,13.34,2005024
"2012-08-23",13.3,13.72,13.22,13.36,1625104
"2012-08-30",13.46,13.56,13.31,13.37,934736
"2012-09-06",13.75,13.97,13.75,13.89,1292832
"2012-09-13",14.1,14.35,13.94,14.13,2261404
"2012-09-20",14.38,14.47,14.31,14.36,1633088
"2012-09-27",14.2,14.48,14.08,14.46,1970680
"2012-10-04",14.39,14.52,14.29,14.46,1102108
"2012-10-11",14.32,14.37,14.02,14.08,1007792
"2012-10-18",14.47,14.88,14.42,14.76,3055480
"2012-10-25",15.12,15.14,14.72,14.81,1485388
"2012-11-01",15.25,15.46,15,15.43,1825988
"2012-11-08",14.96,15.1,14.82,14.9,1776436
"2012-11-15",14.63,14.76,14.26,14.59,1684000
"2012-11-29",15.46,15.7,15.33,15.68,1939656
"2012-12-06",15.88,15.92,15.62,15.78,1507396
"2012-12-13",15.46,15.59,15.42,15.49,1500716
"2012-12-20",15.84,15.93,15.68,15.84,1756632
"2012-12-27",15.49,15.52,15.25,15.46,830300
"2013-01-03",15.84,16.01,15.5,15.9,2563184
"2013-01-10",16.23,16.28,16.04,16.22,1456464
"2013-01-17",16.32,16.81,16.31,16.76,2063520
"2013-01-24",17.25,17.74,16.76,17.32,3655884
"2013-01-31",17.34,17.4,17.24,17.32,1325912
"2013-02-07",17.5,17.5,17.22,17.39,1036296
"2013-02-14",17.67,17.92,17.65,17.85,639712
"2013-02-21",17.57,17.58,17.11,17.36,1553956
"2013-02-28",17.87,17.98,17.75,17.88,1340128
"2013-03-07",18.34,18.38,18.22,18.28,825532
"2013-03-14",18.31,18.49,18.27,18.49,748204
"2013-03-21",18.57,18.6,18.16,18.28,1579156
"2013-03-28",18.44,18.47,18.33,18.39,1084848
"2013-04-04",16.85,17.29,16.77,17.26,2519436
"2013-04-11",17.16,17.43,17.16,17.38,1588300
"2013-04-18",17.41,17.51,17.08,17.17,1974728
"2013-04-25",18.71,18.92,18.68,18.79,2059884
"2013-05-02",18.42,18.88,18.36,18.88,2225024
"2013-05-09",19.32,19.53,19.32,19.4,1386096
"2013-05-16",19.78,20.18,19.76,19.81,1489374
"2013-05-23",19.16,19.56,19,19.46,1282272
"2013-05-30",19.42,19.62,19.38,19.55,854902
"2013-06-06",19.07,19.34,19,19.28,1465896
"2013-06-13",19.07,19.44,18.94,19.33,893988
"2013-06-20",19.18,19.2,18.26,18.41,2320462
"2013-06-27",18.25,18.64,18.25,18.6,1588456
"2013-07-11",19.26,19.42,19.11,19.24,1171946
"2013-07-18",19.46,19.67,19.36,19.62,1713490
"2013-07-25",20.64,20.72,20.37,20.58,1430982
"2013-08-01",20.86,21.08,20.83,21.04,1291562
"2013-08-08",20.78,20.92,20.72,20.88,986216
"2013-08-15",20.88,21.12,20.75,21.02,1326442
"2013-08-22",21.02,21.52,21.02,21.49,919032
"2013-08-29",21.11,21.46,21.09,21.3,535728
"2013-09-05",21.38,21.57,21.37,21.48,730594
"2013-09-12",22.36,22.46,22.08,22.13,804692
"2013-09-19",22.75,23.04,22.52,22.58,700522
"2013-09-26",22.37,22.61,22.28,22.52,840098
"2013-10-03",22.57,22.62,22.2,22.4,1076386
"2013-10-10",21.86,22.28,21.79,22.28,747824
"2013-10-17",22.66,23.12,22.64,23.12,1329178
"2013-10-24",25.12,25.2,25.04,25.08,1479128
"2013-10-31",26.32,26.32,25.58,25.82,2160434
"2013-11-07",26.3,26.58,25.9,25.92,2086542
"2013-11-14",27.24,27.36,26.98,27.26,1620386
"2013-11-21",27.02,27.2,26.86,27.19,1025488
"2013-12-05",26.38,26.47,26.16,26.26,1130344
"2013-12-12",26,26.34,25.92,26.22,852868
"2013-12-19",26.78,26.94,26.27,26.36,1943194
"2013-12-26",27.2,27.33,27.08,27.08,533266
"2014-01-02",26.96,26.99,26.54,26.66,1296914
"2014-01-09",26.2,26.39,25.96,26.24,1787586
"2014-01-16",26.18,26.32,25.94,26.06,1274698
"2014-01-23",26.01,26.19,25.88,26.1,1563626
"2014-01-30",24.09,24.13,23.76,23.9,1590082
"2014-02-06",23.14,23.42,22.74,22.94,2557076
"2014-02-13",23.85,24.24,23.77,24.12,1227210
"2014-02-20",24.34,24.58,24.25,24.56,819458
"2014-02-27",24.58,24.86,24.55,24.78,901168
"2014-03-06",24.56,24.63,24.27,24.33,2020360
"2014-03-13",23.82,23.83,23.18,23.24,1940264
"2014-03-20",23.16,23.29,22.79,22.83,1110792
"2014-03-27",22.36,22.75,22.28,22.63,1083386
"2014-04-03",23.4,23.52,23.27,23.39,1231110
"2014-04-10",22.58,22.7,22.26,22.34,1224876
"2014-04-17",22.95,23.44,22.95,23.26,4000580
"2014-04-24",23.8,23.88,23.5,23.84,1837262
"2014-05-01",23.43,23.77,23.28,23.6,1304842
"2014-05-08",23.28,23.7,23.19,23.48,1300658
"2014-05-15",23.64,23.71,23.18,23.64,1110588
"2014-05-22",24.13,24.46,24.04,24.35,1040972
"2014-05-29",24.92,24.97,24.67,24.84,834564
"2014-06-05",24.53,24.74,24.53,24.72,1281818
"2014-06-12",25.32,25.48,24.98,25.06,918104
"2014-06-19",24.86,24.92,24.74,24.9,519498
"2014-06-26",24.74,24.74,24.38,24.47,775896
"2014-07-03",24.56,24.82,24.5,24.76,551690
"2014-07-10",23.65,24.08,23.65,23.8,877010
"2014-07-17",23.71,23.72,23.28,23.3,1389048
"2014-07-24",24.98,25.14,24.71,24.74,1093484
"2014-07-31",23.49,23.62,23.18,23.35,1552834
"2014-08-07",23.7,23.84,23.38,23.44,984240
"2014-08-14",23.95,24.18,23.68,24.18,707746
"2014-08-21",24.68,24.72,24.44,24.48,520696
"2014-08-28",24.4,24.6,24.28,24.52,461240
"2014-09-04",24.7,24.96,24.68,24.85,1030132
"2014-09-11",24.36,24.62,24.29,24.58,697278
"2014-09-18",25,25.04,24.85,24.96,743080
"2014-09-25",24.28,24.34,24.12,24.21,1171586
"2014-10-02",23.29,23.46,23.08,23.4,1119122
"2014-10-09",23.74,23.82,23.24,23.36,1340296
"2014-10-16",22.73,23.33,22.7,23.25,1858046
"2014-10-23",25.14,25.47,25.04,25.36,1091248
"2014-10-30",26.08,26.4,25.99,26.34,703040
"2014-11-06",26.26,26.61,26.12,26.57,1051792
"2014-11-13",26.7,26.8,26.38,26.46,375762
"2014-11-20",26.52,26.91,26.47,26.7,697056
"2014-12-04",27.6,27.6,27.26,27.51,1055196
"2014-12-11",26.87,27.23,26.78,27.08,855896
"2014-12-18",27.4,27.54,27.15,27.52,661140
"2015-01-08",27.76,28.24,27.66,28.2,965292
"2015-01-15",27.81,28.02,27.08,27.12,920346
"2015-01-22",27.52,27.98,27.26,27.88,786430
"2015-01-29",29.75,30.02,29.18,29.68,1884950
"2015-02-05",30.6,30.86,30.54,30.64,1176682
"2015-02-12",31.2,31.52,31.14,31.33,995416
"2015-02-19",31.43,31.54,31.26,31.47,606976
"2015-02-26",31.5,31.76,31.21,31.74,788726
"2015-03-05",31.67,31.8,31.51,31.72,483200
"2015-03-12",31.76,32.05,31.46,31.53,1018690
"2015-03-19",32.48,32.64,32.02,32.12,797816
"2015-03-26",31.83,32.08,31.52,31.96,1049424
"2015-04-02",32.34,32.87,32.2,32.68,861666
"2015-04-09",32.45,32.56,32.14,32.37,596266
"2015-04-16",32.78,32.92,32.61,32.64,540388
"2015-04-23",33.04,33.05,32.61,32.82,1506216
"2015-04-30",32.01,32.36,31.81,31.95,2033616
"2015-05-07",33.02,33.74,32.87,33.54,1836288
"2015-05-14",34.74,34.98,34.49,34.74,856126
"2015-05-21",34.9,35.04,34.7,34.86,1012210
"2015-05-28",35.74,35.88,35.43,35.8,824552
"2015-06-04",36,36.06,35.6,35.73,375990
"2015-06-11",35.58,36.48,35.51,36.47,1295732
"2015-06-18",36.82,37.12,36.72,36.84,1239462
"2015-06-25",36.7,36.86,36.41,36.62,607050
"2015-07-02",36.88,36.95,36.19,36.38,641922
"2015-07-09",32.78,33.47,32.62,32.68,3127968
"2015-07-16",34.12,34.3,33.96,34.05,811860
"2015-07-23",37.5,38.72,35.44,36.17,3814682
"2015-07-30",35.43,35.94,35.25,35.83,977882
"2015-08-06",36.05,36.24,35.26,35.52,898942
"2015-08-13",34.47,34.96,34.42,34.79,1628718
"2015-08-20",34.48,34.66,33.84,33.86,1499682
"2015-08-27",31.91,32.03,31.19,31.95,1587892
"2015-09-03",32.12,33.02,31.94,32.92,2295724
"2015-09-10",33.68,34.31,33.48,34.16,1895478
"2015-09-17",35.06,35.6,34.94,35.02,1294882
"2015-09-24",33.78,33.81,33.21,33.64,912340
"2015-10-01",32.7,33.22,32.3,32.72,1545168
"2015-10-08",34.03,35.86,33.94,35.8,1680834
"2015-10-15",34.31,34.74,33.8,34.72,1447890
"2015-10-22",34.82,36.56,34.73,36.38,3291642
"2015-10-29",38.1,38.48,37.94,38.19,1852236
"2015-11-05",38.54,38.98,38.04,38.83,1217102
"2015-11-12",38.59,38.93,38.17,38.18,1459028
"2015-11-19",39.6,39.76,39.31,39.4,1254720
"2015-12-03",39.91,39.91,38.27,38.66,1797594
"2015-12-10",38.76,39.26,38.62,39.04,906844
"2015-12-17",39.13,39.36,38.26,38.26,1268706
"2015-12-24",38.51,38.78,38.29,38.64,309838
"2015-12-31",38.88,38.93,38.3,38.3,889232
"2016-01-07",35.85,35.85,34.63,34.85,4409700
"2016-01-14",31.62,32.36,30.81,32.08,3260266
"2016-01-21",31.04,32.79,30.88,32.09,3249834
"2016-01-28",33.39,34.08,32.57,33.93,3164448
"2016-02-04",33.92,34.68,33.5,33.88,2846276
"2016-02-11",31.47,32.7,30.64,32.27,1894036
"2016-02-18",34.65,34.76,34.12,34.48,937990
"2016-02-25",35.02,35.66,34.58,35.61,1476034
"2016-03-03",36.46,36.68,36.27,36.51,1188952
"2016-03-10",36.53,36.88,36.35,36.71,1097990
"2016-03-17",36.8,37.78,36.73,37.56,1159872
"2016-03-24",37.06,37.43,36.9,37.42,1366644
"2016-03-31",38.26,38.3,37.65,38.16,1131824
"2016-04-07",38.9,38.91,38.06,38.39,1201936
"2016-04-14",39.52,39.7,38.97,39.14,1306670
"2016-04-21",39.48,40.3,39.4,39.98,1389074
"2016-04-28",39.46,39.6,38.58,38.66,1168346
"2016-05-05",38.54,38.76,37.98,38.08,1494186
"2016-05-12",39.46,39.72,39,39.3,876986
"2016-05-19",39.82,39.98,39.34,39.8,1290856
"2016-05-26",41.65,41.94,41.24,41.48,1214976
"2016-06-02",41.14,41.34,40.91,41.34,1138320
"2016-06-09",42.31,42.7,42.12,42.61,1326800
"2016-06-16",41.61,41.97,41.22,41.92,1009216
"2016-06-23",42.82,43.34,42.82,43.34,782510
"2016-06-30",42.94,44.06,42.82,44.06,1470230
"2016-07-07",43.74,44,43.55,43.74,787354
"2016-07-14",45.88,45.95,45.32,45.32,1392570
"2016-07-21",45.27,45.4,44.66,44.82,1008846
"2016-07-28",46.84,47.12,46.68,46.78,913078
"2016-08-04",46.7,47.06,46.58,46.7,794532
"2016-08-11",47.23,47.46,46.95,47.43,729868
"2016-08-18",46.84,47.09,46.62,46.95,638970
"2016-08-25",47.6,47.8,47.39,47.75,786484
"2016-09-01",48.2,48.43,47.87,48.18,942790
"2016-09-08",48.32,48.5,47.85,48.42,1206524
"2016-09-15",45.83,46.74,45.56,46.64,899364
