"","URI.Open","URI.High","URI.Low","URI.Close","URI.Volume"
"2011-09-15",17.79,18.25,17.25,18.23,2439079
"2011-09-22",15.8,16.45,15.17,15.78,3304031
"2011-09-29",17.79,18.03,16.65,17.17,2313675
"2011-10-06",18.84,20.23,18.63,20.04,3696358
"2011-10-13",20.37,21.14,20.18,20.92,2119886
"2011-10-20",23.17,24.54,22.96,24.12,3867159
"2011-10-27",24.91,25.29,24.49,24.75,3576798
"2011-11-03",23.99,24.81,23.39,24.67,3196398
"2011-11-10",24.5,26.2,24.4,25.82,3591108
"2011-11-17",26.5,26.71,24.94,25.19,2498848
"2011-12-01",28.12,28.65,27.82,27.91,2000546
"2011-12-08",27.35,28.26,26.89,27.15,2081550
"2011-12-15",26.23,26.5,25.78,26.04,1378595
"2011-12-22",30.33,30.73,29.41,29.77,2519230
"2011-12-29",29.55,30,29.38,29.59,1038092
"2012-01-05",29.44,30.01,28.82,29.93,1979715
"2012-01-12",31.54,31.74,30.67,31.25,1431829
"2012-01-19",34.9,35.41,34.22,34.69,3139207
"2012-01-26",37.83,38.62,37.25,37.87,7387457
"2012-02-02",38.63,39,38.08,38.48,2000832
"2012-02-09",41.77,41.9,40.24,40.76,2544208
"2012-02-16",40.51,41.53,40,41.25,1314624
"2012-02-23",40.94,42.1,40.14,42,1895320
"2012-03-01",42.07,43.22,42,42.51,2101679
"2012-03-08",42.79,43.29,42.53,43.26,1290179
"2012-03-15",43.12,43.58,42.34,43.26,1523796
"2012-03-22",41.87,42.02,40.9,41.6,831123
"2012-03-29",41.86,43.12,41.7,42.82,1870280
"2012-04-05",43.03,43.67,42.61,42.85,1028092
"2012-04-12",39.09,40.92,38.97,40.65,1921679
"2012-04-19",45.85,46.63,44.91,45.15,2441419
"2012-04-26",45.99,46.45,44.82,44.95,1787810
"2012-05-03",45.23,45.35,42.82,43.75,2972525
"2012-05-10",43.33,44.75,42.83,43.1,2343389
"2012-05-17",38.48,38.5,33.48,33.89,10214314
"2012-05-24",36.8,37.08,35.31,36.36,2040811
"2012-05-31",36.83,36.83,33.24,34.55,4836356
"2012-06-07",33.43,35.61,33.4,33.44,4512933
"2012-06-14",31.64,33.39,31.62,33.06,2895441
"2012-06-21",36.33,36.8,33.62,34.13,3331924
"2012-06-28",30.99,32.5,30.89,32.14,2834029
"2012-07-05",35.59,36.2,35.16,35.73,1961627
"2012-07-12",31.78,33.98,31.57,33.53,2780562
"2012-07-19",29.76,30.03,28.06,29.8,11062699
"2012-07-26",28.07,28.25,26.91,27.43,4681689
"2012-08-02",27.72,28.54,27.01,28.07,2769276
"2012-08-09",32.12,32.77,31.4,32.67,2771870
"2012-08-16",32.68,34.64,32.56,34.02,4093457
"2012-08-23",32.85,33.17,31.85,31.97,2212041
"2012-08-30",31.12,31.69,30.72,31.5,1232939
"2012-09-06",34.83,37.49,34.77,36.9,5405662
"2012-09-13",35.99,38,34.95,37.71,4782952
"2012-09-20",37.14,37.14,36.02,36.79,2837732
"2012-09-27",33.32,33.54,32.81,33.33,3170913
"2012-10-04",32.4,33.99,32.36,33.58,2689721
"2012-10-11",32.68,33.07,32.39,32.49,2570736
"2012-10-18",38.96,40.02,38.52,39.94,6162496
"2012-10-25",39.31,39.68,38.57,39.08,1320933
"2012-11-01",40.87,43.12,40.65,42.67,4996364
"2012-11-08",40.32,40.5,38.38,38.87,2600624
"2012-11-15",39.01,39.7,37.31,37.77,3618706
"2012-11-29",41.4,41.96,40.51,41.5,2493709
"2012-12-06",42.48,42.72,41.64,42.58,1501672
"2012-12-13",43.17,43.6,41.67,42.41,1750912
"2012-12-20",44.75,45.18,44.47,45.13,1759098
"2012-12-27",44.44,44.48,42.46,43.48,1568188
"2013-01-03",47.97,48.39,47.08,48.05,2468312
"2013-01-10",48.85,48.9,47.72,48.2,1829743
"2013-01-17",48.81,49.72,48.74,49.28,1672463
"2013-01-24",49.19,51.5,46.67,49.16,5330323
"2013-01-31",49.59,50.74,49.55,50.62,1516623
"2013-02-07",52.4,52.5,51.38,52.45,1300760
"2013-02-14",55.21,56.18,54.88,55.9,1486243
"2013-02-21",52.91,53.09,49.27,50.94,4257043
"2013-02-28",52.56,54.26,52.36,53.41,2009076
"2013-03-07",54.41,54.56,53.41,53.78,1435500
"2013-03-14",54.95,55.28,53.77,54.24,1413688
"2013-03-21",54.69,55.83,53.19,54.18,1406868
"2013-03-28",53.49,55.08,53.49,54.97,1527723
"2013-04-04",51.25,51.48,50.21,50.88,2176834
"2013-04-11",54.47,57.24,54.38,55.21,3222470
"2013-04-18",51.56,51.6,49.67,50.69,2282426
"2013-04-25",50.86,52.25,50.17,52.01,2077579
"2013-05-02",50.96,51.46,50.5,51.28,1653512
"2013-05-09",58.22,58.55,57.63,57.83,1407927
"2013-05-16",58.62,59.36,57.3,57.49,1495503
"2013-05-23",55.04,57.15,54.6,56.06,2250204
"2013-05-30",57.2,57.77,56.41,57.41,1432608
"2013-06-06",51.16,51.26,49.12,50.72,5115198
"2013-06-13",48.65,50.17,48.22,49.88,2563342
"2013-06-20",50.43,52.38,49.25,50.76,3888154
"2013-06-27",49.48,51,49.42,50.57,2734417
"2013-07-11",53.12,53.36,51.51,52.74,2529699
"2013-07-18",56.41,57.55,55.69,56.7,2736097
"2013-07-25",55.24,55.89,54.45,55.4,1332336
"2013-08-01",58.07,59.61,57.83,59.41,2473532
"2013-08-08",56.93,57.28,55.87,56.05,1197064
"2013-08-15",54.34,54.48,53.25,54.11,1038655
"2013-08-22",56.24,57.15,56.16,56.85,531631
"2013-08-29",54.93,56.53,54.93,55.9,961822
"2013-09-05",55.59,57.56,55.53,56.95,1259220
"2013-09-12",55.37,56.48,55,55.87,2256725
"2013-09-19",58.46,59.19,57.77,57.79,1135214
"2013-09-26",56.8,58.28,56.8,57.64,1280050
"2013-10-03",60.33,60.87,58.9,59.92,1442085
"2013-10-10",57.09,58.34,57.02,58.1,1384754
"2013-10-17",59.77,62.9,57.8,61.94,5496239
"2013-10-24",64.78,65.81,64.11,65.12,1064947
"2013-10-31",64.35,65.46,64.03,64.59,1145941
"2013-11-07",66.2,66.36,62.01,62.11,3990103
"2013-11-14",66.25,67.59,65.53,67.38,1409365
"2013-11-21",67.08,67.55,66.25,67.18,1094328
"2013-12-05",68.02,69.18,68.02,68.85,860403
"2013-12-12",69.83,71.04,69.51,70.59,1061913
"2013-12-19",75.64,76.49,74.81,74.87,1297779
"2013-12-26",77.2,78.37,77.2,77.87,904681
"2014-01-02",77.27,77.73,75.51,76.49,1292009
"2014-01-09",79.36,79.43,77.85,78.26,1019782
"2014-01-16",81.74,82.57,81.31,82.01,1676963
"2014-01-23",80.92,84.2,80.38,83.32,4130364
"2014-01-30",81.06,82.68,80.26,81.6,1680449
"2014-02-06",77.34,79.95,77.31,79.45,1713615
"2014-02-13",81.43,83.42,81.22,82.71,1190312
"2014-02-20",84.58,87.25,84.01,86.78,1430526
"2014-02-27",86.22,88.55,86.07,88.08,2023353
"2014-03-06",89.85,90.4,88.36,88.5,1376899
"2014-03-13",92.22,92.45,88.6,89.31,1784954
"2014-03-20",92.09,94.83,92.05,94.76,1834467
"2014-03-27",91.54,92.13,89.7,90.83,1755398
"2014-04-03",94.75,95.84,93.44,94.57,1450594
"2014-04-10",91.07,92.19,87.76,88.17,2217176
"2014-04-17",94.5,96,92.61,93.47,4061923
"2014-04-24",96.06,96.12,93.36,95.02,1443739
"2014-05-01",94.16,95.99,92.97,93.17,1973709
"2014-05-08",93.17,95.41,92.59,92.89,1893147
"2014-05-15",96.07,96.73,91.93,94.44,2736542
"2014-05-22",97.65,99.09,97.07,98.78,1449738
"2014-05-29",101.27,101.51,100.2,101.51,926249
"2014-06-05",103.04,106.73,103,105.95,1971762
"2014-06-12",106.55,107,104.36,105.01,1415015
"2014-06-19",104.85,104.85,103.39,104.23,968904
"2014-06-26",105.58,105.78,103.93,105.28,689720
"2014-07-03",108.45,109.18,107.95,108.96,488985
"2014-07-10",106.43,108.54,105.25,107.69,1022896
"2014-07-17",111.94,114.95,109,110.06,3234778
"2014-07-24",113.07,113.84,112.33,112.63,830687
"2014-07-31",108.87,109.41,104.54,105.9,2120664
"2014-08-07",106.43,108.3,104.8,105.23,1736964
"2014-08-14",111.66,112.09,111.17,111.55,1085648
"2014-08-21",116.81,116.86,115.24,116.27,863840
"2014-08-28",116.74,117.49,115.69,117.1,626871
"2014-09-04",118.45,119.79,117.9,118.3,758111
"2014-09-11",114.73,116.14,114.03,116.1,1100723
"2014-09-18",118.5,118.95,117.21,118.7,1007019
"2014-09-25",113.88,113.98,110.77,110.98,1465097
"2014-10-02",104.35,105.97,101.51,105.45,2468001
"2014-10-09",102.5,103.26,97.77,97.91,2709468
"2014-10-16",93.55,100.9,89.43,99.64,6522412
"2014-10-23",107.01,108.55,106.4,107.41,1818061
"2014-10-30",106.68,107.63,105.21,106.12,1372032
"2014-11-06",111.41,114.02,111.11,113.76,1369812
"2014-11-13",114.03,114.71,112.62,113.55,1164409
"2014-11-20",113.63,114.84,112.9,114.52,750686
"2014-12-04",112.22,113.53,110.72,113.35,1539632
"2014-12-11",108.39,110.34,106.25,106.53,1846192
"2014-12-18",101.42,103.21,99.17,100.76,2703939
"2015-01-08",90.07,91.13,89.5,90.47,3246901
"2015-01-15",84.29,85.45,83.08,83.11,3331178
"2015-01-22",91.63,92.09,82.11,86.03,7588061
"2015-01-29",86.5,86.82,84.66,86.32,3160678
"2015-02-05",89.56,90.68,88.52,89,1992210
"2015-02-12",90.55,92,90.4,91.57,1283170
"2015-02-19",93.81,95.46,93.03,94.81,1387382
"2015-02-26",94.36,94.84,93.4,94.26,1282384
"2015-03-05",92.54,92.55,90.76,92.06,1340468
"2015-03-12",87.87,89.07,87.78,88.2,1374985
"2015-03-19",88.85,88.85,87.66,88.48,1340494
"2015-03-26",88.49,92.11,88.25,91.09,2922598
"2015-04-02",91.38,92.35,90.62,90.65,1573657
"2015-04-09",93.01,94.72,92.7,94.66,1423744
"2015-04-16",98.74,98.98,97.41,97.49,1598531
"2015-04-23",96.05,99,96,98.53,2698333
"2015-04-30",97.21,98.64,96.15,96.58,1424144
"2015-05-07",99.51,100.05,98,99.3,1511341
"2015-05-14",103.83,104.24,102.47,103.05,981809
"2015-05-21",103.01,105.83,103.01,105.13,2316961
"2015-05-28",101,101,94.26,94.95,8954165
"2015-06-04",90.85,91.84,90.7,91.19,2116462
"2015-06-11",89.77,90.36,89.6,89.72,1305947
"2015-06-18",90.77,93,90.71,92.58,1905187
"2015-06-25",92.61,92.61,88.99,89.58,2111896
"2015-07-02",83.71,84.67,83.08,84.28,1788808
"2015-07-09",81.5,83.31,81.34,81.37,2446948
"2015-07-16",80.96,82.32,80.52,81.78,2057997
"2015-07-23",71.88,74.92,66.74,66.98,13080427
"2015-07-30",66.01,66.72,64.88,66.54,2109132
"2015-08-06",65.31,66.21,64.66,65.66,2304287
"2015-08-13",66.63,66.83,64.14,64.31,2266105
"2015-08-20",64.65,66.39,64.53,64.55,2329684
"2015-08-27",65,68.77,64.63,68.3,3232493
"2015-09-03",67.5,68.81,66.28,67.83,2616789
"2015-09-10",69.12,70.47,68.57,68.98,1783322
"2015-09-17",71.79,72.19,69.33,69.6,3127734
"2015-09-24",62.05,62.72,59.07,61.81,3361371
"2015-10-01",60.58,61.97,59.46,59.84,3277718
"2015-10-08",68.18,71.53,67.6,70.53,2639250
"2015-10-15",69.5,69.88,67.02,69.27,2568936
"2015-10-22",69.82,74.84,69.28,73.9,5772571
"2015-10-29",73.95,75.42,73.27,74.26,1353550
"2015-11-05",76.39,78.62,75.69,78.34,2017836
"2015-11-12",75.46,76.32,73.32,73.49,2524599
"2015-11-19",76.47,76.96,75.02,75.56,1413182
"2015-12-03",76.58,77.62,74.55,75.2,1578573
"2015-12-10",70.69,72.09,70.57,71.04,1319596
"2015-12-17",69.23,69.23,66.87,66.9,1711998
"2015-12-24",74.76,75.44,74.5,74.6,779889
"2015-12-31",72.07,73.12,71.99,72.54,1540385
"2016-01-07",64.89,64.96,61.71,62.36,3385637
"2016-01-14",58.23,58.32,54.67,57.14,3572791
"2016-01-21",54.4,56.93,53.7,55.31,2712374
"2016-01-28",49.9,50.2,44.6,45.58,11007972
"2016-02-04",48.09,51.08,47.98,48.68,2812815
"2016-02-11",43.96,44.83,41.9,43.34,2713253
"2016-02-18",48.78,50.45,47.73,49.87,2794431
"2016-02-25",49.52,50.42,47.88,50.36,1323418
"2016-03-03",54.41,56.64,53.94,56.56,2015303
"2016-03-10",58.32,59.17,56.46,57.92,1483822
"2016-03-17",61.84,63.84,61.45,63.37,2119761
"2016-03-24",61.03,62.54,60.06,61.99,1385981
"2016-03-31",62.58,62.58,60.74,62.19,2119580
"2016-04-07",58.27,59.81,57.45,57.95,1771092
"2016-04-14",62.31,62.55,61.29,61.34,1039784
"2016-04-21",57.15,65.74,56.01,64.87,7668940
"2016-04-28",67.7,68.84,66.66,66.81,1284475
"2016-05-05",62.49,62.82,60.88,61.04,1987697
"2016-05-12",62.15,62.88,60.57,60.87,1576982
"2016-05-19",64.15,64.72,62.65,64.1,1874667
"2016-05-26",68.5,70.09,67.65,68.2,1564115
"2016-06-02",69.03,71.18,68.68,71.09,1528553
"2016-06-09",73.86,74.35,72.69,74.11,934855
"2016-06-16",67.54,67.86,65.04,67.01,4257763
"2016-06-23",70.36,72.25,70.36,72.23,1452660
"2016-06-30",65.9,67.12,64.68,67.1,1741264
"2016-07-07",64.15,65.74,63.8,64.63,1971489
"2016-07-14",68.74,70.06,67.81,69.59,1330152
"2016-07-21",76.07,80.68,75.41,76.25,9560155
"2016-07-28",80.34,80.6,78.94,79.84,1533315
"2016-08-04",76.17,77.22,75.93,76.93,1222879
"2016-08-11",78.49,79.42,78.01,78.89,1389729
"2016-08-18",78.16,81.37,78.16,80.81,2106073
"2016-08-25",80.73,81.61,80.6,81.21,932966
"2016-09-01",82,82.3,79.7,81.16,1384096
"2016-09-08",83.88,84.63,82.85,83.88,1333708
"2016-09-15",78.72,79.63,78.19,79.31,1341593
