"","PWR.Open","PWR.High","PWR.Low","PWR.Close","PWR.Volume"
"2011-09-15",18.81,18.95,18.46,18.91,1342774
"2011-09-22",18.23,18.55,17.97,18.32,4158734
"2011-09-29",19.04,19.44,18.74,19.44,2943427
"2011-10-06",18.87,19.81,18.69,19.63,2594433
"2011-10-13",19.85,19.94,19.4,19.71,2116816
"2011-10-20",19.7,19.82,19.18,19.71,1697564
"2011-10-27",21.16,21.83,20.86,21,2541501
"2011-11-03",22.4,22.5,21.91,22.44,3007891
"2011-11-10",19.98,20.14,18.61,18.94,7701602
"2011-11-17",19.62,19.96,19.3,19.44,3031370
"2011-12-01",20.5,21.19,20.45,20.67,2055869
"2011-12-08",20.63,20.7,20.12,20.18,2386361
"2011-12-15",20.31,20.36,20,20.27,1578505
"2011-12-22",21.18,21.82,21.13,21.68,1451967
"2011-12-29",21.54,21.77,21.44,21.58,953827
"2012-01-05",21.5,21.96,21.28,21.88,1410674
"2012-01-12",22.13,22.21,21.95,22.14,1092894
"2012-01-19",21.59,21.81,21.41,21.69,1289836
"2012-01-26",21.64,21.78,21.35,21.47,1062607
"2012-02-02",22.1,22.22,21.91,22.21,910869
"2012-02-09",22.27,22.53,22.2,22.46,1249742
"2012-02-16",21.91,22.03,21.78,21.88,1040186
"2012-02-23",21.15,21.56,20.96,21.28,2055714
"2012-03-01",20.96,21.34,20.96,21.18,1353926
"2012-03-08",21.18,21.48,20.98,21.42,2230417
"2012-03-15",21.64,21.9,21.51,21.89,1534329
"2012-03-22",21.11,21.29,20.86,21.25,1187394
"2012-03-29",20.87,20.99,20.78,20.94,1398362
"2012-04-05",21.51,22.01,21.46,21.65,2149108
"2012-04-12",20.73,21,20.64,20.98,1687241
"2012-04-19",21.18,21.26,20.61,20.78,2054241
"2012-04-26",21.41,21.66,21.23,21.62,795657
"2012-05-03",23.17,24.06,23,23.5,4909752
"2012-05-10",23.42,23.57,22.94,23.04,2448684
"2012-05-17",22.77,22.86,22.01,22.01,1884021
"2012-05-24",22.62,22.94,22.42,22.91,2421295
"2012-05-31",22.31,22.76,21.95,22.58,3292688
"2012-06-07",22.23,22.54,21.96,22.27,2730064
"2012-06-14",22.34,22.94,22.29,22.88,2058628
"2012-06-21",23.22,23.38,22.68,22.73,3352128
"2012-06-28",22.76,23.57,22.65,23.54,2082908
"2012-07-05",23.63,23.95,23.5,23.83,2171790
"2012-07-12",22.57,23.18,22.44,23.11,1873898
