"","AMAT.Open","AMAT.High","AMAT.Low","AMAT.Close","AMAT.Volume"
"2011-09-15",11.62,11.71,11.46,11.67,20688568
"2011-09-22",10.65,10.66,10.21,10.36,25529059
"2011-09-29",10.78,10.81,10.4,10.62,25321562
"2011-10-06",10.65,10.82,10.45,10.75,18381935
"2011-10-13",11.28,11.63,11.21,11.58,18025130
"2011-10-20",11.44,11.47,11.01,11.33,12726972
"2011-10-27",12.04,12.6,12.04,12.54,18206669
"2011-11-03",12.12,12.42,11.9,12.36,13353224
"2011-11-10",12.26,12.39,12.07,12.25,11544159
"2011-11-17",12.03,12.15,11.32,11.53,28981820
"2011-12-01",10.73,10.84,10.56,10.77,14450067
"2011-12-08",11.2,11.29,10.9,10.91,14243762
"2011-12-15",10.5,10.52,10.18,10.19,17333957
"2011-12-22",10.25,10.57,10.25,10.53,20375245
"2011-12-29",10.7,10.79,10.62,10.68,8106042
"2012-01-05",10.72,10.84,10.64,10.83,13994157
"2012-01-12",11.81,11.85,11.63,11.8,12568026
"2012-01-19",12.19,12.42,12.15,12.31,15466881
"2012-01-26",12.43,12.64,12.29,12.4,14769739
"2012-02-02",12.55,12.76,12.55,12.64,11213856
"2012-02-09",13,13.13,12.92,13.11,11424925
"2012-02-16",12.94,13.23,12.92,13.21,14152351
"2012-02-23",12.89,12.92,12.52,12.74,17942192
"2012-03-01",12.3,12.37,12.16,12.24,15311965
"2012-03-08",12.19,12.29,12.08,12.18,15581099
"2012-03-15",12.59,12.88,12.58,12.79,11979736
"2012-03-22",12.67,12.7,12.46,12.65,14911613
"2012-03-29",12.36,12.5,12.27,12.48,12771332
"2012-04-05",12.04,12.16,12,12.03,11857814
"2012-04-12",11.92,12.14,11.86,12.06,8476612
"2012-04-19",11.85,12.05,11.82,11.86,9807570
"2012-04-26",11.67,12.01,11.65,11.94,11963962
"2012-05-03",11.8,11.82,11.51,11.53,11660388
"2012-05-10",11.14,11.23,10.99,11.06,16032257
"2012-05-17",10.67,10.74,10.48,10.48,14542040
"2012-05-24",10.66,10.7,10.26,10.38,20935361
"2012-05-31",10.45,10.46,10.26,10.33,21572329
"2012-06-07",10.77,10.8,10.57,10.61,17349249
"2012-06-14",10.78,10.84,10.65,10.78,13373353
"2012-06-21",11.51,11.7,11.13,11.17,18374491
"2012-06-28",11.02,11.11,10.92,11.09,10423529
"2012-07-05",11.41,11.49,11.25,11.32,11933536
"2012-07-12",10.47,10.5,10.29,10.37,14315526
"2012-07-19",10.69,10.84,10.57,10.7,12960304
"2012-07-26",10.7,10.78,10.51,10.64,11535213
"2012-08-02",10.78,11.1,10.72,10.92,11871291
"2012-08-09",11.9,12,11.85,11.89,11798465
"2012-08-16",11.34,12.05,11.3,11.98,25911668
"2012-08-23",11.76,11.85,11.68,11.8,10745698
"2012-08-30",11.61,11.63,11.45,11.47,9928482
"2012-09-06",11.76,11.95,11.75,11.9,19311435
"2012-09-13",11.58,11.86,11.51,11.84,14894836
"2012-09-20",11.44,11.47,11.31,11.44,10002712
"2012-09-27",11.18,11.37,11.09,11.28,10122836
"2012-10-04",11.18,11.19,11.02,11.1,17240979
"2012-10-11",11,11.04,10.91,10.95,8279051
"2012-10-18",11.14,11.23,11.1,11.19,13693663
"2012-10-25",10.75,10.85,10.63,10.68,16367013
"2012-11-01",10.63,11.05,10.59,10.95,21400040
"2012-11-08",10.92,10.98,10.5,10.5,23190587
"2012-11-15",10.38,10.47,10.24,10.3,15469502
"2012-11-29",10.66,10.8,10.65,10.74,9554692
"2012-12-06",10.8,10.89,10.74,10.89,8415053
"2012-12-13",11.14,11.22,10.94,11.11,14793159
"2012-12-20",11.34,11.39,11.2,11.38,9755901
"2012-12-27",11.37,11.45,11.19,11.35,11112390
"2013-01-03",11.84,11.9,11.7,11.81,8741460
"2013-01-10",11.72,11.85,11.62,11.64,10054739
"2013-01-17",11.95,12.45,11.94,12.4,27137502
"2013-01-24",12.7,12.79,12.57,12.6,10380241
"2013-01-31",12.85,12.98,12.8,12.91,9730778
"2013-02-07",13.39,13.4,13.11,13.3,14791516
"2013-02-14",13.86,13.99,13.65,13.89,20125779
"2013-02-21",13.51,13.52,13.09,13.25,17873591
"2013-02-28",13.74,13.86,13.67,13.7,13483835
"2013-03-07",13.65,13.78,13.45,13.54,15011239
"2013-03-14",13.63,13.76,13.63,13.68,7978653
"2013-03-21",13.1,13.13,12.92,12.96,10005342
"2013-03-28",13.42,13.54,13.33,13.48,11878165
"2013-04-04",13.1,13.24,13.03,13.22,7399754
"2013-04-11",13.73,13.97,13.7,13.8,11024653
"2013-04-18",13.17,13.23,12.89,12.92,13911385
