"","ORLY.Open","ORLY.High","ORLY.Low","ORLY.Close","ORLY.Volume"
"2011-09-15",69.97,70.82,69.46,70.63,929271
"2011-09-22",68.66,69.6,67.95,68.61,1353779
"2011-09-29",69.7,69.73,65.58,67.35,1545499
"2011-10-06",67.01,67.69,66.33,67.57,1359154
"2011-10-13",68.35,69.08,68.05,68.71,852892
"2011-10-20",70.14,70.91,69.58,70.74,873503
"2011-10-27",74.38,76.88,73.97,76.13,3004054
"2011-11-03",76.45,77.49,75.58,77.36,1042344
"2011-11-10",77.35,77.35,76.19,76.38,1066283
"2011-11-17",76.65,77,75.26,76.05,876235
"2011-12-01",77.31,78.26,76.92,77.7,640938
"2011-12-08",78.41,79.66,78.4,78.92,886760
"2011-12-15",78.95,79.49,78.56,78.95,912665
"2011-12-22",80.8,81.12,79.91,80.11,753086
"2011-12-29",81.13,81.58,80.73,80.99,470447
"2012-01-05",79.22,80.67,78.54,80.41,722904
"2012-01-12",81.64,81.89,80.9,81.82,647369
"2012-01-19",83.89,85.32,83.87,84.78,1178950
"2012-01-26",83.23,83.8,81.81,81.99,962904
"2012-02-02",82.09,82.38,81.42,81.54,942521
"2012-02-09",81.92,84.76,81.9,84.34,1946275
"2012-02-16",83.66,85.11,83.66,84.51,1560635
"2012-02-23",84.69,86.59,84.4,86.4,1676393
"2012-03-01",86.64,88.18,86.52,88.08,1062833
"2012-03-08",90.27,90.94,89.89,89.92,825170
"2012-03-15",90.11,90.32,89.61,90.21,899495
"2012-03-22",89.47,90.81,89.21,90.36,778746
"2012-03-29",90.08,90.59,89.81,90.56,845030
"2012-04-05",92.68,93.43,92.32,92.65,557274
"2012-04-12",94,94.41,93.37,94.28,708923
"2012-04-19",96.43,96.75,95.52,95.99,1110282
"2012-04-26",100.99,104.81,97.51,102.64,3778804
"2012-05-03",106.51,107.08,105.53,105.89,678046
"2012-05-10",102.71,103.7,102.01,103.13,881745
"2012-05-17",98,98.71,94.08,94.32,3200665
"2012-05-24",97.16,97.75,95.85,96.28,1084449
"2012-05-31",96.21,96.49,95.27,95.79,1476761
"2012-06-07",99.49,99.59,96.91,97.21,1362962
"2012-06-14",97.96,99.5,97.75,98.34,997866
"2012-06-21",100.59,100.76,96.97,97.15,1227071
"2012-06-28",82.11,82.91,80.27,81.34,3599268
"2012-07-05",84.36,86.97,84.06,86.58,1746117
"2012-07-12",87.28,92.03,87.28,91.21,2984532
"2012-07-19",94.59,97,92.24,94.15,2511160
"2012-07-26",88.9,90.62,85,86.97,3943136
"2012-08-02",84.48,86,84.06,84.56,1204307
"2012-08-09",85.67,86.38,84.55,85,1789785
"2012-08-16",84.98,87.33,84.35,87.21,1091857
"2012-08-23",85.47,86.95,85.25,86.46,840191
"2012-08-30",85.58,85.94,84.88,84.95,1104316
"2012-09-06",84.6,85.76,83.42,83.66,1645798
"2012-09-13",85.34,85.56,81.34,81.53,4530768
"2012-09-20",82.12,84.56,81.77,84.08,2382168
"2012-09-27",84.47,84.72,83.77,84.19,847182
"2012-10-04",83.76,86.11,83.7,86.01,1572496
"2012-10-11",85.37,85.97,84.02,84.34,883112
"2012-10-18",80,81.09,78.58,79.92,5091213
"2012-10-25",86.41,88.45,83.13,84.46,3858830
"2012-11-01",85.95,91.94,85,88.05,4338203
"2012-11-08",88.5,89.79,88.5,88.93,1770522
"2012-11-15",88.94,90,87.99,89.77,1055627
"2012-11-29",92.11,93.44,90.39,92.85,1335420
"2012-12-06",91.27,91.47,90.57,90.68,1214959
"2012-12-13",92.55,92.96,90.6,90.79,1545715
"2012-12-20",91.55,92.15,91,91.8,954484
"2012-12-27",88.97,89.26,87.32,88.71,973698
"2013-01-03",90.1,91.48,89.23,90.21,1151767
"2013-01-10",88.47,89.87,87.53,87.74,1122187
"2013-01-17",88.11,89.05,87.72,87.79,923284
"2013-01-24",90.27,92.12,90.27,91.8,1329540
"2013-01-31",91.83,92.8,91.39,92.65,1139451
"2013-02-07",100,102.77,99.1,100.04,4734864
"2013-02-14",101.6,102.24,101.26,101.68,1131711
"2013-02-21",101.05,101.93,100.61,100.77,1091761
"2013-02-28",102.12,103.12,101.66,101.79,1537840
"2013-03-07",103.76,104.94,103.14,104.38,779200
"2013-03-14",104.57,104.57,103.16,103.5,856156
"2013-03-21",103.26,103.8,101.95,102.77,797906
"2013-03-28",102.58,103.1,101.86,102.44,1629740
"2013-04-04",103.32,104.21,103.27,103.77,377385
"2013-04-11",103.79,105.4,103.51,104.01,1231628
"2013-04-18",99,99.8,98.01,98.84,840696
"2013-04-25",104.17,108.99,103.99,106.13,1577559
"2013-05-02",107.44,108.5,106.79,108.13,504268
"2013-05-09",109.59,110.61,109.59,110.06,445027
"2013-05-16",111.24,111.84,110.22,110.71,707314
"2013-05-23",110.18,110.79,109.07,110.23,539857
"2013-05-30",110.54,111.32,109.91,109.98,516060
"2013-06-06",107.84,109.43,107.84,109.39,521619
"2013-06-13",110.29,111.81,109.86,111.45,470353
"2013-06-20",112.03,112.58,110.47,110.82,609872
"2013-06-27",111.05,112.14,111.05,111.8,554139
"2013-07-11",117.68,117.98,116.64,117.4,609582
"2013-07-18",116.26,118.35,115.01,117.03,586667
