"","KMX.Open","KMX.High","KMX.Low","KMX.Close","KMX.Volume"
"2011-09-15",27.99,28.77,27.69,28.54,3392357
"2011-09-22",25.1,25.99,23.84,24.41,12819798
"2011-09-29",24.57,24.69,23.24,24,4265161
"2011-10-06",23.87,25.08,23.87,25.07,3211856
"2011-10-13",28.08,28.28,27.24,27.67,2120145
"2011-10-20",27.97,28.3,27.38,27.95,1929851
"2011-10-27",31.39,31.73,30.93,31.32,4176572
"2011-11-03",31.18,31.22,29.93,30.74,1711276
"2011-11-10",29.04,29.28,28.12,28.38,2021995
"2011-11-17",28.01,28.28,27.61,27.87,2669681
"2011-12-01",28.6,29.31,28.44,29.18,1928765
"2011-12-08",31.13,31.26,30.49,30.63,1860153
"2011-12-15",30.3,30.54,30.01,30.05,3014734
"2011-12-22",29.29,29.88,29.29,29.79,2200026
"2011-12-29",30.17,30.9,30.14,30.82,1279702
"2012-01-05",30.54,31.03,29.99,30.91,2210137
"2012-01-12",31.88,32.01,31.45,31.96,1300042
"2012-01-19",33.15,33.48,33.08,33.25,2301012
"2012-01-26",32.57,32.62,31.59,31.77,1783677
"2012-02-02",30.57,30.69,30.4,30.55,1464639
"2012-02-09",29.99,30.43,29.71,30.41,1265984
"2012-02-16",29.07,29.76,29.07,29.66,1600488
"2012-02-23",30.34,30.51,30.07,30.22,1324000
"2012-03-01",30.73,31.21,30.71,31.12,1092250
"2012-03-08",33.06,33.88,32.83,33.58,2376061
"2012-03-15",34.18,34.57,34.02,34.5,817242
"2012-03-22",34.25,34.59,34.1,34.22,874979
"2012-03-29",33.85,34.26,33.69,34.19,1016519
"2012-04-05",33.96,34.48,33.11,33.23,4465502
"2012-04-12",31.73,31.94,31.56,31.81,2021850
"2012-04-19",31.74,31.89,30.88,31.26,1558497
"2012-04-26",31.29,31.46,30.98,31.29,2316337
"2012-05-03",30.93,30.93,30.09,30.43,3590085
"2012-05-10",29.67,30.2,29.63,30.04,2114582
"2012-05-17",28.68,28.72,28.02,28.02,2764153
"2012-05-24",28.95,29.21,28.82,29.02,1837645
"2012-05-31",28.07,28.41,27.75,28.21,2283682
"2012-06-07",28.84,28.88,27.81,27.86,1796482
"2012-06-14",27.03,27.52,26.89,27.34,1438018
"2012-06-21",26.08,26.79,25.76,25.88,6993774
"2012-06-28",25.39,25.41,24.83,25.22,4069701
"2012-07-05",26.37,26.97,26.16,26.79,2627599
"2012-07-12",26.06,26.12,25.84,25.99,2145528
"2012-07-19",26.8,27.56,26.69,27.28,2398477
"2012-07-26",27.23,27.42,26.88,27.03,2007934
"2012-08-02",27.36,27.69,26.6,26.94,2168050
"2012-08-09",28.87,29.05,28.65,29.03,1397455
"2012-08-16",29.38,29.88,29.19,29.76,1217778
"2012-08-23",29.81,29.81,29.42,29.55,981625
"2012-08-30",30.1,30.44,29.92,30.29,1182313
"2012-09-06",31.87,32.77,31.75,32.76,2925782
"2012-09-13",32.74,33.38,32.44,33.34,1249786
"2012-09-20",31.16,31.19,29.38,29.96,6454642
"2012-09-27",28.44,28.59,28.21,28.38,1165586
"2012-10-04",28.51,29.03,28.39,28.85,1848292
"2012-10-11",31.58,31.87,31.19,31.25,1525922
"2012-10-18",33.55,33.7,33.21,33.39,1356735
"2012-10-25",33,33.09,32.35,32.78,1584848
"2012-11-01",33.81,35.12,33.72,34.96,2615302
"2012-11-08",34.1,34.55,33.78,33.88,2230164
"2012-11-15",33.13,33.5,32.79,33.35,1575336
"2012-11-29",36.33,36.39,35.89,36.24,1949469
"2012-12-06",35.39,36.05,35.32,35.9,985885
"2012-12-13",35.25,35.48,34.98,35.15,1507622
"2012-12-20",36.78,38.24,36.55,37.97,7088636
"2012-12-27",37.46,37.6,37.03,37.29,2018765
"2013-01-03",37.82,38.31,37.52,37.94,2118846
"2013-01-10",37.73,37.86,37.27,37.73,1900487
"2013-01-17",37.96,38.51,37.94,38.3,1534426
"2013-01-24",38.69,39.5,38.44,38.74,1804885
"2013-01-31",39.14,39.59,38.9,39.42,1055995
"2013-02-07",39.42,39.75,38.76,39.39,2134733
"2013-02-14",39.23,39.95,39.17,39.72,1141655
"2013-02-21",39.33,39.33,38.43,38.5,1407771
"2013-02-28",38.62,39.08,38.4,38.41,1393890
"2013-03-07",40.73,41,40.57,40.91,1091930
"2013-03-14",41.39,41.59,41.2,41.47,699148
"2013-03-21",40.9,41.08,40.1,40.18,1092038
"2013-03-28",41.14,41.72,41.04,41.7,1659435
"2013-04-04",40.53,41.11,40.48,41.11,1160189
"2013-04-11",43.72,45.28,43.72,45.2,2923510
"2013-04-18",41.73,41.92,40.68,41.17,2312511
"2013-04-25",44.76,45.3,44.76,45,2351426
"2013-05-02",45.32,46.04,45.1,46,1100007
"2013-05-09",47.04,47.22,46.56,47.11,967018
"2013-05-16",48.3,48.86,47.57,47.72,1638942
"2013-05-23",46.92,47.14,46.5,47.05,1282681
"2013-05-30",46.99,47.45,46.72,46.91,1470617
"2013-06-06",45.59,46.55,45.37,46.53,1327050
"2013-06-13",45.85,47.09,45.78,46.99,993209
"2013-06-20",47.07,47.19,44.25,44.57,3446515
"2013-06-27",46.26,46.84,46.22,46.7,1482350
"2013-07-11",49.24,49.24,48.31,48.43,1111852
"2013-07-18",47.89,48.36,47.86,47.99,701666
"2013-07-25",47.01,47.39,46.49,46.75,1431569
"2013-08-01",49.51,49.84,49.38,49.73,1030612
"2013-08-08",48.66,49.36,48.35,49.27,1012421
"2013-08-15",49.12,49.17,48.05,48.08,673148
"2013-08-22",47.87,48.81,47.71,48.55,723461
"2013-08-29",47.49,48.3,47.25,48.05,404460
"2013-09-05",49.05,50.64,48.91,49.99,1854694
"2013-09-12",51.62,51.78,50.94,51.12,821923
"2013-09-19",51.32,51.55,51.18,51.25,1378788
"2013-09-26",49.8,50.02,49.2,49.49,1527374
"2013-10-03",48.85,49.05,47.88,48.04,1206204
"2013-10-10",46.82,47.34,46.69,47.29,1021170
"2013-10-17",48.11,48.95,48.03,48.87,1175899
"2013-10-24",47.5,48.06,47.4,47.79,869577
"2013-10-31",47.13,47.26,46.55,46.99,1415822
"2013-11-07",49.12,49.24,47.46,47.52,1044904
"2013-11-14",49.68,49.8,49.11,49.57,731868
"2013-11-21",48.9,49.62,48.66,49.28,1103652
"2013-12-05",50.7,51.45,50.44,50.8,936506
"2013-12-12",51.26,51.32,50.76,51.09,965230
"2013-12-19",52.51,53.08,52.21,53.05,1630676
"2013-12-26",47.79,48.15,47.37,47.47,1270883
"2014-01-02",47.02,47.25,46.57,46.9,1325121
"2014-01-09",45.35,45.7,44.97,45.1,2434251
"2014-01-16",44.74,44.94,43.9,44.66,3553422
"2014-01-23",44.75,45.01,44.57,44.77,3030668
"2014-01-30",44.97,45.19,44.77,45.05,1998881
"2014-02-06",46.09,47.23,45.93,47.15,2010700
"2014-02-13",46.79,47.44,46.43,47.36,1189444
"2014-02-20",47.39,47.71,46.9,47.33,1632260
"2014-02-27",47.99,48.69,47.86,48.68,1300696
"2014-03-06",49.15,49.24,48.64,48.95,1818666
"2014-03-13",47.87,48.15,46.94,47.14,1183254
