"","ADBE.Open","ADBE.High","ADBE.Low","ADBE.Close","ADBE.Volume"
"2011-09-15",26.03,26.18,25.69,26.12,5478560
"2011-09-22",23.99,24.4,23.87,24.31,11129988
"2011-09-29",25.6,25.83,24.45,24.99,6030072
"2011-10-06",24.6,25.34,24.49,25.33,3846284
"2011-10-13",25.8,25.89,25.39,25.8,4516773
"2011-10-20",26.03,26.2,25.5,26.08,8007103
"2011-10-27",28.51,28.68,28.14,28.34,7891453
"2011-11-03",29.63,30.22,29.49,30.16,5568738
"2011-11-10",28.22,28.28,27.62,28.03,8969430
"2011-11-17",28.48,28.55,27.48,27.69,6939545
"2011-12-01",26.93,27.45,26.9,27.14,4908115
"2011-12-08",27.74,28.11,27.32,27.38,4742229
"2011-12-15",26.8,27.01,26.39,26.46,5826837
"2011-12-22",28.05,28.25,27.7,27.88,5299627
"2011-12-29",28.02,28.45,27.98,28.31,2579743
"2012-01-05",28.07,28.62,28.05,28.48,2999469
"2012-01-12",29.43,29.47,28.83,29.23,3704269
"2012-01-19",29.91,30.28,29.88,30.24,4303087
"2012-01-26",31.15,31.77,31,31.18,4287745
"2012-02-02",31.24,31.68,31.21,31.28,3803890
"2012-02-09",32.09,32.69,32.09,32.65,4711932
"2012-02-16",32.45,32.91,32.45,32.86,3085652
"2012-02-23",32.21,33.01,32.1,32.97,3119177
"2012-03-01",32.86,33.29,32.77,33.1,2902572
"2012-03-08",32.68,33.15,32.67,33.05,3198628
"2012-03-15",33.86,34.2,33.63,34.17,3685793
"2012-03-22",33.31,33.8,33.22,33.71,5121667
"2012-03-29",34.32,34.55,34.16,34.48,2458970
"2012-04-05",33.17,33.62,33.14,33.59,3987645
"2012-04-12",33.02,33.65,32.87,33.55,3053934
"2012-04-19",33.2,33.7,32.69,32.9,3452876
"2012-04-26",32.99,33.32,32.92,33.26,2999448
"2012-05-03",33.77,33.94,33.24,33.32,2670230
"2012-05-10",32.73,32.82,31.64,31.92,4811450
"2012-05-17",32.38,32.62,32.01,32.01,4762610
"2012-05-24",32.17,32.17,31.36,31.54,4116420
"2012-05-31",31.34,31.38,30.76,31.05,4737704
"2012-06-07",32.06,32.12,31.24,31.32,4293092
"2012-06-14",31.35,31.84,31.13,31.67,6732612
"2012-06-21",31.82,31.94,31.13,31.23,7167084
"2012-06-28",31.26,31.37,30.75,31.17,2887784
"2012-07-05",32.22,32.68,32.19,32.53,2972908
"2012-07-12",30.11,30.31,29.52,30.14,4716788
"2012-07-19",31.51,32.11,31.41,31.88,3645657
"2012-07-26",30.85,31.41,30.49,30.94,3644222
"2012-08-02",30.46,30.83,30.25,30.58,2639980
"2012-08-09",32.6,32.94,32.42,32.65,4344315
"2012-08-16",32.89,33.72,32.87,33.65,4019964
"2012-08-23",33.66,33.8,33.34,33.5,2566667
"2012-08-30",31.77,31.85,31.35,31.46,3174779
"2012-09-06",32.26,32.98,32.26,32.79,4577199
"2012-09-13",32.49,33.07,32.32,32.81,4195144
"2012-09-20",33.25,34.55,33,34.53,12400257
"2012-09-27",32.67,32.94,32.43,32.8,3487590
"2012-10-04",32.54,32.8,32.2,32.68,3887000
"2012-10-11",31.85,31.91,31.58,31.78,2854551
"2012-10-18",33.45,33.68,33.24,33.48,3913758
"2012-10-25",33.53,33.69,33.26,33.4,2868678
"2012-11-01",34.08,34.64,33.89,34.36,3681653
"2012-11-08",33.5,33.57,32.92,32.98,4248019
"2012-11-15",32.38,32.72,32.14,32.64,3817664
"2012-11-29",34.08,34.17,33.78,34.09,3353690
"2012-12-06",35.25,35.68,35,35.14,5571849
"2012-12-13",36.01,36.5,35.19,35.53,7746179
"2012-12-20",38.08,38.16,37.79,37.87,4330271
"2012-12-27",37.49,37.62,36.83,37.3,3422693
"2013-01-03",38.14,38.3,37.66,37.75,3905904
"2013-01-10",38.75,38.78,38.09,38.62,3645200
"2013-01-17",37.76,38.09,37.71,37.73,4089414
"2013-01-24",38.15,38.7,37.99,38.1,2605540
"2013-01-31",38,38.23,37.68,37.83,3291810
"2013-02-07",38.26,38.39,37.66,38.07,3110222
"2013-02-14",38.7,38.92,38.3,38.61,4929645
"2013-02-21",38.82,38.82,38.3,38.34,2872613
"2013-02-28",39.54,39.94,39.29,39.31,3637596
"2013-03-07",41.4,41.59,41.2,41.5,2680276
"2013-03-14",41.82,41.93,41.44,41.62,2762856
"2013-03-21",41.99,42.63,41.9,42.18,5659354
"2013-03-28",42.54,43.59,42.42,43.52,4075185
"2013-04-04",43.74,44.25,43.44,44.21,5109824
"2013-04-11",45.04,45.53,44.8,45.21,5896264
"2013-04-18",45.18,45.2,44.34,44.46,2995895
"2013-04-25",44.75,45.2,44.56,45.05,2131886
"2013-05-02",44.65,45.88,44.63,45.69,2738430
"2013-05-09",45.22,45.25,43.47,43.97,9318927
"2013-05-16",44.96,45.34,44.48,44.56,2609084
"2013-05-23",42.66,43.14,42.57,42.77,3382686
"2013-05-30",42.65,43.38,42.5,43.19,2755447
"2013-06-06",43.84,44.05,43.26,43.57,3760841
"2013-06-13",42.74,43.36,42.39,43.3,2002339
"2013-06-20",45.28,45.29,44.45,44.9,5488904
"2013-06-27",45.9,46.26,45.59,45.93,2916446
"2013-07-11",47.62,48,47.5,47.99,3293492
"2013-07-18",48.04,48.52,48,48.19,2641582
"2013-07-25",47.8,47.96,47.45,47.79,2242904
"2013-08-01",47.62,47.82,47.41,47.7,3497588
"2013-08-08",47.32,47.66,47.03,47.51,2974475
"2013-08-15",46.37,46.39,45.7,45.87,2616802
"2013-08-22",45.1,45.71,45.09,45.68,1699626
"2013-08-29",45.5,46.14,45.35,45.93,1738910
"2013-09-05",46.88,47.34,46.68,46.73,2379829
"2013-09-12",48.07,48.09,47.56,47.64,3024064
"2013-09-19",52.05,52.4,51.58,51.87,7183302
"2013-09-26",52,52.38,51.81,52.1,2902916
"2013-10-03",51.61,51.65,50.54,50.88,3862291
"2013-10-10",50.06,51.22,49.86,51.16,3740948
"2013-10-17",51.87,52.31,51.7,52.06,3776599
"2013-10-24",53.06,54.58,53.05,54.21,5717182
