"","LEG.Open","LEG.High","LEG.Low","LEG.Close","LEG.Volume"
"2011-09-15",21.56,21.58,21.15,21.42,1418534
"2011-09-22",19.73,20.02,19.33,19.56,2387418
"2011-09-29",20.59,20.86,20.03,20.58,1186928
"2011-10-06",20.42,21.17,20.32,21.17,1532229
"2011-10-13",21.59,21.82,21.43,21.64,1710190
"2011-10-20",22.08,22.5,21.85,22.37,2152998
"2011-10-27",24.84,24.84,23.31,23.57,4182043
"2011-11-03",21.81,21.95,21.24,21.85,1566379
"2011-11-10",21.82,22.25,21.74,22.11,1433629
"2011-11-17",22.32,22.47,21.76,21.93,1201041
"2011-12-01",22.41,22.83,22.2,22.46,1343726
"2011-12-08",23.04,23.1,22.54,22.62,4808127
"2011-12-15",21.64,21.71,21.33,21.45,1922834
"2011-12-22",23.09,23.49,23.09,23.36,1875522
"2011-12-29",23.56,23.85,23.43,23.81,861021
"2012-01-05",23.29,23.6,22.83,23.13,2596095
"2012-01-12",22.5,22.66,22.34,22.64,1153072
"2012-01-19",23.37,23.73,23.09,23.6,1481498
"2012-01-26",23.44,23.6,22.85,22.96,1434425
"2012-02-02",22.07,22.49,22,22.47,1647374
"2012-02-09",22,22.02,21.68,21.77,1596424
"2012-02-16",21.49,21.79,21.45,21.77,1225936
"2012-02-23",21.88,22.38,21.85,22.29,1341008
"2012-03-01",22.74,22.75,22.07,22.37,1685370
"2012-03-08",22.17,22.41,22.13,22.26,4261796
"2012-03-15",22.96,23.23,22.77,23.23,1051724
"2012-03-22",22.62,22.75,22.43,22.61,733256
"2012-03-29",22.76,23.02,22.5,22.94,890796
"2012-04-05",22.98,23.2,22.92,23.19,1466763
"2012-04-12",22.03,22.46,21.96,22.44,1084556
"2012-04-19",23.18,23.26,22.68,22.88,1214501
"2012-04-26",23.59,23.86,23.35,23.67,2630822
"2012-05-03",22,22.06,21.7,21.77,1410976
"2012-05-10",20.96,21.15,20.72,20.81,1945765
"2012-05-17",20.39,20.58,19.91,20.07,2099470
"2012-05-24",20.66,20.82,20.5,20.78,1250881
"2012-05-31",20.8,20.99,20.36,20.79,1920358
"2012-06-07",20.66,20.73,20.26,20.36,8722749
"2012-06-14",20.23,20.5,20.1,20.3,1286485
"2012-06-21",20.51,20.55,19.86,19.92,1221337
"2012-06-28",19.99,20.48,19.99,20.37,3756495
"2012-07-05",21.24,21.36,21.12,21.26,835595
"2012-07-12",20.7,21.03,20.5,20.93,1456212
"2012-07-19",21.72,21.99,21.55,21.97,2105833
"2012-07-26",22.17,22.55,21.9,22.49,4735373
"2012-08-02",23.07,23.25,22.77,22.97,2171349
"2012-08-09",23.27,23.43,23.16,23.18,1323110
"2012-08-16",23.27,23.66,23.15,23.63,1203861
"2012-08-23",23.53,23.74,23.39,23.56,956547
"2012-08-30",23.56,23.83,23.5,23.73,2619133
"2012-09-06",23.92,24.25,23.92,24.13,1165031
"2012-09-13",24.44,24.82,24.09,24.76,1795047
"2012-09-20",25.04,25.11,24.69,24.89,1186817
"2012-09-27",24.42,24.8,24.24,24.77,1691944
"2012-10-04",25.01,25.03,24.65,24.83,1751131
"2012-10-11",24.99,25.11,24.79,24.81,1050640
"2012-10-18",25.87,26.13,25.75,26.12,1738060
"2012-10-25",25.59,25.75,25.16,25.29,938265
"2012-11-01",26.69,27.45,26.69,27.44,2635230
"2012-11-08",27.08,27.28,26.82,26.84,1024709
"2012-11-15",26.1,26.4,25.93,26.15,1224230
"2012-11-29",27.34,27.36,26.94,27.16,939864
"2012-12-06",26.91,27.01,26.44,27,1216212
"2012-12-13",26.52,26.82,26.32,26.57,2132340
"2012-12-20",27.29,27.56,27.19,27.49,691356
"2012-12-27",26.75,26.78,26.32,26.73,1011122
"2013-01-03",27.76,28.28,27.62,27.89,1115230
"2013-01-10",27.71,27.88,27.51,27.88,1256980
"2013-01-17",28.24,28.72,28.17,28.6,1410606
"2013-01-24",29.32,29.61,29.2,29.42,1091048
"2013-01-31",29.62,29.92,29.35,29.44,1909454
"2013-02-07",29.44,29.77,29.22,29.75,2581873
"2013-02-14",30.13,30.64,30.06,30.6,1575473
"2013-02-21",29.95,29.95,29.45,29.66,1491702
"2013-02-28",30.41,30.77,30.32,30.58,961171
"2013-03-07",31.49,31.64,31.31,31.61,687271
"2013-03-14",32.4,32.52,32.32,32.48,806157
"2013-03-21",32.92,33.03,32.55,32.63,1249589
"2013-03-28",33.27,33.8,33.27,33.78,1076438
"2013-04-04",32.59,32.89,32.46,32.63,1094270
"2013-04-11",33.43,34,33.38,33.79,1000825
"2013-04-18",32.58,32.64,31.81,31.93,1089973
"2013-04-25",33.57,33.88,33.46,33.65,958330
"2013-05-02",31.71,32.13,31.6,32.1,1191600
"2013-05-09",33.25,33.57,33.11,33.15,858718
"2013-05-16",33.94,34.09,33.64,33.73,1028680
"2013-05-23",32.79,33.39,32.62,33.34,1128692
"2013-05-30",32.45,32.7,32.28,32.39,966946
"2013-06-06",30.86,31.52,30.68,31.51,973201
"2013-06-13",31.51,32.43,31.47,32.29,1021638
"2013-06-20",31.8,31.8,30.66,30.85,1583810
"2013-06-27",31.07,31.44,30.82,31.19,595219
"2013-07-11",32.14,32.52,32.13,32.34,777625
"2013-07-18",32.06,32.27,31.85,31.93,611131
"2013-07-25",31.41,31.73,31,31.71,949248
"2013-08-01",31.77,32.03,31.7,31.85,894582
"2013-08-08",30.93,31.05,30.78,30.99,1464521
"2013-08-15",30.05,30.1,29.68,29.86,1133261
"2013-08-22",29.4,29.73,29.35,29.5,684695
"2013-08-29",29,29.49,28.94,29.16,482353
"2013-09-05",29.13,29.25,29.05,29.22,833030
"2013-09-12",30.51,30.9,30.5,30.63,1316792
"2013-09-19",31.2,31.32,30.79,30.83,1124213
"2013-09-26",30.67,30.91,30.4,30.69,475243
"2013-10-03",30.12,30.14,29.39,29.58,1095197
"2013-10-10",29.38,29.67,29.2,29.55,910465
"2013-10-17",29.2,29.37,28.81,29.35,1233210
"2013-10-24",28.14,29.89,28,29.84,1769764
"2013-10-31",30,30.11,29.65,29.74,1168904
"2013-11-07",29.75,29.94,29.1,29.11,1089216
"2013-11-14",29.5,29.6,29.3,29.49,1147908
"2013-11-21",29.62,29.95,29.53,29.93,536334
"2013-12-05",29.23,29.41,29.11,29.21,993178
"2013-12-12",28.91,29.2,28.8,29.1,1146823
"2013-12-19",30.28,30.42,30.13,30.26,1064803
"2013-12-26",31.02,31.22,30.99,31,760955
"2014-01-02",30.87,30.92,30.54,30.66,713229
"2014-01-09",30.37,30.58,30.12,30.27,670519
"2014-01-16",30.17,30.21,29.8,30.1,659925
"2014-01-23",30.16,30.71,30.16,30.69,1585319
"2014-01-30",29.76,29.96,29.62,29.87,1138617
"2014-02-06",29.4,30.02,29.4,29.93,796620
"2014-02-13",30.31,30.88,30.19,30.81,793803
"2014-02-20",31.2,31.42,31.1,31.38,691285
"2014-02-27",31.9,32.04,31.74,32.03,578391
"2014-03-06",31.98,32.24,31.85,32.15,712025
"2014-03-13",32.19,32.24,31.01,31.2,1428697
"2014-03-20",31.91,32.13,31.64,32.12,818211
"2014-03-27",31.72,31.83,31.53,31.67,484339
"2014-04-03",32.81,32.82,32.55,32.63,632789
"2014-04-10",32.83,33,32.22,32.22,846317
"2014-04-17",32.95,33.13,32.75,32.95,1290485
"2014-04-24",33.39,33.85,33.28,33.74,1169340
"2014-05-01",32.84,33.07,32.68,32.91,815489
"2014-05-08",32.96,33.35,32.77,33.04,983909
"2014-05-15",33.14,33.14,32.53,32.94,833211
"2014-05-22",33.02,33.36,32.98,33.31,571748
"2014-05-29",33.79,34,33.71,33.77,848752
"2014-06-05",33.88,34.12,33.73,34.12,596771
"2014-06-12",33.56,33.73,33.35,33.46,724135
"2014-06-19",33.77,34.11,33.77,34.04,891866
"2014-06-26",33.98,34.2,33.61,34.02,735065
"2014-07-03",34.23,34.4,34.01,34.36,457321
"2014-07-10",33.53,33.7,33.39,33.47,1033034
"2014-07-17",32.86,33.07,32.54,32.55,914436
"2014-07-24",32.9,33.27,32.7,32.87,832381
"2014-07-31",33.02,33.19,32.72,32.8,1019761
"2014-08-07",33.44,33.55,33.13,33.25,595057
"2014-08-14",34.3,34.48,34.13,34.43,521387
"2014-08-21",35.08,35.12,34.67,35.06,530326
"2014-08-28",34.76,34.96,34.54,34.82,392610
"2014-09-04",35.26,35.51,35.06,35.18,889491
"2014-09-11",35.04,35.34,34.88,35.29,1038570
"2014-09-18",35.52,35.58,35.05,35.26,723894
"2014-09-25",35.35,35.61,35.04,35.26,871898
"2014-10-02",34.67,34.92,34.48,34.83,1010193
"2014-10-09",34.43,34.5,33.77,33.79,1465282
"2014-10-16",33.26,34.07,33.16,33.65,1397830
"2014-10-23",35,37.38,35,37.03,2232097
"2014-10-30",38.55,39.14,38.43,39.1,912925
"2014-11-06",39.7,40.15,39.44,40.08,1347110
"2014-11-13",41.46,41.49,40.76,40.85,1047081
"2014-11-20",41.09,41.5,40.88,41.04,1888522
"2014-12-04",41.98,42.06,41.64,41.91,1033826
"2014-12-11",41.37,41.97,41.3,41.6,875660
"2014-12-18",42.36,42.49,42.06,42.3,1179312
"2015-01-08",42.9,43.94,42.85,43.92,2872842
"2015-01-15",44.62,44.85,43.46,43.83,1127340
"2015-01-22",44.08,44.77,43.94,44.49,1317997
"2015-01-29",44.59,45.29,44.04,45.07,1593651
"2015-02-05",43.9,44.02,43.62,43.66,863939
"2015-02-12",43.95,44.83,43.89,44.73,1002923
"2015-02-19",44.52,44.62,44.3,44.33,871804
"2015-02-26",45.19,45.34,44.99,45.08,569260
"2015-03-05",45.42,45.85,45.21,45.74,792564
"2015-03-12",44.01,44.25,43.95,44.06,2254155
"2015-03-19",46.16,46.46,45.95,46.1,880104
"2015-03-26",45.32,45.41,44.83,44.96,577548
"2015-04-02",45.69,45.99,45.59,45.93,585043
"2015-04-09",45.93,46.11,45.47,45.6,862952
"2015-04-16",44.95,44.99,44.33,44.41,664984
"2015-04-23",44.14,44.26,43.77,44.1,583598
"2015-04-30",43.18,43.47,42.34,42.47,1579620
"2015-05-07",45.57,46.42,45.43,46.28,1010024
"2015-05-14",46.46,47.39,46.34,47.32,917601
"2015-05-21",47.37,47.66,47.25,47.51,433654
"2015-05-28",47.06,47.6,46.81,47.57,1403804
"2015-06-04",47.32,47.77,47.17,47.74,905656
"2015-06-11",49.2,49.71,49,49.25,2462158
"2015-06-18",48.62,49,48.33,48.98,1214550
"2015-06-25",49.32,49.61,49.21,49.21,619335
"2015-07-02",49.56,49.71,48.91,49.2,619170
"2015-07-09",49.45,49.68,49.06,49.17,902452
"2015-07-16",51.28,51.28,50.64,51,763138
"2015-07-23",50.87,50.97,50.33,50.38,543855
"2015-07-30",49.52,50.27,49.47,50.22,849900
"2015-08-06",47.79,48.27,47.27,47.33,699507
"2015-08-13",47.88,48.47,47.66,48.1,691390
"2015-08-20",48.89,48.93,47.97,48.05,933749
"2015-08-27",44.2,44.3,42.92,43.75,2180396
"2015-09-03",44.05,44.55,43.77,43.86,997191
"2015-09-10",43.94,44.38,43.54,44.22,1152796
"2015-09-17",44.1,44.93,43.88,44.26,803948
"2015-09-24",42.1,42.2,40.74,41.18,2064460
"2015-10-01",41.21,41.71,40.83,41.65,1320588
"2015-10-08",43.28,43.95,42.9,43.87,763350
"2015-10-15",43.07,43.44,42.54,43.42,635848
"2015-10-22",43.54,44.4,43.45,44.31,883028
"2015-10-29",44.73,44.88,44.25,44.64,903287
"2015-11-05",46.16,46.38,45.75,46.32,805587
"2015-11-12",45.55,45.67,45.08,45.13,746409
"2015-11-19",45.06,45.43,44.82,44.95,730657
"2015-12-03",46.38,46.38,45.27,45.46,1196743
"2015-12-10",43.97,44.13,43.17,43.59,813086
"2015-12-17",44.03,44.2,43.28,43.28,842791
"2015-12-24",42.72,42.96,42.65,42.81,276893
"2015-12-31",42.42,42.53,42.01,42.02,469522
"2016-01-07",39.67,40.63,39.47,40.23,2073845
"2016-01-14",38.15,39.14,37.74,38.79,1017259
"2016-01-21",37.9,38.99,37.62,38.73,1135374
"2016-01-28",39.91,39.95,39.27,39.7,751211
"2016-02-04",40.72,41.45,40.47,41.2,983002
"2016-02-11",41,41.4,40.76,41.18,1029131
"2016-02-18",43.55,44,43.26,43.68,869250
"2016-02-25",44.91,45,44.2,44.71,1010625
"2016-03-03",46.62,47.19,46.47,47.15,458328
"2016-03-10",46.47,46.57,45.29,46.13,790761
"2016-03-17",47.11,48.23,46.97,48.13,801450
"2016-03-24",46.75,47.2,46.41,47.19,636271
"2016-03-31",48.02,48.5,47.78,48.4,844088
"2016-04-07",48.55,49,48.19,48.32,929177
"2016-04-14",48.8,48.98,48.46,48.75,533065
"2016-04-21",47.61,47.88,47.24,47.24,968432
"2016-04-28",48.2,48.45,47.51,47.69,930179
"2016-05-05",49.19,49.51,48.87,48.94,704615
"2016-05-12",49.36,49.56,49.14,49.43,492459
"2016-05-19",48.27,48.63,47.95,48.52,460766
"2016-05-26",49.59,49.72,49.28,49.39,415899
"2016-06-02",50.53,51.02,50.39,51.01,959589
"2016-06-09",50.55,50.95,50.35,50.87,358091
"2016-06-16",49.64,50.04,49.29,49.96,524411
"2016-06-23",50.95,51.2,50.7,51.11,541896
"2016-06-30",50.04,51.12,49.91,51.11,922200
"2016-07-07",51.11,51.48,50.75,51.15,666832
"2016-07-14",53,53.05,52.6,52.66,502660
"2016-07-21",53.61,53.68,52.68,52.92,567180
"2016-07-28",53.5,54.62,53.27,54.53,1461976
"2016-08-04",51.8,52.8,51.65,52.77,930487
"2016-08-11",52.88,53.1,52.5,52.9,495679
"2016-08-18",51.71,52.38,51.71,52.25,550093
"2016-08-25",52.1,52.73,51.84,52.49,738322
"2016-09-01",52.56,52.58,51.6,51.79,754256
"2016-09-08",52.41,52.65,52.01,52.04,558300
"2016-09-15",49.06,49.35,48.79,49.26,687428
