"","SU.Open","SU.High","SU.Low","SU.Close","SU.Volume"
"2011-09-15",30.27,30.44,29.79,30.39,5216338
"2011-09-22",26.32,26.32,25.01,25.52,17114981
"2011-09-29",26.87,27.1,25.94,26.7,10389824
"2011-10-06",26.28,27.67,26.18,27.65,9711309
"2011-10-13",28.8,28.86,28.13,28.54,6412752
"2011-10-20",29.31,29.94,28.71,29.51,7054086
"2011-10-27",32.58,33.4,32.5,32.76,11570536
"2011-11-03",32.12,33,31.76,32.92,9545579
"2011-11-10",31.44,31.7,30.22,31.08,7568387
"2011-11-17",32.03,32.54,30.7,30.98,8548871
"2011-12-01",30.02,30.46,29.77,30.11,6144544
"2011-12-08",29.82,30.13,28.73,28.82,8662368
"2011-12-15",27.57,27.63,26.56,26.61,7515927
"2011-12-22",27.51,28.36,27.46,28.27,5874808
"2011-12-29",27.98,28.6,27.89,28.55,3780054
"2012-01-05",30.85,31.02,30.43,30.84,3930332
"2012-01-12",32.3,32.56,31.91,32.03,7080965
"2012-01-19",34.09,34.2,33.43,33.56,4603969
"2012-01-26",34.59,34.83,34.1,34.31,8204108
"2012-02-02",34.54,35,34.19,34.32,6480489
"2012-02-09",34.79,34.93,34.44,34.67,3473262
"2012-02-16",34.03,34.51,33.8,34.33,4801874
"2012-02-23",35.73,36.64,35.47,36.49,7105325
"2012-03-01",35.95,36.46,35.72,36.38,6502857
"2012-03-08",34.24,34.82,33.93,34.54,4911540
"2012-03-15",33,33.57,32.77,33.2,4431823
"2012-03-22",32.69,32.95,32.18,32.36,5039361
"2012-03-29",32.22,32.56,31.73,32.54,4423117
"2012-04-05",31.31,31.5,30.37,30.63,8620780
"2012-04-12",30.16,31.2,29.91,31.09,5661126
"2012-04-19",31.52,32,31.3,31.59,3674161
"2012-04-26",31.75,32.21,31.68,31.99,3856610
"2012-05-03",32.71,32.77,31.6,31.6,5963424
"2012-05-10",29.4,29.78,29.12,29.21,5450338
"2012-05-17",27.36,27.45,26.9,27.01,4958743
"2012-05-24",28.28,28.28,27.33,27.8,4598927
"2012-05-31",27.44,27.57,26.52,26.99,8905143
"2012-06-07",29.15,29.22,28.4,28.5,7160823
"2012-06-14",28.21,28.38,27.79,27.88,4859324
"2012-06-21",28.75,28.95,26.89,26.91,7268125
"2012-06-28",27.21,27.4,26.77,27.36,3909553
"2012-07-05",30.39,30.48,29.91,29.99,4056701
"2012-07-12",28.16,28.54,28.05,28.33,4805046
"2012-07-19",30.12,30.63,30.11,30.34,5647295
"2012-07-26",30.91,31.66,30.86,31.53,6603340
"2012-08-02",30.22,30.78,29.9,30.36,4206661
"2012-08-09",31.82,32.36,31.82,32.16,2650538
"2012-08-16",32.23,32.47,32.14,32.45,3124102
"2012-08-23",31.9,31.96,31.3,31.42,2823413
"2012-08-30",31.39,31.39,30.75,30.94,2362058
