"","ABBV.Open","ABBV.High","ABBV.Low","ABBV.Close","ABBV.Volume"
"2012-12-13",33.5,34.24,32.61,33.8,4253303
"2012-12-20",34.5,34.5,33.85,34.32,1010326
"2012-12-27",35.37,35.37,33.2,34.97,915775
"2013-01-03",35,35,34.16,34.83,16739208
"2013-01-10",33.66,34,33.33,34,15660776
"2013-01-17",35.75,36.7,35.75,36.42,14426261
"2013-01-24",37.79,38.52,37.23,37.46,11327544
"2013-01-31",36.84,36.93,36.27,36.69,10720870
"2013-02-07",37.57,37.57,35.8,36.42,9874217
"2013-02-14",35.05,36.73,35.01,36.57,7570052
"2013-02-21",38.49,39.02,38.19,38.78,7261136
"2013-02-28",36.66,37.14,36.5,36.92,10322499
"2013-03-07",37.65,38.01,37.44,37.49,4442420
"2013-03-14",37.43,37.59,36.86,37.56,9864532
"2013-03-21",38.82,38.97,38.48,38.49,4738157
"2013-03-28",40.26,40.8,39.78,40.78,7264747
"2013-04-04",40.77,41.78,40.62,41.6,20688370
"2013-04-11",43.42,43.7,43.11,43.2,6494382
"2013-04-18",42.37,42.64,41.89,42.32,5008971
"2013-04-25",44.75,44.79,43.76,44.24,5237276
"2013-05-02",45.68,45.68,43.86,43.99,9651487
"2013-05-09",43.34,44.45,43.25,44.24,5047066
"2013-05-16",46.06,46.9,46.01,46.21,4605696
"2013-05-23",46.12,46.94,46.02,46.59,3306172
"2013-05-30",44.07,45.12,44.07,44.55,4852721
"2013-06-06",43.22,43.57,42.65,43.5,4261250
"2013-06-13",42.42,43.2,40.1,43.15,6096662
"2013-06-20",42.65,42.78,40.91,41.06,7476184
"2013-06-27",43.56,43.98,42.74,43.13,5164221
"2013-07-11",43.94,44.11,43.33,43.78,4061419
"2013-07-18",43.96,44.56,43.81,44.32,3043697
"2013-07-25",43.41,44.43,43.35,44.24,4089489
"2013-08-01",45.14,45.9,45.04,45.25,3652564
"2013-08-08",44.86,45.18,44.61,45.06,2892355
"2013-08-15",44.6,44.62,43.13,43.21,4363128
"2013-08-22",42.4,43.1,42.29,42.92,4077675
"2013-08-29",42.32,43.09,42.26,42.62,2788872
"2013-09-05",43.03,43.66,43,43.51,3355461
"2013-09-12",44.84,44.95,44.5,44.7,2597892
"2013-09-19",48.21,48.23,47.31,47.4,5326423
"2013-09-26",45.33,45.62,44.81,45,5033923
"2013-10-03",45.6,46.34,45.1,46.01,7020911
"2013-10-10",45.1,45.68,44.51,45.68,3967512
"2013-10-17",46.95,48.32,46.95,48.17,7242923
"2013-10-24",48.63,48.98,47.74,47.93,5078237
"2013-10-31",48.68,49,48.44,48.45,4563677
"2013-11-07",48.17,48.36,47.18,47.24,4444941
"2013-11-14",47.99,48.47,47.69,48.04,3411754
"2013-11-21",48.28,48.67,47.99,48.57,4459830
"2013-12-05",49.42,50.07,49.05,49.76,5449133
"2013-12-12",52.56,52.62,51.8,52.39,7766426
"2013-12-19",53.19,53.21,52.02,52.63,8381255
"2013-12-26",52.59,53.06,52.34,52.99,2401527
"2014-01-02",52.12,52.33,51.52,51.98,4569061
"2014-01-09",50.59,51.65,49.87,51.22,6960524
"2014-01-16",50.1,50.62,50.02,50.5,4972290
"2014-01-23",48.74,49.06,48.39,48.87,7270503
"2014-01-30",47.97,48.88,47.9,48.31,7670930
"2014-02-06",47.89,48.18,47.45,47.93,4957804
"2014-02-13",50.3,50.52,49.88,50.35,5266042
