"","RRC.Open","RRC.High","RRC.Low","RRC.Close","RRC.Volume"
"2011-09-15",63.29,64.14,62.35,63.27,2339047
"2011-09-22",65.21,73.09,64.51,66.1,7672725
"2011-09-29",61.15,61.8,57.23,59.88,3441643
"2011-10-06",59.68,61.97,58.8,60.71,2849827
"2011-10-13",62.52,69.35,61.28,68.44,7219984
"2011-10-20",71.21,73,70.4,72.63,2142493
"2011-10-27",71.64,72.49,68.35,71.35,4002402
"2011-11-03",71,72.22,69.76,71.25,2242682
"2011-11-10",69,71.57,68.28,71.19,2239165
"2011-11-17",69.87,72.72,67.88,68.5,3206656
"2011-12-01",71.33,73,70.13,71.43,2600563
"2011-12-08",67.74,69.39,67.38,67.95,2064023
"2011-12-15",60.75,60.75,58.91,59.71,2242882
"2011-12-22",62.92,63.95,62.12,63.49,1833411
"2011-12-29",62.13,62.85,61.78,62.49,979095
"2012-01-05",60.94,62.01,60.15,61.39,2118877
"2012-01-12",54.37,55.86,53.22,54.36,5555916
"2012-01-19",56.35,56.64,53.44,54.06,3031055
"2012-01-26",59.89,60.05,55.58,55.92,4377286
"2012-02-02",58.56,60.14,58.17,58.38,2566508
"2012-02-09",62.06,63.93,61.96,63.35,2558653
"2012-02-16",63.15,63.84,62.45,63.37,2407250
"2012-02-23",66.15,66.44,64.78,66.07,2124190
"2012-03-01",63.7,64.94,62.71,64.6,2113213
"2012-03-08",63.74,64.7,63.51,64.29,1274455
"2012-03-15",60.9,62.33,60.09,60.59,1983305
"2012-03-22",61.45,61.45,58.54,58.9,2688131
"2012-03-29",56.99,57.47,56.11,56.96,1654439
"2012-04-05",57.72,59.12,57.29,57.65,1348907
"2012-04-12",55.02,56.5,54.86,56.3,2289684
"2012-04-19",56.42,59.34,56.23,58.58,3791666
"2012-04-26",60.36,63.4,59.01,62.64,7072569
"2012-05-03",65.3,65.97,64.21,64.67,3022545
"2012-05-10",68.18,69.18,66.45,67.22,4023359
"2012-05-17",64.29,64.98,62.47,62.56,2946855
"2012-05-24",64.75,64.75,61.32,62.17,2652877
